"to review","working notes","partID","partLabel","partType","partDesc","partInstr","domainID","specimenSet","compartSet","groupID","classID","nomenclatureID","ontologyRef","latExp","catSetID","unitSetID","aggScaleID","aggSetID","qualitySetID","status","firstReleased","lastUpdaed","changes","methodSteps","methodStepsRequired","methodStepsOrder","methodSets","methodSetsRequired","methodSetsOrder","measures","measuresRequired","measuresOrder","measureSets","measureSetsRequired","measureSetsOrder","datasets","datasetsRequired","datasetsOrder","sites","sitesRequired","sitesOrder","samples","samplesRequired","samplesOrder","addresses","addressesRequired","addressesOrder","contacts","contactsRequired","contactsOrder","organizations","organizationsRequired","organizationsOrder","instruments","instrumentsRequired","instrumentsOrder","polygons","polygonsRequired","polygonsOrder","languageLUs","translationLUs","partLUs","setLUs","refLink","dataType","minValue","maxValue","minLength","maxLength","label_fr","partDescription_fr","partInstruction_fr","NWSS","NWSS_process","NWSS_notes","ENA","ENA_notes","NORMAN","NORMAN_note","W_SPHERE","W_SPHERE_Notes","version1Table...83","version1Location","version1Table...85","version1Variable","version1Category","version1to2Changes"
"MT/DM","Deprecated =see BU:BV; IL: should this be depreciated?  It is still part of the ERD","aDateEnd","Analysis date end","attribute","Date the measurement/analysis was completed in the lab.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","1.0","2.0","Depreciated. See issue #211. https://github.com/Big-Life-Lab/PHES-ODM/issues/211","NA","NA","NA","NA","NA","NA","header","mandatory","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","datetime","NA","NA","0","30","Date de l'analyse","Date à laquelle la mesure a été réalisée en laboratoire.","NA","test_result_date","SARSCOV2 Quantification results","NA","not included","-","Date of analysis [DD/MM/YYYY]","-","Date/Time","Samples","WWMeasure","variables",NA,"analysisDate","NA","deprecated into only start and end"
NA,NA,"addL2","Address Line 2","attribute","Line 2 (the unit number) for a given address.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","header","optional","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","Ligne d'adresse 2","Ligne 2 (le numéro de l'unité) pour une adresse donnée.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"datasets","Dataset Table","table","A report table for capturing details about data's parental data set and data custodians. Supplying attribution for data collectors.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","programDescription","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","NA","NA","Table de sources de données","Une table de rapport pour capturer les détails sur l'ensemble de données parentales et les dépositaires de données. Fournir une attribution pour les collecteurs de données.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"dataType","Data type","dictionary","The data type for a part.","Data types used in the ODM include: varchar, booleen, float, category, date, time, datetime, url, email. dataType corresponds the the entry or cell within a data table, most commonly within a report table. If the data entry has a unit, then the dataType corresponds to the unit and the dataType refers to 'unit'. If the data entry is a category, then the dataType refers to 'category'. All categories are varchar. Otherwise the dataType is identifed within the part entry. TBA: dataType for dictionary.","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","header","NA","NA","varchar","NA","NA","0","12","Type de données","Le type de données pour une partie.","Les types de données utilisés dans l'ODM comprennent : varchar, booleen, float, category, date, time, datetime, url, email. dataType correspond à l'entrée ou à la cellule dans une table de données, le plus souvent dans une table de rapport. Si l'entrée de données a une unité, alors le type de données correspond à l'unité et le type de données fait référence à 'unité'. Si l'entrée de données est une catégorie, alors le dataType fait référence à 'category'. Toutes les catégories sont de type varchar. Sinon, le type de données est identifié dans l'entrée de la pièce. TBA : type de données pour le dictionnaire.","not included",NA,NA,NA,NA,"Type of data","Serial no.","not included",NA,"NA","NA",NA,"NA","NA","NA"
NA,NA,"dataTypeCatSet","Data Type Category Set","catSetPT","The category set for the data type dictionary values.","Only used for the dictionary entries of parts.","naDomain","naSpecimenSet","anyCompartment","naGroup","naClass","naNomenclature",NA,"NA","dataTypeCatSet","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","varchar","NA","NA","0","15","Type de données Ensemble de catégories","L'ensemble de catégories pour les valeurs du dictionnaire de type de données.","Utilisé uniquement pour les entrées du dictionnaire relatives aux parties.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Deprecate in line with Github Issue #211?","date","Date","attribute","Date","date on which the assayMethod was created or updated (for version update).","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","depreciated","1.0","2.0","depreciate","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","datetime","NA","NA","0","30","Date","Date à laquelle la méthode d'analyse (ou une nouvelle version d'une méthode existante) a été crée.","NA","sample_collect_date","NA","NA","collection date",NA,NA,NA,"date/time",NA,"AssayMethod","variables",NA,"date","NA","depricate???"
NA,NA,"datetime","Datetime Data Type","dictionary","The data type for date and time data.","Only used for the dictionary entries of parts.","naDomain","naSpecimenSet","anyCompartment","naGroup","naClass","naNomenclature",NA,"NA","dataTypeCatSet","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","varchar","NA","NA","0","15","Type de données date-heure","Le type de données pour les données de date et d'heure.","Utilisé uniquement pour les entrées du dictionnaire relatives aux parties.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"ddcovE","ddcov_e sars-cov-2 gene target","measure","ddcov_e sars-cov-2 gene target.","NA","Bio","saSpecimen","anyCompartment","sarsCov2","mutation","naNomenclature",NA,"NA","NA","geneticUnits","see unit","naAggrSet","pcrQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","see unit","see unit","see unit","0","30","ddcov_e cible du gène sars-cov-2","Gène cible ddcov E de SRAS-CoV-2","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"partsID can't have special characters in their name.","ddcovN ","ddcov_n sars-cov-2 gene target","measure","ddcov_n sars-cov-2 gene target.","NA","Bio","saSpecimen","anyCompartment","sarsCov2","mutation","naNomenclature",NA,"NA","NA","geneticUnits","see unit","naAggrSet","pcrQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","see unit","see unit","see unit","0","30","ddcov_n cible du gène sars-cov-2","Gène cible ddcov N  de SRAS-Co.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"death","Deaths","unit","Units for describing a population measure of patients who have died from a given cause.","Unit for a population or disease measure to explain population-level clinical effects.","Bio","poSpecimen","anyCompartment","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","quantitative","naAggrSet","genQualitySet","active","2.0","2.0","added in V2.0","input","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","integer","0","NA","NA","NA","Morts","Unités pour décrire une mesure de population des patients décédés d'une cause donnée.","Unité pour une mesure de population ou de maladie afin d'expliquer les effets cliniques au niveau de la population.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"del 157S158","del 157/158","measure","157 or 158 deletion delta-variant gene target","NA","Bio","saSpecimen","anyCompartment","sarsCov2","mutation","naNomenclature",NA,"NA","NA","geneticUnits","see unit","naAggrSet","pcrQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","see unit","see unit","see unit","0","30","157 ou 158 délétion variante delta cible du gène","Gène cible la délétion 157 ou 158 de la variante delta.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"del143S145 ","del143/145 ","measure","143 or 145 deletion omicron-variant gene target.","NA","Bio","saSpecimen","anyCompartment","sarsCov2","mutation","naNomenclature",NA,"NA","NA","geneticUnits","see unit","naAggrSet","pcrQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","see unit","see unit","see unit","0","30","143 ou 145 délétion variante omicron cible du gène","Gène cible la délétion 143 ou 145 de la variante omicron.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"partsID can't have special characters in their name.","del2084S2084 ","del2084/2084 ","measure","2084 or 2084 deletion omicron-variant gene target.","NA","Bio","saSpecimen","anyCompartment","sarsCov2","mutation","naNomenclature",NA,"NA","NA","geneticUnits","see unit","naAggrSet","pcrQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","see unit","see unit","see unit","0","30","2084 ou 2084 délétion cible du gène variante omicron","Gène cible la délétion 2084 ou 2084 de la variante omicron.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"del212S212 ","del212/212 ","measure","212 or 212 deletion omicron-variant gene target.","NA","Bio","saSpecimen","anyCompartment","sarsCov2","mutation","naNomenclature",NA,"NA","NA","geneticUnits","see unit","naAggrSet","pcrQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","see unit","see unit","see unit","0","30","212 ou 212 délétion variante omicron cible du gène","Gène cible la délétion 212 ou 212 de la variante omicron.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"del3674S3676 ","del3674/3676 ","measure","3674 or 3676 deletion omicron-variant gene target.","NA","Bio","saSpecimen","anyCompartment","sarsCov2","mutation","naNomenclature",NA,"NA","NA","geneticUnits","see unit","naAggrSet","pcrQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","see unit","see unit","see unit","0","30","3674 ou 3676 délétion du gène variante omicron cible","Gène cible la délétion 3674 ou 3676 de la variante omicron.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"del69S70 ","del69/70 ","measure","69 or 70 deletion omicron-variant gene target.","NA","Bio","saSpecimen","anyCompartment","sarsCov2","mutation","naNomenclature",NA,"NA","NA","geneticUnits","see unit","naAggrSet","pcrQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","see unit","see unit","see unit","0","30","69 ou 70 délétion variante omicron cible du gène","Gène cible la délétion 69 ou 70 de la variante omicron.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"delta","Delta","measure","B.1.617.2","NA","Bio","saSpecimen","anyCompartment","sarsCov2","variant","naNomenclature",NA,"NA","NA","geneticUnits","NA","naAggrSet","genQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","see unit","see unit","see unit","NA","NA","Delta","B.1.617.2","NA","not included",NA,NA,NA,NA,NA,NA,"not included",NA,"NA","NA",NA,"NA","NA","NA"
NA,NA,"depreciated","Depreciated","category","Indicator to say that a part is no longer in current use in the model. See partID = status","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","statusSet","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","varchar","NA","NA","0","30","Déprécié","Indicateur permettant de dire qu'une pièce n'est plus utilisée actuellement dans le modèle. Voir partID = status","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"GitHub issue #94","derived","Derived sample","category","Specifies a sample that is derrived or made from another sample or material.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","originCatSet","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","Échantillon dérivé","Spécifie un échantillon qui est dérivé ou fabriqué à partir d'un autre échantillon ou matériau.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"city","City","attribute","The city where a site or organization is located; part of the address.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","1.0","2.0","description wording, structure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","header","mandatory","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","Ville","La ville où se trouve un site ou une organisation ; partie de l'adresse.","NA","not included",NA,NA,NA,NA,"Name of the City / Municipality","SAMPLING SITE / STATION",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"descrChange","Description of change","dictionary","A description of change in a part from the previous verion","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","header","NA","NA","varchar","NA","NA","NA","NA","Description du changement","Une description des changements apportés à une partie par rapport à la version précédente.","NA","not included",NA,NA,NA,NA,NA,NA,"not included",NA,"NA","NA",NA,"NA","NA","NA"
NA,"cat of sampleMat","desk","Desk or counter","category","Desk, table, countertop or other flat working surface.","NA","naDomain","naSpecimenSet","surfaceCompartment","colGrp","naClass","naNomenclature",NA,"NA","sampleMatCat","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","Bureau ou comptoir","Bureau, table, comptoir ou autre surface de travail plane.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"deso","Dewatered solids","category","Dewatered solids.","NA","naDomain","naSpecimenSet","waterCompartment","procGrp","naClass","naNomenclature",NA,"NA","spikeMatCat","naUnitSet","NA","naAggrSet","NA","active","1.0","2.0","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","NA","NA","Solides déshydratés","Solides déshydratés.","NA","not included",NA,"rec_eff_spike_matrix",NA,NA,NA,NA,"not included",NA,"not in Version 1","not in Version 1",NA,"not in Version 1","NA","NA"
NA,NA,"det","Detected","unit","Substance detected or not detected.","1 = detected, 0 = not detected","Bio","saSpecimen","anyCompartment","naGroup","naClass","naNomenclature",NA,"$detected$","NA","naUnitSet","quantitative","naAggrSet","genQualitySet","active","1.1","2.0","description wording.","input","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","boolean","0","1","0","NA","Détecté","Copies de gène ou de variant détecté dans ""sampleGene"". 1=Detecté, 0=Non-détecté.","NA","not included",NA,NA,NA,NA,"Gene copy [number/mL of sample]","INDIVIDUAL CONCENTRATION","not included",NA,"WWMeasure","variableCategories",NA,"unit","detected","restructure"
NA,"depreciate. See sharing schema.","details","Access to details","attribute","More details on the existing confidentiality requirements of this measurement.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","depreciated","1.0","2.0","depreciate","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","boolean","NA","NA","0","1","Accès aux Détailles","Indique si des informations supplémentaires sur la confidentialité de la mesure sont disponibles.","NA","not included","NA","NA","not included",NA,NA,NA,"Public Access Level","metadata","WWMeasure; SiteMeasure","variables",NA,"accessToDetails","NA","unclear; depricate out into sharing schema?"
NA,"partType cateogory","dictionary","Dictionary Part Type","dictionary","Parts used to describe the dictionary. Parts with the `partType` atrbiute.","Part with this partType attribute describe to fundamental organization of the data model.","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","partTypeCat","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","varchar","NA","NA","NA","NA","Parties de dictionnaire","Parties utilisées pour décrire le dictionnaire. Pièces avec l'atrbiute `partType`.","La partie avec cet attribut partType décrit l'organisation fondamentale du modèle.","not included",NA,NA,NA,NA,NA,NA,"not included",NA,"NA","NA",NA,"NA","NA","NA"
NA,NA,"dilFact","Dilution factor","measure","Specifies the extent to which a sample or aliquot was diluted prioir to analysis.","Dilution factor is reported as a unitless measure, where a value of 10 indicates a 10:1 dilution.","allDo","saSpecimen","anyCompartment","procGrp","naClass","naNomenclature",NA,"NA","NA","naUnitSet","see unit","naAggrSet","genQualitySet","active","2.0","2.0","added in V2.0","input","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","integer","1","NA","0","10","Facteur de dilution","Indique dans quelle mesure un échantillon ou une aliquote a été dilué avant l'analyse.","Le facteur de dilution est indiqué comme une mesure sans unité, où une valeur de 10 indique une dilution de 10:1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"disease","Disease (human)","class","Specifies a collection of measures/methods related to disease or infection in humans.","NA","Bio","poSpecimen","humanCompartment","naGroup","disease","ICD",NA,"NA","NA","naUnitSet","see unit","naAggrSet","genQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","varchar","NA","NA","0","30","Maladie (humaine)","Une maladie ou une infection chez les humains.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"dissGasUnits","Dissolved gas concentration unit set","unitSet","Unit set for carbon dioxide concentrations measurements in water or air.","NA","naDomain","naSpecimenSet","airWaterCompartment","naGroup","naClass","naNomenclature",NA,"NA","NA","dissGasUnits","quantitative","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","varchar","NA","NA","NA","NA","Ensemble d’unités pour la concentration de dioxyde de carbone","Ensemble d’unités pour les mesures de la concentration de dioxyde de carbone dans l'eau ou l'atmosphère.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not in version 1","not in version 1",NA,"not in version 1","NA","NA"
NA,"Issue #120","doc","Depth of coverage","unit","The sequencing read depth.","Used to interpret the confidence in a presence or amount of a varient.","Bio","saSpecimen","anyCompartment","naGroup","naClass","naNomenclature",NA,"$$","NA","naUnitSet","quantitative","naAggrSet","genQualitySet","active","2.0","2.0","Issue #120","input","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","integer","0","100","0","10","Profondeur de la couverture","La profondeur de lecture du séquençage.","Utilisé pour interpréter la confiance dans la présence ou la quantité d'une variable.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"partType category","domain","Domain Part Type","dictionary","Domain is the highest level of describing of a measure. There are three domain types: biologic (i.e. Covid-19, chemical (i.e. nitrogen), physical measure (temperature).","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","partTypeCat","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","varchar","NA","NA","NA","NA","Domaine","Le domaine est le niveau le plus élevé de description d'une mesure. Il existe trois types de domaines : biologique ( ex. : Covid-19), chimique (ex. : azote), mesure physique (température).","NA","not included",NA,NA,NA,NA,NA,NA,"not included",NA,"NA","NA",NA,"NA","NA","NA"
NA,NA,"domainID","Domain ID","attribute","Domain is the highest level of describing of a measure. There are three domain types: biologic (i.e. Covid-19, chemical (i.e. nitrogen), physical measure (temperature).","The domain ID that corresponds to a given part. Mostly applicable for measures, methods, units, and aggregations.","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","header","NA","NA","categorical","NA","NA","0","30","ID du domaine","Le domaine est le niveau le plus élevé de description d'une mesure. Il existe trois types de domaines : biologique ( par exemple, Covid-19), chimique (par exemple, l'azote), mesure physique (température).","NA","not included",NA,NA,NA,NA,NA,NA,"not included",NA,"NA","NA",NA,"NA","NA","NA"
NA,NA,"ccc","Long term acute care hospital","category","Acute care hospitals, or complex contuing care, that provide care for patients with average length of stay longer than 25 days.","NA","naDomain","naSpecimenSet","anyCompartment","naGroup","naClass","naNomenclature",NA,"NA","shedCat","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","NA","NA","Hôpital de soins aigus de longue durée","Hôpitaux de soins aigus, ou complexes de soins continus, qui fournissent des soins aux patients dont la durée moyenne de séjour est supérieure à 25 jours.","NA","long term acute care hospital",NA,"Institution_type",NA,NA,NA,NA,"not included",NA,"NA","NA",NA,"NA","NA","Added from NWSS v2.0.2"
