Version,2.0.0,,,,,,,
lang,partID,partLabel,partDesc,partInstr,firstReleased,lastUpdated,changes,notes
eng,naNomenclature,Nomenclature not applicable,Not applicable.,Use 'not applicable' when there is no nomenclature for the part,2.0.0,2.0.0,added in V2.0.0,
eng,naSpecimen,Specimen not applicable,Non applicable specimen.,Use 'not applicable' when there is no specimen/set for the part,2.0.0,2.0.0,added in V2.0.0,
eng,naSpecimenSet,Specimen set not applicable,A specimen set for when specimen/specimen set is not applicable.,Use 'not applicable' when there is no specimen/set for the part,2.0.0,2.0.0,added in V2.0.0,
eng,natName,Native Name,"The native name of the language, i.e. what the language is called by its speakers.",Part of the metedata for a languageID.,2.0.0,2.0.0,added in V2.0.0,
eng,naUnit,Unit not applicable,Not appliable for units.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,naUnitSet,Unit set not applicable,Not applicable for unit sets.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,ncbi,National Center for Biotechnology Information,NCBI header,NA,2.0.0,2.0.0,added in V2.0.0,
eng,ncbiNotes,NCBI - notes,NCBI notes,NA,2.0.0,2.0.0,added in V2.0.0,
eng,neigh,Neighbourhood,"A municipal neighbourhood, this specifies a sub-section of a larger municipality.",NA,2.0.0,2.0.0,added in V2.0.0,
eng,neighborLevel,Local administrative units or neighborhoods,Local administrative units or neighborhoods,NA,2.0.0,2.0.0,added in V2.0.0,
eng,newVax,Population of newly vaccinated persons,Population of newly vaccinated persons,NA,2.0.0,2.0.0,added in V2.0.0,
eng,nextclade,NextClade nomenclature,Specifies variant or genetic nomenclature as set out by NextClade.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,ngmn,Normalized geometric mean,"Geometric mean, normalized.",NA,1.0.0,2.0.0,added in V2.0.0,
eng,nH4N,Ammonium Nitrogen,"Ammonium nitrogen concentration, as N.",NA,1.0.0,2.0.0,added in V2.0.0,
eng,niid19,niid_2019-ncov_n sars-cov-2 gene target,niid_2019-ncov_n sars-cov-2 gene target,NA,2.0.0,2.0.0,added in V2.0.0,
eng,noConcern,No quality concerns,A flag to indicate there is are no quality concern about the measure or sample.,NA,1.0.0,2.0.0,added in V2.0.0,
eng,noLabel,Sample not labelled,Sample had no label,NA,2.0.0,2.0.0,added in V2.0.0,
eng,noliquid,"No liquid concentration, liquid recombined with separated solids","No liquid concentration, liquid recombined with separated solids",NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
eng,nomenclature,Nomenclature,"A classification system to report the measure class. Only applicable to variants, mutations, and diseases.","Currently only used for class = variant, mutation, or disease. Valid options are currently restricted to 'NextClade', 'Pangolin', 'WHO', or 'ICD'.",2.0.0,2.0.0,added in V2.0.0,
eng,nomenclatures,Nomenclatures,A classification system to report the measure class.,See partID = nomenclatureID.,2.0.0,2.0.0,added in V2.0.0,
eng,norman,NORMAN,NORMAN header,NA,2.0.0,2.0.0,added in V2.0.0,
eng,normanNote,NORMAN - notes,Norman notes,NA,2.0.0,2.0.0,added in V2.0.0,
eng,noroG1,Norovirus G1,Norovirus genogroup 1,NA,2.0.0,2.0.0,added in V2.0.0,
eng,noroG2,Norovirus G2,Norovirus genogroup 2,NA,2.0.0,2.0.0,added in V2.0.0,
eng,notes,Notes,A note used to describe details that are not captured in other attrbitutes,There is no recommended structure of a note. Use notes as needed.,2.0.0,2.0.0,added in V2.0.0,
eng,noTime,Sample missing time stamp,Sample is missing the autosampler time; incomplete metadata on collection.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,nr,Not reported,"A value could have been recorded, however, it was not.",Missing value indicator for data that is absent because it was not reported.,1.0.0,2.0.0,added in V2.0.0,
eng,nrNAMissingnessSet,"Not reported, Not applicable missing set","Not reported, Not applicable missing set.",NA,2.0.0,2.0.0,added in V2.0.0,
eng,nSarbec,Sarbecovirus-specific N sars-cov-2 gene target,Sarbecovirus-specific N sars-cov-2 gene target,NA,2.0.0,2.0.0,added in V2.0.0,
eng,ntu,Nephelometric turbidity unit,"Nephelometric Turbidity Units, a unit used in the measurement of turbidity (see ""turbidity"" under measureIDs).",Nephelometric turbidity units (NTU) are based on white light (400–680nm) and 90° incident angle.,2.0.0,2.0.0,added in V2.0; github issue #122,
eng,nucAuto,Nuclisens automated magnetic bead extraction kit,Nucleic acid extraction performed using the nuclisens automated magnetic bead extraction kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
eng,nucManu,Nuclisens manual magnetic bead extraction kit,Nucleic acid extraction performed using the nuclisens manual magnetic bead extraction kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
eng,null,Null,A logical representation of a statement that is neither TRUE nor FALSE.,Missing value indicator when the value is neither TRUE nor FALSE.,1.0.0,2.0.0,added in V2.0.0,
eng,nwss,National Wastewater Surveillance System,NWSS header,NA,2.0.0,2.0.0,added in V2.0.0,
eng,nwssNotes,NWSS - notes,NWSS notes,NA,2.0.0,2.0.0,added in V2.0.0,
eng,nwssProcess,NWSS - process,NWSS process,NA,2.0.0,2.0.0,added in V2.0.0,
eng,nww,Water,"Non-wastewater, coming from any kind of water body",NA,1.0.0,2.0.0,added in V2.0.0,
eng,oc43,coronavirus OC43,Measure of the amount of coronavirus OC43.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,oc43Mat,oc43 spike target,Human coronavirus OC43 is used as the recovery efficiency control target.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,ocean,"Ocean, natural water body","Ocean, natural water body",NA,1.0.0,2.0.0,added in V2.0.0,
eng,oColDep,Other Collection depreciated,Other type of collection method. Add description to collectionOther.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",1.0.0,2.0.0,"Depreciated in version 2 with all ""other"" fields",
eng,ola,Lab Analysis,Offline laboratory analysis.,NA,1.0.0,2.0.0,added in V2.0.0,
eng,omicr1,Omicron BA.1,Omicron B.1.1.529,NA,2.0.0,2.0.0,added in V2.0.0,
eng,omicr2,Omicron BA.2,Omicron BA.2,NA,2.0.0,2.0.0,added in V2.0.0,
eng,omicr275,Omicron BA.2.75,Omicron BA.2.75,NA,2.0.0,2.0.0,added in V2.0.0,
eng,omicr4,Omicron BA.4,Omicron BA.4,NA,2.0.0,2.0.0,added in V2.0.0,
eng,omicr5,Omicron BA.5,Omicron BA.5,NA,2.0.0,2.0.0,added in V2.0.0,
eng,onsDate,Onset date,"Earliest that symptoms were reported for this case. This data is often not known and reported. In lieu, episode is used.",NA,1.0.0,2.0.0,added in V2.0; depreciated,
eng,onse,Online Sensor,Online sensor,An online sensor,1.0.0,2.0.0,added in V2.0.0,
eng,ontologyRef,Ontology reference,Ontology reference for a part.,"This field contains a link to an existing ontology reference for the part. ODM content spans several existing ontologies. ODM does not strive to generate a new ontology, rather ODM seeks to harmonize and extend dictionaries for application in environmental and public health surveillance.",2.0.0,2.0.0,naUnitSet,
eng,ophos,Orthophosphates,Ortho-phosphate concentration.,NA,1.0.0,2.0.0,added in V2.0.0,
eng,orb,Other residential building,Individual residential buildings or institutions not captured in other categories,NA,2.0.0,2.0.0,added in V2.0.0,
eng,orBoo,OR Boolean aggregation,"""OR"" aggreation.","If any value in the aggregation is ""TRUE"" then the OR aggregation is also ""TRUE"". If all values in the aggregation is ""FALSE"" then the OR aggregation is also ""FALSE"".",2.0.0,2.0.0,added in V2.0.0,
eng,orf1a,ORF1a sars-cov-2 gene target,ORF1a sars-cov-2 gene target,NA,2.0.0,2.0.0,added in V2.0.0,
eng,orf1ab,ORF1ab sars-cov-2 gene target,ORF1ab sars-cov-2 gene target,NA,2.0.0,2.0.0,added in V2.0.0,
eng,orf1b,ORF1b sars-cov-2 gene target,ORF1b sars-cov-2 gene target,NA,2.0.0,2.0.0,added in V2.0.0,
eng,organizationID,Organization ID,A unique identifier for the organization to which the reporter is affiliated.,NA,1.1.0,2.0.0,added in V2.0.0,
eng,organizations,Organization table,The table that contains information about a laboratory.,adapt from verson 1 documentation,1.0.0,2.0.0,"description wording, structure",
eng,organizationsOrder,Organizations table column order,Specifies the order of the columns in a Organizations table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,organizationsRequired,Organziation table required headers,Specifies the columns required in a Organizations table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,orgLevel,Organization level,The geographic level of an organization.,There are six levels based on International Standard Classification of Administrative Units (ISCU).,2.0.0,2.0.0,added in V2.0.0,
eng,orgLevelSet,Organization level set,Categories of organization levels.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,orgSector,Organization sector,The sector of an organization,NA,2.0.0,2.0.0,added in V2.0.0,
eng,orgSectorSet,Organization sector set,Cateogries of organization sectors.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,orgType,Organization Type,Specifies the type or purpose of a given organization.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,orgTypeSet,Organization type set,The set for storing organization types.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,origin,Sample origin,An attribute of a sample specifying the origin.,NA,2.0.0,2.0.0,added in V2.0; GitHub issue #94,
eng,originSet,Sample Origin set,The set for storing the valid categorical values of sample origin.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,otco,Other Collection depreciated,Other type of collection method. Add description to collectionOther.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",1.0.0,2.0.0,"Depreciated in version 2 with all ""other"" fields",
eng,othAgg,Other aggregation scale,"Specifies an aggregation scale that can't be described as either ""qualitative"" or ""quantitative"".",NA,2.0.0,2.0.0,added in V2.0.0,
eng,other,Other,Other,"Other category. A categorical response for several variables in version 1. Also accompanied by a free text field. Depreciated in version 2, with common text fields added as new categories in version 2.0.0",2.0.0,2.0.0,NA,
eng,otherAggrSet,Other aggregation set,Aggregation set used for unitless measures.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,otherDep,Other aggregation depricated,Other aggregation method. Add description to aggregationOther,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",1.0.0,2.0.0,"Depreciated in version 2 with all ""other"" fields",
eng,otherProvDep,Access to other prov depricated,"If this is 'no', this data will not be available to other data providers not listed before. If missing, data will be available to other data providers not listed before",NA,1.0.0,2.0.0,"depreciated, sharing moved to sharing schema",
eng,otherReportTableSet,Other report table set,Additional tables that form the full data model.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,otherV,Variants Other,Used for reporting variants detected for which a specific measureID doesn't already exist. The ODM team will periodically migrate collected responses in this category into set measureIDs.,"Please write in an official name for the new variant that was detected, and specify which nomenclature you're using with the nomenclatureID.",2.0.0,2.0.0,added in V2.0.0,
eng,otsisaDep,Other Site - sample depreciated,Other type of site. Add description to typeOther.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",1.0.0,2.0.0,"Depreciated in version 2 with all ""other"" fields",
eng,otsisiDep,Other Site - Site depreciated,Other site type. Add description to typeOther,NA,1.0.0,2.0.0,"Depreciated in version 2 with all ""other"" fields",
eng,otunDep,Other Unit depricated,Other measurement of viral copies or wastewater treatment plant parameter. Add description to UnitOther.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",1.0.0,2.0.0,"Depreciated in version 2 with all ""other"" fields",
eng,outb,Outbreak,"Measure to indicate outbreak status. Given that when outbreaks occur, full data on case counts may not be available or completely accurate, using this measure indicates that case counts may be approximate.",The datetime for the measure helps indicate that start and end periods for an outbreak.,2.0.0,2.0.0,added in V2.0; github issue #203,
eng,outbEnd,Outbreak End,Indicates an outbreak has ended.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,outbOngoing,Outbreak - on-going,Indicates an outbreak is on-going.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,outbreak,Outbreak class,Measures and methods relating to public health outbreaks.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,outbreakSet,Outbreak set,set for the valid values of the outbreak measure.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,outbStart,Outbreak start,Indicates an outbreak began.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,p100l,p100l delta-variant gene target,p100l delta-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
eng,p2046l,p2046l delta-variant gene target,p2046l delta-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
eng,p2287s,p2287s delta-variant gene target,p2287s delta-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
eng,p3395h,p3395h omicron-variant gene target,p3395h omicron-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
eng,p681r,p681r delta-variant gene target,p681r delta-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
eng,pairLay,Paired Layout,Specifies the paired layout for a sequencing method,NA,2.0.0,2.0.0,added in V2.0.0,
eng,pangolin,Pangolin nomenclature,Specifies variant or genetic nomenclature as set out by the Phylogenetic Assignment of Named Global Outbreak Lineages (Pangolin).,NA,2.0.0,2.0.0,added in V2.0.0,
eng,parDatasetID,Parent dataset ID,The datasetID that is a parent to another datasetID.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,parent,Parent sample ID,If this sample has been pooled into one big sample for analysis this indicates the sample of the larger pooled sample.,NA,1.1.0,2.0.0,Replaced in V2 with approach to describe sample relationships that allows greater flexibility than soley parents.,
eng,parSiteID,Parent Site ID,The siteID that is a parent to another siteID; usually the sub-site will be contained in the parentSite.,"An example would be surface testing in a LTC facility. The LTC facility would be the parentSiteID, and the various rooms/surfaces would be the sub-sites, or child-sites.",2.0.0,2.0.0,added in V2.0.0,
eng,partDesc,Part description,The description of the part.,"Provides description of the part, used for tranlsation.",2.0.0,2.0.0,added in V2.0.0,
eng,partID,Part identifier,The unique identify of any entity within the dictionary.,"Every entity in the ODM has a partID. The partID must be unique with no duplcates. partIDs are short. partIDs that are constructed by different part attributes can be up 28 characters (check max), but each part attibute should be 1 to 5 characters. partIDs are machine readible, but a knowledgable user can understand what they represent. partID are used, for example, as a header in an Excel input table. Numbers are allowed but there no other special characters other than `_`. `_` is a reserved character that is used to generate a partID using a compoent or table attributes. A partID for a subComponent is automatically generated using attributes of a component. For example, the partID for the compoent `SARS-CoV-2` is `covid`. `Covid` can have many subComponents including different groups (Covid-19-al, Covid-19-va, ovid-pr (allele, variant or protein) or units and aggregatrions (i.e. covid-al-N1-mean-cpl representing ovid allele N1, mean observation of viral copies per litre of effluent). A similar approach to naming subComponent is use for naming parts in a reprotTable.",1.0.0,2.0.0,NA,
eng,partInstr,Part instruction,Additional notes and instructions on how a part is used and/or defined.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,partLabel,Label,A human readable label of a part.,"Typically, a part label has no acrynomns (every word is spelled out). Equivalent to a LOINC common name.",2.0.0,2.0.0,added in V2.0.0,
eng,parts,Parts Look-up table,Look up table containing all parts in of the data model.,"Contains all parts, including self-referential parts.",2.0.0,2.0.0,added in V2.0.0,
eng,partsOrder,Parts table column order,Order of headers in the Parts table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,partsRequired,Parts table required headers,Required headers in the Parts table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,partType,Part types,Part types describe the purpose or use of the part.,"Enivornment data has three main part types: measure (i.e. covN1 viral measures, wasteawater flow rate, temperature), method (e.g. how the measure was taken), and attribute (such as a site name). See description of each of the part types within categorySetID = partTypeCatSets.",2.0.0,2.0.0,added in V2.0.0,
eng,pceDep,Primary Clarifier Effluent depreciated,Effluent obtained after primary clarifiers.,"Deprecated in version 2, please do not use. Duplicate of the sampleMat categories - refer to those.",1.0.0,2.0.0,"depreciated, site material like this is now captured in the sample table",
eng,pCode,Postal or Zip Code,"The zip code or postal code for a given address, specifying a specifc geographic area.",NA,2.0.0,2.0.0,added in V2.0.0,
eng,pcr,qPCR Class,Measures and methods relating to qPCR.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,pcrmeth,PCR method,Description of the PCR method.,Description of the PCR method used,1.0.0,2.0.0,description wording,
eng,pcrQualitySet,PCR quality set,Quality set for PCR measures.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,pcrSeq,PCR sequencingsSelection method,"Specifies the PCR selection method for sequencing, ie. that a pre-determined primer was used.",Primer should be specified if this is selected.,2.0.0,2.0.0,added in V2.0.0,
eng,pcrSet,PCR Method set,The set capturing containing all of the valid methods for the PCR methodID.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,pcs,Primary Clarifier Sludge depreciated,Sludge produced by primary clarifiers.,NA,1.0.0,2.0.0,"depreciated, site material like this is now captured in the sample table",
eng,pEfflu,Primary clarifier effluent,Effluent obtained after primary clarifiers,NA,1.0.0,2.0.0,NA,
eng,peg,Polyethyleneglycol (PEG) precipitation,Peg precipitation,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
eng,perc,Percent,Percentage.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,percRec,Percent recovery,Percent of the surrogate recovery for a recovery efficiency control assay.,Use this for reporting the results of any recovery control assay.,1.0.0,2.0.0,"description wording, structure",
eng,ph,pH,pH measurement,NA,1.1.0,2.0.0,"description wording, structure",
eng,phac,Access to phac,"If this is 'no', the data will not be available to employees of the Public Health Agency of Canada - PHAC. If missing, data will be available to employees of the Public Health Agency of Canada - PHAC.",NA,1.0.0,2.0.0,"depreciated, sharing moved to sharing schema",
eng,phage,PHAGE,PHAGE header,NA,2.0.0,2.0.0,added in V2.0.0,
eng,phageNotes,PHAGE - notes,PHAGE notes,NA,2.0.0,2.0.0,added in V2.0.0,
eng,pHClass,pH class,Measures and methods relating to pH.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,phenCl,Phenol chloroform,Nucleic acid extraction performed using phenol chloroform.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
eng,phi6,Pseudomonas virus phi6,Measure of the amount of pseudomonas virus phi6.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,phi6Mat,phi6 spike target,Pseudomonas virus phi6is used as the recovery efficiency control target.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,phone,Contact phone,"Contact phone number, for the lab.",NA,1.0.0,2.0.0,"description wording, structure",
eng,phos,Total phosphorous,Total phosphorous,NA,1.1.0,2.0.0,"description wording, structure",
eng,phostot,Total Phosphates,Total phosphates,NA,1.1.0,2.0.0,"description wording, structure",
eng,phred,PHRED quality score,PHRED Quality Score For Sequencing,NA,2.0.0,2.0.0,added in V2.0.0,
eng,phy,Physical property,A physical property or object not characterized by life or chemistry.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,physical,Physical class,Measures and methods related to generic physical properties.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,pK,Primary key,Primary key for a table.,All report tables have a primary key. Each row in a report table has unique identifier recorded in the primary key.,2.0.0,2.0.0,added in V2.0.0,
eng,pmFloMean,PMMoV- and flow-normalized mean,Mean measure normalized to amount of PMMoV and wastewater flow.,"Mostly used for reporting specific alleles (N1, N2, E, etc.)",2.0.0,2.0.0,added in V2.0.0,
eng,pmmovNorm,PMMoV-normalized mean,Mean measure normalized to amount of PMMoV.,"Mostly used for reporting specific alleles (N1, N2, E, etc.)",2.0.0,2.0.0,added in V2.0.0,
eng,po,Population,An measure or observation for a geographic area or population.,"Examples include human compartment measures such as case numbers, hospitalization rates for diseases or surface or air compartment measures such as snow coverage or ambient temperature.",1.0.0,2.0.0,added in V2.0.0,
eng,pogr,Post-Grit depreciated,Raw wastewater after a treatment plant's headworks.,NA,1.0.0,2.0.0,"depreciated, site material like this is now captured in the sample table",
eng,polygonID,Polygon ID,Unique identifier for the polygon.,A polygon is a geographic are representing the capment area of an environmental sample.,1.0.0,2.0.0,"description wording, structure",
eng,polygons,Polygon table,The table that contains information about the geometry of a geographic area.,NA,1.0.0,2.0.0,"description wording, structure",
eng,polygonsOrder,Polygons table column order,Specifies the order of the columns in a Polygons table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,polygonsRequired,Polygon table required headers,Specifies the columns required in a Polygons table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,polyPop,Polygon Population,"An attribute of a polygon, which specifies the population of that polygon. A rough estimate of the number of human residents.",NA,2.0.0,2.0.0,added in V2.0.0,
eng,pooled,Pooled,"Is this a pooled sample, and therefore composed of multiple child samples obtained at different sites",NA,1.0.0,2.0.0,added in V2.0.0,
eng,popDateTypeDep,Type of date for case reporting depreciated,"Type of date used for confirmed cases. Typically, report or episode are reported. Onset and test date is not usually reported within aggregate data.",NA,1.0.0,2.0.0,depreciated,
eng,popDateTypeSet,Case reporting date set,set for the date of case reporting.,NA,1.0.0,2.0.0,"added in V2.0.0,depreciated",
eng,popEq,Population equivalents,"A unit for measuring of design capacity for wastewater treatment plants, represented as the approximate amount of water a signle person would use.",NA,1.0.0,2.0.0,"description wording, structure; github issue #123",
eng,popGrp,Population group,A group of measures/methods related to population-level factors.,"Examples might be case numbers, hospitalization rates, etc.",2.0.0,2.0.0,added in V2.0.0,
eng,popServ,Population Served,"An attribute of a site, which specifies the population of/population served by a given site.",NA,2.0.0,2.0.0,added in V2.0.0,
eng,populationUnitSet,Population unit set,Unit set for hospital-related measurements.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,poSaSpecimenSet,Population or sample set,A specimen set that inculdes population or sample specimen.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,poSiSpecimenSet,Population or site set,A specimen set that inculdes population or site specimen.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,poSpecimenSet,Population specimen set,A specimen set that inculdes only a population specimen.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,pp,Percent positive,Percent positive of sample measures.,"Can use for Moore swabs, etc.",1.0.0,2.0.0,description wording.,
eng,ppm,parts per million,Parts per million.,NA,1.0.0,2.0.0,description wording.,
eng,ppmv,PMMoV-CP,Pepper mild mottle virus capsid protein gene region,NA,1.0.0,2.0.0,"description wording, structure",
eng,pprt,Percent positivity rate,Percent positivity rate of tests conducted within a day in a given region.,NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
eng,pps,Percent primary sludge,"Percentage of total solids, for primary sludge.",NA,1.0.0,2.0.0,description wording.,
eng,precipation,Precipitation class,Measures and methods related to precipitation.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,precipitationUnitSet,Precipitation unit set,Unit set for percipitation measurements.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,pretreat,Pretreatment,Was the sample chemically treated in anyway with the addition of stabilizers or other,Pretrement method can be describe using a method. See methodID.,1.0.0,2.0.0,NA,
eng,primer,Genetic primer,Method ID used for indicating the primer used for a PCR or sequencing assay.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,primerSet,Genetic primer set,The set for genetic primers used in sequencing or PCR assays.,NA,2.0.0,2.0.0,naUnitSet,
eng,priv,Private sector,The category of organization type used for private sector or non-profit groups that are not otherwise captured by the academic category.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,procGrp,Processing group,A group of measures/methods related to processing samples for analysis.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,programDescr,Program decription tables,Tables used to describe surveillance and testing programs.,"Program description tables record metadata on the organizations, locations, and protocols. Information include the name, location, and other contact information.These tables are usually completed once and they are updated only when contact information changes.",2.0.0,2.0.0,added in V2.0.0,
eng,promAuto,promega automated tna kit,Nucleic acid extraction performed using the promega automated tna kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
eng,promHt,promega ht tna kit,Nucleic acid extraction performed using the promega ht tna kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
eng,promManu,promega manual tna kit,Nucleic acid extraction performed using the promega manual tna kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
eng,promWW,promega wastewater large volume tna capture kit,Nucleic acid extraction performed using the promega wastewater large volume tna capture kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
eng,prop,Proportion of total,Proportion as a precent of total.,NA,1.0.0,2.0.0,description wording.,
eng,propV,Proportion of variant in sample,Proportion of a variant as percent of total variants.,NA,1.1.0,2.0.0,description wording.,
eng,protein,Proteins class,Measures and methods related to proteins.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,protocolID,Protocol ID,A unique identifier for a given protocol.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,protocolIDContainer,Protocol ID container,Unique identifier for the protocol and the steps and other protocols that make it up.,Protocol ID Container in popuated by a protocolID (partID = protocolID),2.0.0,2.0.0,added in V2.0.0,
eng,protocolIDObj,Protocol ID object,"The object of the relationship between one protocol and another protocol or step, within a given protocol ID container.","Populate this field using Protocol ID (partID = protocolID). Together with `protocolIDSub` or `stepIDSub` and `relationshipID`, the protocol relationship is defined as: [protocolIDSubject or stepIDSubject]  [relationshipID] [protocolIDObject or stepIDObject]. Ex: stepIDSubject  precedes protocolIDObject.",2.0.0,2.0.0,added in V2.0.0,
eng,protocolIDSub,Protocol ID subject,"The subject of the relationship between one protocol and another protocol or step, within a given protocol ID container.",Populate this field using Protocol ID (partID = protocolID). Together with `protocolIDObj` or `stepIDObj` and `relationshipID` the row of `protocolRelationships` should say: [protocolIDSubject or stepIDSubject]  [relationshipID] [protocolIDObject or stepIDObject]. Ex: stepIDSubject  precedes protocolIDObject.,2.0.0,2.0.0,added in V2.0.0,
eng,protocolRelationships,Protocol relationships table,"The table that contains the organizational information and details (such as order) about a given protocol, recorded as a series of protocol steps (protocolSteps).","Protocols are a group of related protocol steps. For example a protocol step can describe a sample concentration, extraction, inhibition or a measurement. Protocols can include both methodID (a proceedure) and measureIDs (a measure). An example of a method is centrifugation; where the centriguation rotation speed is described as a measure.",2.0.0,2.0.0,added in V2.0.0,
eng,protocolRelationshipsOrder,Protocol relationships table column order,Specifies the order of the columns in the Protocol Organization table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,protocolRelationshipsRequired,Protocol Relationship table required headers,Specifies the columns required in the Protocol Organization table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,protocolRelSet,Protocol Relationships set,set for valid values of relationshipID in the protocolRelationships table.,Use only for protocolRelationships table relationshipID.,2.0.0,2.0.0,added in V2.0.0,
eng,protocols,Protocols table,The table for protocols.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,protocolsOrder,Protocols table column order,Specifies the order of the columns in the Protocols table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,protocolsRequired,Protocols table required headers,Specifies the columns required in the Protocols table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,protocolSteps,Protocol steps table,"The table for collecting metadata on individual steps in a protocol, methodological process, or assay.",NA,1.0.0,2.0.0,"updated from assay method into 2 tables, restructured.",
eng,protocolStepsOrder,Protocol steps table column order,Specifies the order of the columns in a Protocol Steps table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,protocolStepsRequired,Protocol steps table required headers,Specifies the columns required in a Protocol Steps table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,protocolTableSet,Protocol table set,Tables holding information on the methods used for sample collection or measurement.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,protocolVersion,Protocol version,Specifies the version of a method set.,Version of the method set. Semantic versioning is recommended.,2.0.0,2.0.0,added in V2.0.0,
eng,provHA,Access to prov ha,"If this is 'no', this data will not be available to provincial health authorities. If missing, data will be available to provincial health authorities.",NA,1.0.0,2.0.0,"depreciated, sharing moved to sharing schema.",
