"","partID","partLabel","partType","shortName","partDesc","partInstr","domainID","specimenSet","compSet","groupID","classID","nomenclatureID","ontologyRef","latExp","catSetID","unitSetID","aggScaleID","aggSetID","qualitySetID","status","firstReleased","lastUpdated","changes","protocolSteps","protocolStepsRequired","protocolStepsOrder","protocolRelationships","protocolRelationshipsRequired","protocolRelationshipsOrder","measures","measuresRequired","measuresOrder","measureSets","measureSetsRequired","measureSetsOrder","datasets","datasetsRequired","datasetsOrder","sites","sitesRequired","sitesOrder","samples","samplesRequired","samplesOrder","addresses","addressesRequired","addressesOrder","contacts","contactsRequired","contactsOrder","organizations","organizationsRequired","organizationsOrder","instruments","instrumentsRequired","instrumentsOrder","polygons","polygonsRequired","polygonsOrder","languages","languagesOrder","translations","translationsOrder","parts","sets","setsOrder","qualityReports","qualityReportsRequired","qualityReportsOrder","sampleRelationships","sampleRelationshipsRequired","sampleRelationshipsOrder","protocols","protocolsRequired","protocolsOrder","refLink","dataType","minValue","maxValue","minLength","maxLength","label_fr","partDescription_fr","partInstruction_fr","NWSS","NWSS_process","NWSS_notes","ENA","ENA_notes","NORMAN","NORMAN_note","W_SPHERE","W_SPHERE_Notes","NCBI","PHAGE","version1Table","version1Location","version1Table2","version1Variable","version1CatSetegory","version1to2Changes"
"250","gcL","Gene Copies per L","unit","NA","Gene or variant copies per litre.","NA","Bio","saSpecimen","anyCompartment","naGroup","naClass","naNomenclature","NA","$gc/{l}$","NA","naUnitSet","quantAggScale","linearAggrSet","pcrQualitySet","active","1.0","2.0","description wording.","input","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","integer","0","NA","NA","NA","Copies de gènes par L","Copies de gène ou de variant par litre.","NA","NA","NA","NA","NA","NA","NA","NA","not included","NA","NA","NA","WWMeasure; AssayMethod","variableCatSetegories","NA","unit","gcL","restructure"
"251","gcMl","Gene Copies per mL","unit","NA","Gene or variant copies per millilitre of solution.","NA","Bio","saSpecimen","anyCompartment","naGroup","naClass","naNomenclature","NA","$gc/{ml}$","NA","naUnitSet","quantAggScale","linearAggrSet","pcrQualitySet","active","1.0","2.0","description wording.","input","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","integer","0","NA","NA","NA","Copies de gènes par mL","Copies de gène ou de variant par millilitre.","NA","NA","NA","NA","NA","NA","NA","NA","not included","NA","NA","NA","WWMeasure; AssayMethod","variableCatSetegories","NA","unit","gcMl","restructure"
"252","gcPpmov","Gene Copies per PMMoV Copy","unit","NA","Gene or variant copies per copy of PMMoV.","NA","Bio","saSpecimen","waterCompartment","naGroup","naClass","naNomenclature","NA","$gc/{gc_{PMMoV}$","NA","naUnitSet","quantAggScale","linearAggrSet","pcrQualitySet","active","1.0","2.0","description wording.","input","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","integer","0","NA","NA","NA","Copies de gènes par copie de PMMoV","Copies de gène ou de variant par copie de PMMoV.","NA","NA","NA","NA","NA","NA","NA","NA","not included","NA","NA","NA","AssayMethod","variableCatSetegories","NA","unit","gcPMMoV","NA"
"253","geneticUnitSet","Genetics unit set","unitSet","NA","Unit set for genetic-related measurements.","NA","naDomain","naSpecimenSet","anyCompartment","naGroup","naClass","naNomenclature","NA","NA","NA","geneticUnitSet","quantAggScale","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","categorical","NA","NA","0","30","Ensemble d'unités de génétique","Ensemble d'unités pour les mesures liées à la génétique.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"254","genMissingnessSet","General Missingness Set","missingnessSet","NA","The general set for missingness values.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in version 2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","Ensemble des valeurs d'absence","Un ensemble pour les valeurs manquants.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"255","genQualitySet","Generic Quality Flag Set","qualitySet","NA","A the quality set for flags to indicate if there is a quality concern about a given generic measure or sample.","1 = quality concern, 0 = no quality concern.","naDomain","naSpecimenSet","anyCompartment","naGroup","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","genQualitySet","active","1.0","2.0","description wording, structure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","categorical","NA","NA","0","30","Ensemble générique des indices de qualité","Un ensemble de qualité pour les indicateurs permettant de savoir si une mesure générique ou un échantillon donné pose un problème de qualité.","1 = problème de qualité, 0 = pas de problème de qualité.","quality_flag","NA","NA","NA","NA","NA","NA","Passed QA/QC","Samples","NA","NA","Sample","variables","NA","qualityFlag","NA","Added"
"256","geoEPSG","European Petroleum Survey Group Coordinates","attribute","NA","The unique EPSG code specifying a given geospatial area.","NA","naDomain","naSpecimenSet","naCompartmentSet","miscAttr","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","header","mandatoryIf","17","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","header","mandatory","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","float","NA","NA","0","30","Coordonnées du Groupe européen d'études pétrolières","Le code EPSG unique spécifiant une zone géospatiale donnée.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","geo_loc_name","NA","NA","NA","NA","NA","NA","NA"
"257","geoLat","Latitude","attribute","NA","Geographical location, latitude in decimal coordinates, ie.: (45.424721)","NA","naDomain","naSpecimenSet","naCompartmentSet","miscAttr","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","1.0","2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","header","mandatoryIf","15","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","float","-90","90","NA","NA","Latitude géographique","Position géographique du site d'échantillonnage. Latitude exprimée en coordonnées décimales (ex. 45.424721)","NA","NA","NA","NA","geographic location (latitude)","NA","latitude","SAMPLING SITE / STATION","latitude","NA","geo_loc_name","NA","Site","variables","NA","geoLat","NA","NA"
"258","geoLong","Longitude","attribute","NA","Geographical location, longitude in decimal coordinates, ie.: (-75.695000)","NA","naDomain","naSpecimenSet","naCompartmentSet","miscAttr","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","1.0","2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","header","mandatoryIf","16","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","float","-180","180","NA","NA","Longitude géographique","Position géographique du site d'échantillonnage. Longitude exprimée en coordonnées décimales (ex. -75.695000)","NA","NA","NA","NA","geographic location (longitude)","NA","longitude","SAMPLING SITE / STATION","longitude","NA","geo_loc_name","NA","Site","variables","NA","geoLong","NA","NA"
"259","geoType","Type of geography","attribute","NA","Type of geography that is represented by the polygon.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature","NA","NA","geoTypeCatSet","naUnitSet","NA","naAggrSet","NA","active","1.0","2.0","description wording, structure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","header","mandatory","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","categorical","NA","NA","0","30","Type de polygone","Type de polygone.","NA","NA","NA","NA","NA","NA","NA","NA","not included","NA","NA","NA","Polygon","variables","NA","type","NA","NA"
"260","geoTypeCatSet","Geographic category set","catSet","NA","CatSetegory set for different type of geographic components.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature","NA","NA","geoTypeCatSet","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","categorical","NA","NA","0","30","Ensemble de catégories géographiques","Ensemble de catégories pour les différents types de composants géographiques.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"261","geoWKT","Well-known text","attribute","NA","Well-known text of the polygon","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","1.0","2.0","description wording, structure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","header","mandatory","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","63","Texte de référence","Description formelle du polygone (format Well-Known-Text (wkt))","NA","NA","NA","NA","NA","NA","NA","NA","not included","NA","NA","NA","Polygon","variables","NA","wkt","NA","NA"
"262","gm3","Gram per cubic metre","unit","NA","Density unit.","Used for absolute humidity and other measures.","allDo","anySpecimen","airCompartment","naGroup","naClass","naNomenclature","NA","$g/m^3$","NA","naUnitSet","quantAggScale","linearAggrSet","genQualitySet","active","2.0","2.0","added in V2.0","input","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","float","0","NA","NA","NA","Gramme par mètre cube","Gramme par mètre cube.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"263","gmn","Geometric Mean","aggregation","NA","Geometric mean.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature","NA","NA","NA","naUnitSet","quantAggScale","naAggrSet","NA","active","1.0","2.0","NA","input","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","see unit","see unit","NA","NA","Moyenne géométrique","Moyenne géométrique.","NA","NA","NA","NA","NA","NA","NA","NA","not included","NA","NA","NA","WWMeasure; SiteMeasure","variableCatSetegories","NA","aggregation","geoMn","NA"
"264","govt","Government agency organization type","category","NA","The category of organization type used for government agencies, programs, or crown-owned bodies.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","10","Organisation de type d'agence gouvernementale","La catégorie de type d'organisation utilisée pour les agences gouvernementales, les programmes ou les organismes d'État.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"265","grams","Grams","unit","NA","A unit of mass or weight.","NA","Phy","siSaSpecimen","anyCompartment","naGroup","naClass","naNomenclature","NA","$g$","NA","naUnitSet","quantAggScale","linearAggrSet","genQualitySet","active","2.0","2.0","added in V2.0","Input","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","float","0","NA","NA","NA","Grammes","Unité de masse ou de poids.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"266","graSet","Gravity settling","category","NA","Describes solid separation from a wastewater sample where the sample material is allowed to settle by gravity, and then separated.","NA","allDo","saSpecimen","waterCompartment","procGrp","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","Décantation par gravité","Décrit la séparation solide d'un échantillon d'eau usée, où l'on laisse le matériau de l'échantillon se déposer par gravité, puis on le sépare.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"267","grb","Grab sample","category","NA","A single large representative grab sample.","Use collectionPeriod to describe how many hours the sample was taken. If the sample is a composite of grab samples, collectionNum to record the number of samples.","naDomain","naSpecimenSet","waterCompartment","colGrp","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","sampleQualitySet","active","1.0","2.0","description wording, structure","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","Échantillon instantané","Un seul échantillon ponctuel représentatif.","NA","grab","collection","separate categories for 1 to 30 hours flw-weighted composite","NA","NA","NA","NA","not included","NA","NA","NA","Sample","variableCatSetegories","NA","collection","grb","NA"
"268","group","Groups","partType","NA","A collection of related measures.","See partID = groupID.","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","Groupe catégorie","Une collection de mesures liées.","Voir partID = groupID.","NA","NA","NA","NA","NA","NA","NA","not included","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"269","groupID","Group","attribute","NA","Unique identifier for a group of measures. Mostly applicable for measures, methods, units, and aggregations.","A collection of related measures. For example, SARS-CoV-2 is a group. Within the SARS-CoV-2 group, there are measure classes tht include RNA alleles (N1, N2, E, etc.), mutations, (E484K0), an entire sequence, viral proteins, etc. Currently groups are used for measures only.","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","fK","optional","14","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","header","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","categorical","NA","NA","0","30","Groupe","Identifiant unique pour un groupe de mesures.","Un ensemble de mesures liées. Par exemple, SARS-CoV-2 est un groupe. Au sein du groupe SARS-CoV-2, il existe des classes de mesures qui comprennent des allèles d'ARN (N1, N2, E, etc.), des mutations (E484K0), une séquence entière, des protéines virales, etc. Actuellement, les groupes ne sont utilisés que pour les mesures.","NA","NA","NA","NA","NA","NA","NA","not included","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"270","h","Human compartment","compartment","NA","A measure or observation made about a human.","NA","Bio","anySpecimen","humanCompartment","naGroup","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","1","Humaine","Une mesure ou une observation faite sur un humain.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"271","header","Header","category","NA","Header for a table. Also known as a table variable or enitiy relationship 'attribute'.","Header is the top row or the variable name in a table.","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","En-tête","En-tête d'une table. Également connu sous le nom de variable de table ou ""d'attribut"" de relation d'entité.","L'en-tête est la ligne supérieure ou le nom de la variable dans une table.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"272","healthReg","Health Planning Region","attribute","NA","The health planning authority where is site or insititute is located. See also `publicHealthDepartment`","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","1.1","2.0","description wording, structure","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","header","optional","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","Région de planification de la santé","L'autorité de planification de la santé où se trouve le site ou l'institut. Voir aussi `publicHealthDepartment`.","NA","reporting_jurisdiction","reporter","NA","geographic location (region and locality)","NA","NA","NA","Admin0 (Country/Region/Sovereignty)?","sites","NA","NA","Site","variables","NA","healthRegion","NA","depricate???"
"273","heatInacSARS","Heat inactivated sars-cov-2 virus Spike Target","category","NA","Heat inactivated SARS-CoV-2 virus is used as the recovery efficiency control target.","NA","Bio","saSpecimen","anyCompartment","procGrp","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","Cible de virus SRAS-CoV-2 inactivé par la chaleur","Le virus SARS-CoV-2 inactivé par la chaleur est utilisé comme cible de contrôle de l'efficacité de la récupération.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"274","hepGRna","hep g armored rna","measure","NA","Measure of the amount Hepatitis G Armored RNA.","NA","Bio","saSpecimen","anyCompartment","virusMisc","naClass","naNomenclature","NA","NA","NA","geneticUnitSet","see unit","naAggrSet","genQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","see unit","see unit","see unit","NA","NA","rna blindé de l'hep g","Mesure de la quantité d'ARN blindé de l'hépatite G.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"275","hepGRnaMat","hep g armored rna Spike Target","category","NA","Hepatitis G armored RNA is used as the recovery efficiency control target.","NA","Bio","saSpecimen","anyCompartment","procGrp","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","Cible de rna blindé hep g","L'ARN blindé de l'hépatite G est utilisé comme cible de contrôle de l'efficacité de la récupération.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"276","high","High severity","category","NA","Indicates a very sever quality issue, likely meaning the data should not be reported.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in version 2","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","Très grave","Indique un problème de qualité très grave, ce qui signifie probablement que les données ne doivent pas être communiquées.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"277","hlthReg","Sewer Network Health Region","category","NA","Health region served by the sewer network","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","1.0","2.0","Name Change (from Polygon Type)","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","Région de santé du réseau d'égout","Région de santé desservie par le réseau d'égout.","NA","NA","NA","NA","geographic location","NA","NA","NA","not included","NA","NA","NA","Polygon","variableCatSetegories","NA","type","hlthReg","NA"
"278","hma","Hand Measurement","category","NA","Handheld measurement analyzer.","A handheld measurement analyzer.","naDomain","naSpecimenSet","anyCompartment","naGroup","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","NA","active","1.0","2.0","description wording, structure","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","Mesuré à la main","Mesure é l'aide d'un capteur manuel.","NA","NA","NA","NA","NA","NA","NA","NA","not included","NA","NA","NA","Instrument","variableCatSetegories","NA","NA","type","hand"
"279","hollowFiberUF","Hollow fiber dead end ultrafiltration","category","NA","Hollow fiber dead end ultrafiltration","NA","Che","naSpecimenSet","waterCompartment","procGrp","naClass","naNomenclature","NA","NA","NA","naUnitSet","NA","naAggrSet","genQualitySet","active","2.0","2.0","added in version 2, added from NWSS","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","Ultrafiltration par fibres creuses","Ultrafiltration par fibres creuses en cul-de-sac","NA","concentration_method","precessing method","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"280","hosa","General Hospital Admissions","unit","NA","Hospital admissions or patients newly admitted to hospital.","NA","Bio","poSpecimen","naCompartmentSet","naGroup","naClass","naNomenclature","NA","$people$","NA","naUnitSet","NA","linearAggrSet","genQualitySet","active","1.0","2.0","now a unit for any group or biologic infection","input","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","integer","0","NA","NA","NA","Admissions à l'hôpital","Nombre d'admissions ou nombre de patients admis à l'hôpital.","NA","NA","NA","NA","NA","NA","NA","NA","not included","NA","NA","NA","CovidPublicHealthData","variableCatSetegories","NA","type","hospAdm","NA"
