"partID","partLabel","partType","shortName","partDesc","partInstr","domain","specimenSet","compartmentSet","group","class","nomenclature","ontologyRef","latExp","mmaSet","unitSet","aggregationScale","aggregationSet","qualityIndSet","missingnessSet","status","firstReleased","lastUpdated","changes","protocolSteps","protocolStepsRequired","protocolStepsOrder","protocolRelationships","protocolRelationshipsRequired","protocolRelationshipsOrder","measures","measuresRequired","measuresOrder","measureSets","measureSetsRequired","measureSetsOrder","datasets","datasetsRequired","datasetsOrder","sites","sitesRequired","sitesOrder","samples","samplesRequired","samplesOrder","addresses","addressesRequired","addressesOrder","contacts","contactsRequired","contactsOrder","organizations","organizationsRequired","organizationsOrder","instruments","instrumentsRequired","instrumentsOrder","polygons","polygonsRequired","polygonsOrder","languages","languagesRequired","languagesOrder","translations","translationsRequired","translationsOrder","parts","partsRequired","partsOrder","sets","setsRequired","setsOrder","qualityReports","qualityReportsRequired","qualityReportsOrder","sampleRelationships","sampleRelationshipsRequired","sampleRelationshipsOrder","protocols","protocolsRequired","protocolsOrder","countries","countriesRequired","countriesOrder","zones","zonesRequired","zonesOrder","refLink","dataType","minValue","maxValue","minLength","maxLength","label_fr","partDescription_fr","partInstruction_fr","nwss","nwssProcess","nwssNotes","ena","enaNotes","norman","normanNote","wSphere","wSphereNotes","ncbi","phage","version1Table","version1Location","version1Variable","version1Category","version1to2Changes"
"corFcil","Cphd ID","categories",NA,"Correctional facility",NA,"naDomain","naSpecimenSet","anyCompartmentSet","colGrp","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","1.0.0","2.0.0","description wording, structure",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Établissement correctionnel","Établissement correctionnel.",NA,"correctional",NA,"Institution_type",NA,NA,NA,NA,NA,NA,NA,NA,"Site","variableCategories","type","corFcil",NA
"cosca","COSCa ball","categories",NA,"COSCa passive sampling device.","Use collectionPeriod to describe how many hours the ball was used to collect the sample","naDomain","naSpecimenSet","waterCompartmentSet","colGrp","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://pubs.rsc.org/en/content/articlelanding/2021/ew/d1ew00207d","varchar",NA,NA,0,30,"ballon COSCa","Appareil d'échantillonnage passif COSCa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"countries","Countries look-up tables","tables","cu","Look up table for the possible country inputs.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","lookup","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.1.0","2.1.0","added in V2.1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","mandatory",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Tables de recherche des pays","Tableau de consultation des entrées possibles pour le pays.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"countriesOrder","Countries table column order","tableSupport",NA,"Specifies the order of the columns in the countries table.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.1.0","2.1.0","added in V2.1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","mandatory",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integer","1",NA,NA,NA,"L’ordre des colonnes de la table de pays","Indique l’ordre des colonnes dans une table des pays.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"countriesRequired","Counries table required headers","tableSupport",NA,"Required headers in the countries table.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.1.0","2.1.0","added in V2.1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","mandatory",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"En-têtes obligatoires du tableau de pays","En-têtes obligatoires dans le table des pays.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"country","Country","attributes",NA,"The country where a site or organization is located; part of the address.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"genMissingnessSet","active","1.0.0","2.0.0","description wording, structure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fK","mandatory",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Pays","Le pays où se trouve un site ou une organisation ; partie de l'adresse.",NA,NA,NA,NA,NA,NA,"Name of country","SAMPLING SITE / STATION",NA,NA,"geo_loc_name",NA,NA,NA,NA,NA,NA
"countryEndonym","Country endonym","attributes",NA,"The name locals use for their country.","Preprogrammed into dictionary tables, not editable by users.","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.1.0","2.1.0","added in V2.1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","mandatory",10,NA,NA,NA,NA,"varchar",NA,NA,0,75,"Endonyme du pays","Le nom que les habitants utilisent pour désigner leur pays.","Préprogrammés dans les tables du dictionnaire, ils ne sont pas modifiables par les utilisateurs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"countryExonym","Country exonym","attributes",NA,"The English name foreigners use for the country.","Preprogrammed into dictionary tables, not editable by users.","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.1.0","2.1.0","added in V2.1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","mandatory",8,NA,NA,NA,NA,"varchar",NA,NA,0,75,"Pays exonyme","Le nom anglais utilisé par les étrangers pour désigner le pays.","Préprogrammés dans les tables du dictionnaire, ils ne sont pas modifiables par les utilisateurs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"countryLevel","Countries or sovereign states","attributes",NA,"Countries or sovereign states",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","ISCU",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"nrNAMissingnessSet","active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Pays ou États souverains","Pays ou États souverains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"countyLevel","Districts, counties, regions","attributes",NA,"Districts, counties, regions",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","ISCU",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"nrNAMissingnessSet","active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Districts, comtés, régions","Districts, comtés, régions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cov","Covid-19","measurements",NA,"Covid-19 infection.","Any form of Covid-19 human infetion - including testing for Covid-19, symptomatic Covid-19, asymptomatic Covid-19, hospitalized Covid-19, long-Covid-19, etc. If needed, define the specific form Covid-19 with units. See populationUnits.","bio","poSpecimenSet","humanCompartmentSet","sarsCov2","disease","ICD",NA,NA,NA,"populationUnitSet","seeUnitAggScale","otherAggrSet","genQualitySet","genMissingnessSet","active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar","seeUnitVal","seeUnitVal",NA,NA,"Covid-19","Infection à Covid-19.","Toute forme d'infection humaine de type Covid-19 - y compris le dépistage de Covid-19, Covid-19 symptomatique, Covid-19 asymptomatique, Covid-19 hospitalisé, long-Covid-19, etc. Si nécessaire, définissez la forme spécifique Covid-19 avec des unités. Voir populationUnits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cov2Me","SARS-CoV-2 measure","measurements",NA,"Measure the amount of SARS-CoV-2 virus.","This measure should only be used if there is no other SARS-CoV-2 measure. See groupID = sarsCov2. Use a note to describe the specific measure used. ","bio","anySpecimenSet","anyCompartmentSet","sarsCov2","allele","naNomenclature",NA,NA,NA,"geneticUnitSet","seeUnitAggScale","otherAggrSet","genQualitySet","genMissingnessSet","active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seeUnitData","seeUnitVal","seeUnitVal",NA,NA,"Mesure SRAS-CoV-2","Mesure de la quantité de virus SRAS-CoV-2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"covB117","SARS-CoV-2-B.1.1.7","measurements",NA,"Variant B.1.1.7 of the SARS-CoV-2 virus.",NA,"bio","saSpecimenSet","anyCompartmentSet","sarsCov2","variant","pangolin",NA,NA,NA,"geneticUnitSet","seeUnitAggScale","otherAggrSet","seqQualitySet","genMissingnessSet","active","1.1.0","2.0.0","added in V2.0.0","input",NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seeUnitData","seeUnitVal","seeUnitVal",NA,NA,"SRAS-CoV-2-B.1.1.7","SARS-CoV-2-B.1.1.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WWMeasure","variableCategories","type","varB117",NA
"covB135","SARS-CoV-2-B.1.351","measurements",NA,"Variant B.1.351 of the SARS-CoV-2 virus.",NA,"bio","saSpecimenSet","anyCompartmentSet","sarsCov2","variant","pangolin",NA,NA,NA,"geneticUnitSet","seeUnitAggScale","otherAggrSet","seqQualitySet","genMissingnessSet","active","1.1.0","2.0.0","added in V2.0.0","input",NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seeUnitData","seeUnitVal","seeUnitVal",NA,NA,"SRAS-CoV-2-B.1.351","SARS-CoV-2-B.1.351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WWMeasure","variableCategories","type","varB1351",NA
"covE","SARS-CoV-2-E","measurements",NA,"SARS-CoV-2 E gene.",NA,"bio","saSpecimenSet","anyCompartmentSet","sarsCov2","allele","naNomenclature",NA,NA,NA,"geneticUnitSet","seeUnitAggScale","otherAggrSet","pcrQualitySet","genMissingnessSet","active","1.0.0","2.0.0","description wording, structure",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seeUnitData","seeUnitVal","seeUnitVal",NA,NA,"SARS-CoV-2-E","Région génique E du SRAS-CoV-2",NA,NA,NA,NA,NA,NA,NA,NA,"PCR Genome Target, Target [n]","Lab Methods, Samples",NA,NA,"WWMeasure","variableCategories","type","covE",NA
"covN1","SARS-CoV-2-N1","measurements",NA,"SARS-CoV-2 nucleocapsid gene, allele 1.",NA,"bio","saSpecimenSet","anyCompartmentSet","sarsCov2","allele","naNomenclature",NA,NA,NA,"geneticUnitSet","seeUnitAggScale","otherAggrSet","pcrQualitySet","genMissingnessSet","active","1.0.0","2.0.0","description wording, structure",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seeUnitData","seeUnitVal","seeUnitVal",NA,NA,"SARS-CoV-2-N1","Gène nucleocapside N1 du SRAS-CoV-2.",NA,NA,NA,NA,NA,NA,NA,NA,"PCR Genome Target, Target [n]","Lab Methods, Samples",NA,NA,"WWMeasure","variableCategories","type","covN1",NA
"covN2","SARS-CoV-2-N2","measurements",NA,"SARS-CoV-2 nucleocapsid gene, allele 2.",NA,"bio","saSpecimenSet","anyCompartmentSet","sarsCov2","allele","naNomenclature",NA,NA,NA,"geneticUnitSet","seeUnitAggScale","otherAggrSet","pcrQualitySet","genMissingnessSet","active","1.0.0","2.0.0","description wording, structure",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seeUnitData","seeUnitVal","seeUnitVal",NA,NA,"SARS-CoV-2-N2","Gène nucleocapside N2 du SRAS-CoV-2.",NA,NA,NA,NA,NA,NA,NA,NA,"PCR Genome Target, Target [n]","lab methods, samples",NA,NA,"WWMeasure","variableCategories","type","covN2",NA
"covN3","SARS-CoV-2-N3","measurements",NA,"SARS-CoV-2 nucleocapsid gene, allele 3.",NA,"bio","saSpecimenSet","anyCompartmentSet","sarsCov2","allele","naNomenclature",NA,NA,NA,"geneticUnitSet","seeUnitAggScale","otherAggrSet","pcrQualitySet","genMissingnessSet","active","1.0.0","2.0.0","description wording, structure",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seeUnitData","seeUnitVal","seeUnitVal",NA,NA,"SARS-CoV-2-N3","Gène nucleocapside N3 des virus similaires au SRAS.",NA,NA,NA,NA,NA,NA,NA,NA,"PCR Genome Target, Target [n]","lab methods",NA,NA,"WWMeasure","variableCategories","type","covN3",NA
"covP1","SARS-CoV-2-P.1","measurements",NA,"Variant P.1 of the SARS-CoV-2 virus.",NA,"bio","saSpecimenSet","anyCompartmentSet","sarsCov2","variant","pangolin",NA,NA,NA,"geneticUnitSet","seeUnitAggScale","otherAggrSet","seqQualitySet","genMissingnessSet","active","1.1.0","2.0.0","description wording, structure","input",NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seeUnitData","seeUnitVal","seeUnitVal",NA,NA,"SARS-CoV-2-P.1","Variant P.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WWMeasure","variableCategories","type","varP1",NA
"covRdrp","SARS-CoV-2-RdRp","measurements",NA,"SARS-CoV-2 RdRp gene.",NA,"bio","saSpecimenSet","anyCompartmentSet","sarsCov2","allele","naNomenclature",NA,NA,NA,"geneticUnitSet","seeUnitAggScale","otherAggrSet","seqQualitySet","genMissingnessSet","active","1.0.0","2.0.0","description wording, structure",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seeUnitData","seeUnitVal","seeUnitVal",NA,NA,"SARS-CoV-2-RdRp","Région génique RdRp du SRAS-CoV-2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WWMeasure","variableCategories","type","covRdrp",NA
"cphDate","Covid-19 population measurement date","attributes",NA,"date of reporting for covid-19 measure.","Depreciated in ODM version 2. The measure identication is now measureReportID with report dates as for any measure report. ","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"genMissingnessSet","depreciated","1.0.0","2.0.0","depreciated, measure identication is now found in partID = measureRepID, with date fields for any measure report. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Date de mesure de la population ayant Covid-19","Date de reportage des données de mesure de la COVID-19.",NA,"sample_collect_date",NA,NA,NA,NA,NA,NA,"Date/time",NA,NA,NA,"CovidPublicHealthData","variables","date",NA,"depricate???"
"cphid","Cphd ID","attributes",NA,"Unique identifier for the table.","Depreciated in ODM version 2. The measure identication is now measureReportID. ","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"genMissingnessSet","depreciated","1.0.0","2.0.0","depreciated, measure identication is now found in partID = measureRepID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"ID du CPHD","Identifiant unique pour l'information de santé publique reportée.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CovidPublicHealthData","variables","cphdID",NA,"depricate???"
"cra","crAssphage-N","measurements",NA,"crAssphage virus capsid protein gene region",NA,"bio","saSpecimenSet","anyCompartmentSet","virusMisc","allele","naNomenclature",NA,NA,NA,"geneticUnitSet","seeUnitAggScale","otherAggrSet","pcrQualitySet","genMissingnessSet","active","1.0.0","2.0.0","description wording, structure",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seeUnitData","seeUnitVal","seeUnitVal",NA,NA,"crAssphage-N","crAssphage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WWMeasure","variableCategories","type","ncrA",NA
"crosswalkTableSet","Crosswalk table set","dictSets",NA,"Tables used to translate to and from other environmental dictionaries and models.",NA,"naDomain","saSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,NA,NA,"Ensemble de table de crosswalk","Tables de référence ou de consultation.","Par exemple, le tableau des parties décrit tous les éléments de l'ODM, y compris les tableaux, les en-têtes de tableau, les mesures, les méthodes, les catégories et les unités. les ensembles sont des collections de parties. Par exemple, les unités peuvent être regroupées dans un ensemble d'unités. les langues et les traductions prennent en charge les traductions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ct","Cycle threshold or quantification cycle (Ct or Cq)","units",NA,"Cycle thresholds in a PCR assay.",NA,"bio","saSpecimenSet","anyCompartmentSet","procGrp","standardCurve","naNomenclature",NA,"$Ct$",NA,"geneticUnitSet","seeUnitAggScale","linearAggrSet","pcrQualitySet","genMissingnessSet","active","1.0.0","2.0.0","description wording.","input",NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"float","0",NA,NA,NA,"Seuil de cycle ou cycle de quantification (Ct ou Cq)","Cycles de seuil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WWMeasure","variableCategories","unit","Ct","restructure"
"cuCo","Cumulative count","units",NA,"Units for describing a population measure of a cumulative count of cases of a given disease.","Unit for a population or disease measure to explain population-level clinical effects.","bio","poSpecimenSet","anyCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet","quantAggScale","linearAggrSet",NA,NA,"active","2.0.0","2.0.0","added in V2.0.0","input",NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integer","0",NA,NA,NA,"Compte cumulé","Unités pour décrire une mesure de population d'un compte cumulatif de cas d'une maladie donnée.","Unité pour une mesure de population ou de maladie afin d'expliquer les effets cliniques au niveau de la population.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"custodyCont","Custody Contact ID","attributes",NA,"A unique identifier for data custodians.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"genMissingnessSet","active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fK","recommended",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"ID de contact du gardien","Un identifiant unique pour les gardiens de données.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
