Version,2.2.0,,,,,,,,
translationID,lang,partID,partLabel,partDesc,partInstr,firstReleased,lastUpdated,changes,notes
tra000518,eng,ncbiNotes,NCBI - notes,NCBI notes,NA,2.0.0,2.0.0,added in V2.0.0,
tra000519,eng,neigh,Neighbourhood,"A municipal neighbourhood, this specifies a sub-section of a larger municipality.",NA,2.0.0,2.0.0,added in V2.0.0,
tra000520,eng,neighborLevel,Local administrative units or neighborhoods,Local administrative units or neighborhoods,NA,2.0.0,2.1.0,added in V2.0.0,
tra000521,eng,newVax,Population of newly vaccinated persons,Population of newly vaccinated persons,A unit used for for specifying a population-wide vaccination level measure.,2.0.0,2.0.0,added in V2.0.0,
tra000522,eng,nextclade,NextClade nomenclature,Specifies variant or genetic nomenclature as set out by NextClade.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000523,eng,wwtpMuS,Municipal wastewater treatment plant for sanitary sewage only,Municipal wastewater treatment plant for sanitary sewage only,NA,2.0.0,2.0.0,added in V2.0.0,
tra000524,eng,noLabel,Sample not labelled,Sample had no label,NA,2.0.0,2.0.0,added in V2.0.0,
tra000525,eng,noliquid,"No liquid concentration, liquid recombined with separated solids","No liquid concentration, liquid recombined with separated solids",NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000526,eng,nomenclature,Nomenclature,"A classification system to report the measure class. Only applicable to variants, mutations, and diseases.","Currently only used for class = variant, mutation, or disease. Valid options are currently restricted to 'NextClade', 'Pangolin', 'WHO', or 'ICD'.",2.0.0,2.0.0,added in V2.0.0,
tra000527,eng,nomenclatures,Nomenclatures,A classification system to report the measure class. ,See partID = nomenclatureID.,2.0.0,2.0.0,added in V2.0.0,
tra000528,eng,norman,NORMAN,NORMAN header,NA,2.0.0,2.0.0,added in V2.0.0,
tra000529,eng,normanNote,NORMAN - notes,Norman notes,NA,2.0.0,2.0.0,added in V2.0.0,
tra000530,eng,custodyCont,Custody Contact ID,A unique identifier for data custodians.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000531,eng,noTime,Sample missing time stamp,Sample is missing the autosampler time; incomplete metadata on collection.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000532,eng,nr,Not reported,"A value could have been recorded, however, it was not.",Missing value indicator for data that is absent because it was not reported.,1.0.0,2.0.0,added in V2.0.0,
tra000533,eng,nrNAMissingnessSet,"Not reported, Not applicable missing set","Not reported, Not applicable missing set.",NA,2.0.0,2.0.0,added in V2.0.0,
tra000534,eng,ntu,Nephelometric turbidity unit,"Nephelometric Turbidity Units, a unit used in the measurement of turbidity (see ""turbidity"" under measureIDs).",Nephelometric turbidity units (NTU) are based on white light (400–680nm) and 90° incident angle.,2.0.0,2.0.0,added in V2.0; github issue #122,
tra000535,eng,nucAuto,Nuclisens automated magnetic bead extraction kit,Nucleic acid extraction performed using the nuclisens automated magnetic bead extraction kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000536,eng,nucManu,Nuclisens manual magnetic bead extraction kit,Nucleic acid extraction performed using the nuclisens manual magnetic bead extraction kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000537,eng,null,Null,A logical representation of a statement that is neither TRUE nor FALSE.,Missing value indicator when the value is neither TRUE nor FALSE.,1.0.0,2.0.0,added in V2.0.0,
tra000538,eng,numCode,ISO 3166-1 numeric country code,"The ISO 3166-1 numeric code, a three-digit country code which is identical to that developed and maintained by the United Nations Statistics Division, with the advantage of script (writing system) independence, and hence useful for people or systems using non-Latin scripts.","Preprogrammed into dictionary tables, not editable by users.",2.1.0,2.1.0,added in V2.1.0,
tra000539,eng,nwss,National Wastewater Surveillance System,NWSS header,NA,2.0.0,2.0.0,added in V2.0.0,
tra000540,eng,nwssNotes,NWSS - notes,NWSS notes,NA,2.0.0,2.0.0,added in V2.0.0,
tra000541,eng,nwssProcess,NWSS - process,NWSS process,NA,2.0.0,2.0.0,added in V2.0.0,
tra000542,eng,airpln,Airplane,Airplane sample shed category type,NA,1.0.0,2.0.0,"description wording, structure",
tra000543,eng,oc43Mat,oc43 spike target,Human coronavirus OC43 is used as the recovery efficiency control target.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000544,eng,corFcil,Correctional facility,Correctional facility,NA,1.0.0,2.0.0,"description wording, structure",
tra000545,eng,estuary,"Estuary, natural water body","Estuary, natural water body",NA,1.0.0,2.0.0,"description wording, structure",
tra000546,eng,faeces,Fecal matter,Fecal matter.,NA,1.0.0,2.0.0,NA,
tra000547,eng,hosptl,Hospital,Hospital,NA,1.0.0,2.0.0,"description wording, structure",
tra000548,eng,htSite,Holding tank,Holding tank,NA,1.0.0,2.0.0,"description wording, structure",
tra000549,eng,wideNames,Wide name table,The table for wide names.,NA,2.0.0,2.0.0,"added in V2.0.0, github issue #124 and #204",
tra000550,eng,orb,Other residential building,Individual residential buildings or institutions not captured in other categories,NA,2.0.0,2.0.0,added in V2.0.0,
tra000551,eng,orBoo,OR Boolean aggregation,"""OR"" aggreation.","If any value in the aggregation is ""TRUE"" then the OR aggregation is also ""TRUE"". If all values in the aggregation is ""FALSE"" then the OR aggregation is also ""FALSE"".",2.0.0,2.0.0,added in V2.0.0,
tra000552,eng,sitesRequired,Sites table required headers,Specifies the columns required in a Sites table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000553,eng,sitesOrder,Sites table column order,Specifies the order of the columns in a Sites table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000554,eng,zones,Zones look-up table,Look up table for the possible sub-national region or zone inputs.,NA,2.1.0,2.1.0,added in V2.1.0,
tra000555,eng,samplesRequired,Sample table required headers,Specifies the columns required in a Samples table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000556,eng,country,Country,The country where a site or organization is located; part of the address.,NA,1.0.0,2.0.0,"description wording, structure",
tra000557,eng,orgLevelSet,Organization level set,Categories of organization levels.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000558,eng,orgType,Organization Type,Specifies the type or purpose of a given organization. ,NA,2.0.0,2.0.0,added in V2.0.0,
tra000559,eng,orgSectorSet,Organization sector set,Cateogries of organization sectors.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000560,eng,orgLevel,Organization level,The geographic level of an organization.,There are six levels based on International Standard Classification of Administrative Units (ISCU). ,2.0.0,2.0.0,added in V2.0.0,
tra000561,eng,orgTypeSet,Organization type set,The set for storing organization types.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000562,eng,originSet,Sample Origin set,The set for storing the valid categorical values of sample origin.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000563,eng,lagoon,Lagoon system,Logoon system for extensive wastewater treatment,NA,1.0.0,2.0.0,"description wording, structure",
tra000564,eng,othAgg,Other aggregation scale,"Specifies an aggregation scale that can't be described as either ""qualitative"" or ""quantitative"".",NA,2.0.0,2.0.0,added in V2.0.0,
tra000565,eng,lake,"Lake,  natural water body","Lake, natural water body",NA,1.0.0,2.0.0,"description wording, structure",
tra000566,eng,otherAggrSet,Other aggregation set,Aggregation set used for unitless measures.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000567,eng,ltcf,Long-term care facility,A residential healthcare facility that provides 24-medical care. These are also called skilled nursing facilities.,NA,1.0.0,2.0.0,added in V2.0.0,
tra000568,eng,shipOnIce,Shipped on ice,Was the sample kept cool while being shipped to the lab,NA,1.0.0,2.0.0,NA,
tra000569,eng,otherReportTableSet,Other report table set,Additional tables that form the full data model.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000570,eng,mSwrPpl,Major sewer pipeline,Major sewer pipeline,NA,1.0.0,2.0.0,added in V2.0.0,
tra000571,eng,ocean,"Ocean, natural water body","Ocean, natural water body",NA,1.0.0,2.0.0,added in V2.0.0,
tra000572,eng,outbEnd,Outbreak End,Indicates an outbreak has ended.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000573,eng,outbOngoing,Outbreak - on-going,Indicates an outbreak is on-going.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000574,eng,outbreakSet,Outbreak set,set for the valid values of the outbreak measure.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000575,eng,outbStart,Outbreak start,Indicates an outbreak began.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000576,eng,pairLay,Paired Layout,Specifies the paired layout for a sequencing method,NA,2.0.0,2.0.0,added in V2.0.0,
tra000577,eng,pangolin,Pangolin nomenclature,Specifies variant or genetic nomenclature as set out by the Phylogenetic Assignment of Named Global Outbreak Lineages (Pangolin).,NA,2.0.0,2.0.0,added in V2.0.0,
tra000578,eng,sampleRelationshipsID,Synthetic ID for the sampleRelationships table,"A unique, autoincremental ID generated to produce a unique identifier and primary key for each row of the sampleRelationships table.",NA,2.2.0,2.2.0,added in V2.2.0,
tra000579,eng,sTemp,Storage temp,Temperature that the sample is stored at in Celsius.,NA,1.0.0,2.0.0,NA,
tra000580,eng,child,Child relationship,Indicated that this is a sample generated from (an)other sample(s) either because of pooling or sub-sampling.,NA,1.0.0,2.0.0,changed to a relationshipID value.,
tra000581,eng,samplesOrder,Samples table column order,Specifies the order of the columns in a Samples table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000582,eng,reportersDep,Reporter table depreciated,"The table that contains information about a reporter of a sample, method, measure, or attribute.",NA,1.0.0,2.0.0,depreciated,
tra000583,eng,addressesRequired,Address table required headers,Specifies the columns required in a Addresses table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000584,eng,addressesOrder,Addresses table column order,Specifies the order of the columns in the Addresses table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000585,eng,addresses,Address table,"The table that contains information about addresses. Addresses can recorded for sites, organizations or contacts (indivduals). ","The Sites, Organizations, and Contacts tables include a link to the addresses table through Address ID.",2.0.0,2.0.0,NA,
tra000586,eng,contactsRequired,Contact table required headers,Specifies the columns required in a Contacts table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000587,eng,contactsOrder,Contacts table column order,Specifies the order of the columns in a Contacts table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000588,eng,contacts,Contact table,The table that contains information about a contact; a person who is the contact of a site or laboratory.,adapt from verson 1 documentation,2.0.0,2.0.0,added in V2.0.0,
tra000589,eng,otsisiDep,Other Site - Site depreciated,Other site type. Add description to typeOther,NA,1.0.0,2.0.0,"Depreciated in version 2 with all ""other"" fields",
tra000590,eng,saMaterial,Sample material,Type of sample.,NA,1.0.0,2.0.0,description wording additional categories added (from NWSS),
tra000591,eng,pcrSeq,PCR sequencingsSelection method,"Specifies the PCR selection method for sequencing, ie. that a pre-determined primer was used.",Primer should be specified if this is selected.,2.0.0,2.0.0,added in V2.0.0,
tra000592,eng,pcrSet,PCR Method set,The set capturing containing all of the valid methods for the PCR methodID.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000593,eng,pStat,Pumping station,Pumping station,NA,1.0.0,2.0.0,"description wording, structure",
tra000594,eng,retPond,Retention pond,Retention pond,NA,1.0.0,2.0.0,"description wording, structure",
tra000595,eng,parent,Parent sample ID,If this sample has been pooled into one big sample for analysis this indicates the sample of the larger pooled sample.,NA,1.1.0,2.0.0,Replaced in V2 with approach to describe sample relationships that allows greater flexibility than soley parents.,
tra000596,eng,ptDescDep,Pretreatment description -  depreciated,If preTreatment then describe the treatment that was performed.,"Deprecated in version 2, please do not use. Use pretreatment methodID and specify further in summary and/or notes, if necessary.",1.0.0,2.0.0,"depreciated, absorbed into more general ""description"" part",
tra000597,eng,phage,PHAGE,PHAGE header,NA,2.0.0,2.0.0,added in V2.0.0,
tra000598,eng,phageNotes,PHAGE - notes,PHAGE notes,NA,2.0.0,2.0.0,added in V2.0.0,
tra000599,eng,phenCl,Phenol chloroform,Nucleic acid extraction performed using phenol chloroform.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000600,eng,phi6Mat,phi6 spike target,Pseudomonas virus phi6is used as the recovery efficiency control target.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000601,eng,collType,Sample collection type,The type of collection. ,NA,1.0.0,2.0.0,description wording,
tra000602,eng,phone,Country national phone prefix,International dialing code for the country.,"Preprogrammed into dictionary tables, not editable by users.",2.1.0,2.1.0,added in V2.1.0,
tra000603,eng,phy,Physical property,A physical property or object not characterized by life or chemistry.	,NA,2.0.0,2.0.0,added in V2.0.0,
tra000604,eng,pK,Primary key,Primary key for a table. ,All report tables have a primary key. Each row in a report table has unique identifier recorded in the primary key. ,2.0.0,2.0.0,added in V2.0.0,
tra000605,eng,pooled,Pooled,"Is this a pooled sample, and therefore composed of multiple child samples obtained at different sites",NA,1.0.0,2.0.0,added in V2.0.0,
tra000606,eng,river,"River, natural water body","River, natural water body",NA,1.0.0,2.0.0,"description wording, structure",
tra000607,eng,healthRegion,Health Region for a Site,A free-text variable for listing the health region for a given site.,NA,2.1.0,2.1.0,added in V2.1.0,
tra000608,eng,organizationsRequired,Organziation table required headers,Specifies the columns required in a Organizations table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000609,eng,organizationsOrder,Organizations table column order,Specifies the order of the columns in a Organizations table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000610,eng,datasets,Dataset table,A report table for capturing details about data's parental data set and data custodians. Supplying attribution for data collectors.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000611,eng,collDT,Collection date time,"For grab samples this is the date, time and timezone the sample was taken.",NA,1.0.0,2.0.0,Update in line with Github Issue #211,
tra000612,eng,collDTStart,Collection date time start,"For integrated time averaged samples this is the date, time and timezone the sample was started being taken.",NA,1.0.0,2.0.0,Update in line with Github Issue #211,
tra000613,eng,popDateTypeSet,Case reporting date set,set for the date of case reporting.,NA,1.0.0,2.0.0,"added in V2.0.0,depreciated",
tra000614,eng,popGrp,Population group,A group of measures/methods related to population-level factors.,"Examples might be case numbers, hospitalization rates, etc.",2.0.0,2.0.0,added in V2.0.0,
tra000615,eng,popServ,Population Served,"An attribute of a site, which specifies the population of/population served by a given site. ",NA,2.0.0,2.0.0,added in V2.0.0,
tra000616,eng,populationUnitSet,Population unit set,Unit set for hospital-related measurements.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000617,eng,poSaSpecimenSet,Population or sample set,A specimen set that inculdes population or sample specimen.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000618,eng,poSiSpecimenSet,Population or site set,A specimen set that inculdes population or site specimen.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000619,eng,poSpecimenSet,Population specimen set,A specimen set that inculdes only a population specimen.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000620,eng,precipitationUnitSet,Precipitation unit set,Unit set for percipitation measurements.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000621,eng,primerSet,Genetic primer set,The set for genetic primers used in sequencing or PCR assays.,NA,2.0.0,2.0.0,naUnitSet,
tra000622,eng,priv,Private sector,The category of organization type used for private sector or non-profit groups that are not otherwise captured by the academic category.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000623,eng,procGrp,Processing group,A group of measures/methods related to processing samples for analysis.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000624,eng,programDescr,Program decription tables,Tables used to describe surveillance and testing programs.,"Program description tables record metadata on the organizations, locations, and protocols. Information include the name, location, and other contact information.These tables are usually completed once and they are updated only when contact information changes.",2.0.0,2.0.0,added in V2.0.0,
tra000625,eng,promAuto,promega automated tna kit,Nucleic acid extraction performed using the promega automated tna kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000626,eng,promHt,promega ht tna kit,Nucleic acid extraction performed using the promega ht tna kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000627,eng,promManu,promega manual tna kit,Nucleic acid extraction performed using the promega manual tna kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000628,eng,promWW,promega wastewater large volume tna capture kit,Nucleic acid extraction performed using the promega wastewater large volume tna capture kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000629,eng,sampleTypeOther,Collection other depreciated,Description for other type of method not listed in collection. depreciated.,NA,1.0.0,2.0.0,description wording,
tra000630,eng,measureLic,Measure license,Specifies the access and use licensing for a given single measurement.,Populated by partID = licenseID,2.0.0,2.0.0,added in V2.0.0,
tra000631,eng,protocolIDContainer,Protocol ID container,Unique identifier for the protocol and the steps and other protocols that make it up.,Protocol ID Container in popuated by a protocolID (partID = protocolID),2.0.0,2.0.0,added in V2.0.0,
tra000632,eng,protocolIDObj,Protocol ID object,"The object of the relationship between one protocol and another protocol or step, within a given protocol ID container.","Populate this field using Protocol ID (partID = protocolID). Together with `protocolIDSub` or `stepIDSub` and `relationshipID`, the protocol relationship is defined as: [protocolIDSubject or stepIDSubject]  [relationshipID] [protocolIDObject or stepIDObject]. Ex: stepIDSubject  precedes protocolIDObject.",2.0.0,2.0.0,added in V2.0.0,
tra000633,eng,instrumentsRequired,Instrutment table required headers,Specifies the columns required in the Instruments table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000634,eng,instrumentsOrder,Instruments table column order,Specifies the order of the columns in the Instruments table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000635,eng,instruments,Instrument table,The table that contains information about instruments.,adapt from verson 1 documentation,1.0.0,2.0.0,"description wording, structure",
tra000636,eng,protocolRelSet,Protocol Relationships set,set for valid values of relationshipID in the protocolRelationships table.,Use only for protocolRelationships table relationshipID.,2.0.0,2.0.0,added in V2.0.0,
tra000637,eng,polygonsRequired,Polygon table required headers,Specifies the columns required in a Polygons table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000638,eng,polygonsOrder,Polygons table column order,Specifies the order of the columns in a Polygons table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000639,eng,organizations,Organization table,The table that contains information about a laboratory.,adapt from verson 1 documentation,1.0.0,2.0.0,"description wording, structure",
tra000640,eng,languagesRequired,Language table required headers,Required headers in the Languages  table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000641,eng,languagesOrder,Language table column order,Specifies the order of the columns in the Languages table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000642,eng,polygons,Polygon table,The table that contains information about the geometry of a geographic area.,NA,1.0.0,2.0.0,"description wording, structure",
tra000643,eng,protocolTableSet,Protocol table set,Tables holding information on the methods used for sample collection or measurement.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000644,eng,protocolVersion,Protocol version,Specifies the version of a method set.,Version of the method set. Semantic versioning is recommended.,2.0.0,2.0.0,added in V2.0.0,
tra000645,eng,collDTEnd,Collection date time end,"For integrated time average samples this is the date, time and timezone the sample was finished being taken.",NA,1.0.0,2.0.0,Update in line with Github Issue #211,
tra000646,eng,provisional,Provisional report,A provisional or interm report.,Use for measurement that are not yet finalized. Typically this purpose is not publicly reported. ,2.0.0,2.0.0,added in V2.0.0,
tra000647,eng,school,School,A school serving students in the kindergarten to 12th grade range,NA,1.0.0,2.0.0,"description wording, structure",
tra000648,eng,sea,"Sea, natural water body","Sea, natural water body",NA,1.0.0,2.0.0,"description wording, structure. Maintained originl sample table entry from v1.",
tra000649,eng,septTnk,Septic tank,Septic tank,NA,1.0.0,2.0.0,"description wording, structure",
tra000650,eng,septage,Septic tank wastewater,Wastewater from within a septic tank,NA,1.0.0,2.0.0,NA,
tra000651,eng,pubHealth,Public health agency,Public health agency.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000652,eng,tyOtDep,Type other depreciate,Description for other type of sample not listed in,NA,1.0.0,2.0.0,depreciated,
tra000653,eng,puroMat,Puro virus spike target,Puro Virus is used as the recovery efficiency control target.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000654,eng,vol,Size in volume,Total volume of water or sludge sampled.,Used for water or air testing,2.0.0,2.0.0,added in V2.0.0,
tra000655,eng,purposeSet,Purpose set,Purpose set for a sample or measure.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000656,eng,qgDNARNA,qiagen allprep dna/rna kit,Nucleic acid extraction performed using the qiagen allprep dna/rna kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000657,eng,qgEz1,qiagen ez1 virus mini kit v2.0,Nucleic acid extraction performed using the qiagen ez1 virus mini kit v2.0.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000658,eng,qgPwrFecal,qiagen allprep powerfecal dna/rna kit,Nucleic acid extraction performed using the qiagen allprep powerfecal dna/rna kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000659,eng,qgPwrViral,qiagen allprep powerviral dna/rna kit,Nucleic acid extraction performed using the qiagen allprep powerviral dna/rna kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000660,eng,qgPwrWtr,qiagen powerwater kit,Nucleic acid extraction performed using the qiagen powerwater kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000661,eng,qgQiAmp,qiagen qiaamp buffers with epoch columns,Nucleic acid extraction performed using the qiagen qiaamp buffers with epoch columns.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000662,eng,qgRneasy,qiagen rneasy kit,Nucleic acid extraction performed using the qiagen rneasy kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000663,eng,qgRneasyPwr,qiagen rneasy powermicrobiome kit,Nucleic acid extraction performed using the qiagen rneasy powermicrobiome kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000664,eng,qpcr,Quantitative PCR,"Real-time PCR, also called 'quantAggScale' PCR",NA,2.0.0,2.0.0,added in V2.0.0,
tra000665,eng,qualAggScale,Qualitative,The qualitative aggregation scale.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000666,eng,qualityControl,Quality control,A measure or sample taken for the purpose of quality control.,Measures with this category are take to assess quality control.,2.0.0,2.0.0,added in V2.0.0,
tra000667,eng,sampleIDSubject,Sample ID subject,Populated by `sampleID` - this specifies the subject of a sample relationship.,Use `sampleID` for this field. Together with `sampleIDSub` and `relationshipID` the row of the `sampleRelationships` should say: [sampleIDSubject] is a[relationshipID] of [sampleIDObject],2.0.0,2.0.0,added in V2.0.0,
tra000668,eng,setID,Set ID,The unique identifier of a value set.,"A set is a group of units, attributes, categories, specimens, or compartments that can be used for a measure, method or attribute.",2.0.0,2.0.0,added in V2.0.0,
tra000669,eng,qualityIndicators,Quality indicators,A measure of the quality of a reported value or sample.,Only used for the dictionary entries of parts.,2.0.0,2.0.0,added in V2.0.0,
tra000670,eng,qualityIndSets,Quality indicator sets,"Sets of quality indicators or measures. For example, PCR have a quality measure set.",NA,2.0.0,2.0.0,added in V2.0.0,
tra000671,eng,protocolRelationships,Protocol relationships table,"The table that contains the organizational information and details (such as order) about a given protocol, recorded as a series of protocol steps (protocolSteps). ","Protocols are a group of related protocol steps. For example a protocol step can describe a sample concentration, extraction, inhibition or a measurement. Protocols can include both methodID (a proceedure) and measureIDs (a measure). An example of a method is centrifugation; where the centriguation rotation speed is described as a measure.",2.0.0,2.0.0,added in V2.0.0,
tra000672,eng,translationsRequired,Translation table required headers,Required headers in the Translations table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000673,eng,partsOrder,Parts table column order,Order of headers in the Parts table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000674,eng,translationsOrder,Translation table column order,Specifies the order of the columns in the Translation table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000675,eng,quantAggScale,Quantitative,"The ""quantAggScale"" aggregation scale.",NA,2.0.0,2.0.0,added in V2.0.0,
tra000676,eng,rainy,Rainy,"Qualitative category for the weather measure, specifying a rainy day.",NA,2.0.0,2.0.0,"added in V2.0.0, github issue #124 and #204",
tra000677,eng,ranSeq,Random sequencing selection method,Specifies the random selection method for sequencing,No primer set should be used if this is selected.,2.0.0,2.0.0,added in V2.0.0,
tra000678,eng,raws,Raw wastewater,Raw wastes water sample,NA,1.0.0,2.0.0,NA,
tra000679,eng,swgTrck,Sewage truck,Sewage truck,NA,1.0.0,2.0.0,"description wording, structure",
tra000680,eng,rawWWdown,Raw sewage downstream from a site,Downstream from a site. See partType = rawWWup.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000681,eng,rawWWup,Raw sewage upstream from a site,"Upstream from a site. Used when there is not direct access to a site's wastewater inconjuctiion with downstream sample. For example, if the site is a long-term care home, but ther is not access to the building or property cleanout. Use two sameple, one sample upstream and one sample downstream.",NA,2.0.0,2.0.0,added in V2.0.0,
tra000682,eng,collPer,Collection period,"Collection period. The time period over which the sample was collected, in hours. Alternatively, use collectionStart and collectionEnd.","Examples: 1 hour, 6 hours, 24 hours",2.0.0,2.0.0,added in V2.0.0,
tra000683,eng,partsRequired,Parts table required headers,Required headers in the Parts table.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000684,eng,regular,Regular,A measure or sample taken for surveillance or epidemiology.,A 'regular' measure is the default. Missing data will be recoded to this purpose.,2.0.0,2.0.0,added in V2.0.0,
tra000685,eng,regularReportTableSet,Regular reports table set,Tables used for daily reporting of new measurements and information on sample collection.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000686,eng,relHumidUnitSet,Relative humidity unit set,Unit set for relative humidity measurements.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000687,eng,replicateSet,Replicate Type set,The set for storing valid categorical values of replicate type.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000688,eng,siteID,Site ID,Unique identifier for the location where a sample was taken.,NA,1.0.0,2.0.0,"description wording, structure",
tra000689,eng,qualityFlag,Quality flag,A field for reporting any quality concerns - of lack thereof - for a sample or measure.,Types of quality flag vary on context; please see the qulaityFlagSet to be confirm.,2.0.0,2.0.0,added in V2.0.0,
tra000690,eng,charLength,character length,The number of characters used for the wide names.,NA,2.2.0,2.2.0,added in V2.2.0,
tra000691,eng,protocols,Protocols table,The table for protocols.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000692,eng,siteType,Site Type,Type of site or institution where sample was taken.,NA,1.0.0,2.0.0,"description wording, structure",
tra000693,eng,protocolSteps,Protocol steps table,"The table for collecting metadata on individual steps in a protocol, methodological process, or assay.",NA,1.0.0,2.0.0,"updated from assay method into 2 tables, restructured.",
tra000694,eng,collNum,Collection number,"The number of subsamples that were combined to create the sample. Use NA for continuous, proportional or passive sampling.",NA,2.0.0,2.0.0,added in V2.0.0,
tra000695,eng,results,Results tables,"Tables used to record samples, measures and quality reports.",These tables are updated whenever a new sample is taken or a measure is reported. Quality reports are used to report quality assurance and quality control for samples and measures. ,2.0.0,2.0.0,added in V2.0.0,
tra000696,eng,uCampus,University campus,Universityor college campus - comprising an entire campus or part of a campus.,"See also 'Higher Education Domitory"".",1.1.0,2.0.0,added in version 1.1,
tra000697,eng,wwtpInd,Industrial wastewater treatment plant,Industrial wastewater treatment plant,NA,1.0.0,2.0.0,"description wording, structure",
tra000698,eng,role,Role of contact,Specifies the organizational role of a given contact.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000699,eng,rP100,"Rate per 100,000","Units for describing a population measure of a rate of case incidence per 100,000 people of a given disease.",Unit for a population or disease measure to explain population-level clinical effects.,2.0.0,2.0.0,added in V2.0.0,
tra000700,eng,rppw,Raw post-pasteurized wastewater,Raw wastewater sample post-pasteurization,NA,1.0.0,2.0.0,NA,
tra000701,eng,sa,Sample,A measure made on a compartment or property from a sample of a substance.,NA,2.0.0,2.0.0,added in V2.0.0,
