partID,partLabel,partType,shortName,partDesc,partInstr,domainID,specimenSet,compSet,groupID,classID,nomenclatureID,ontologyRef,latExp,catSetID,unitSetID,aggScaleID,aggSetID,qualitySetID,status,firstReleased,lastUpdated,changes,protocolSteps,protocolStepsRequired,protocolStepsOrder,protocolRelationships,protocolRelationshipsRequired,protocolRelationshipsOrder,measures,measuresRequired,measuresOrder,measureSets,measureSetsRequired,measureSetsOrder,datasets,datasetsRequired,datasetsOrder,sites,sitesRequired,sitesOrder,samples,samplesRequired,samplesOrder,addresses,addressesRequired,addressesOrder,contacts,contactsRequired,contactsOrder,organizations,organizationsRequired,organizationsOrder,instruments,instrumentsRequired,instrumentsOrder,polygons,polygonsRequired,polygonsOrder,languages,languagesOrder,translations,translationsOrder,parts,sets,setsOrder,qualityReports,qualityReportsRequired,qualityReportsOrder,sampleRelationships,sampleRelationshipsRequired,sampleRelationshipsOrder,protocols,protocolsRequired,protocolsOrder,refLink,dataType,minValue,maxValue,minLength,maxLength
hepGRna,hep g armored rna,measure,NA,Measure of the amount Hepatitis G Armored RNA.,NA,Bio,saSpecimen,anyCompartment,virusMisc,naClass,naNomenclature,,NA,NA,geneticUnitSet,see unit,naAggrSet,genQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,NA,NA
hepGRnaMat,hep g armored rna Spike Target,category,NA,Hepatitis G armored RNA is used as the recovery efficiency control target.,NA,Bio,saSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
hlthReg,Sewer Network Health Region,category,NA,Health region served by the sewer network,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,1.0,2.0,Name Change (from Polygon Type),NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
hma,Hand Measurement,category,NA,Handheld measurement analyzer.,A handheld measurement analyzer.,naDomain,naSpecimenSet,anyCompartment,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,1.0,2.0,"description wording, structure",NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
hollowFiberUF,Hollow fiber dead end ultrafiltration,category,NA,Hollow fiber dead end ultrafiltration,NA,Che,naSpecimenSet,waterCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,genQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
hosa,General Hospital Admissions,unit,NA,Hospital admissions or patients newly admitted to hospital.,NA,Bio,poSpecimen,naCompartmentSet,naGroup,naClass,naNomenclature,,$people$,NA,naUnitSet,NA,linearAggrSet,genQualitySet,active,1.0,2.0,now a unit for any group or biologic infection,input,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,integer,0,NA,NA,NA
hosc,Hospital Census,unit,NA,Hospital census or the number of people admitted with an ailment.,NA,Bio,poSpecimen,naCompartmentSet,naGroup,naClass,naNomenclature,,$people$,NA,naUnitSet,NA,linearAggrSet,genQualitySet,active,1.0,2.0,now a unit for any group or biologic infection,input,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,integer,0,NA,NA,NA
estuary,"Estuary, natural water body",category,NA,"Estuary, natural water body",NA,naDomain,naSpecimenSet,waterCompartment,colGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,1.0,2.0,"description wording, structure",NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
hoTaWa,Holding Tank Wastewater Depreciated,category,NA,"Wastewater from a holding tank, such as from an airplane or ship","Deprecated in version 2, please do not use. Duplicate of the sampleMat categories - refer to those.",naDomain,naSpecimenSet,waterCompartment,colGrp,naClass,naNomenclature,,NA,collectCatSet,naUnitSet,NA,naAggrSet,NA,depreciated,1.0,2.0,depreciated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30
htSam,Holding tank wastewater,category,NA,"Wastewater sampled from a holding tank, such as from an airplane or ship",NA,naDomain,naSpecimenSet,waterCompartment,colGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
FiNa,First Nation,category,NA,"Used to categorize a sampleshed that is a First Nation, or on reserve lands.","Likely for internal use only, Indigenous data can and should not be shared without explicit consent of the nation in quesiton.",naDomain,naSpecimenSet,naCompartmentSet,colGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,10
popDateTypeCatSet,Case reporting date category set,catSet,NA,CatSetegory set for the date of case reporting.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,popDateTypeCatSet,naUnitSet,NA,naAggrSet,NA,depreciated,1.0,2.0,added in version 2;depreciated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,NA,NA,0,30
humClass,Humidity class,class,NA,Specifies a collection of measures/methods related to humidity.,NA,Phy,siSpecimen,airCompartment,naGroup,humClass,naNomenclature,,NA,NA,naUnitSet,see unit,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
i1566v,i1566v omicron-variant gene target,measure,NA,i1566v omicron-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnitSet,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,NA,NA
i3758v,i3758v omicron-variant gene target,measure,NA,i3758v omicron-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnitSet,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,NA,NA
i82t,i82t delta-variant gene target,measure,NA,i82t delta-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnitSet,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,NA,NA
ICD,International Classification of Diseases,nomenclature,NA,Classification system for diseases in humans.,NA,Bio,poSpecimen,humanCompartment,naGroup,disease,ICD,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
icu,Intensive care unit patients,unit,NA,Units for describing a population measure of patients who are in intensive care due to a given cause.,Unit for a population or disease measure to explain population-level clinical effects.,Bio,poSpecimen,anyCompartment,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,quantAggScale,linearAggrSet,genQualitySet,active,2.0,2.0,added in V2.0,input,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,integer,0,NA,NA,NA
fractionID,Fraction analyzed,attribute,NA,Fraction of the sample that is analyzed.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,fractionCatSet,naUnitSet,NA,naAggrSet,NA,active,1.0,2.0,"description wording, structure",NA,NA,NA,NA,NA,NA,fK,mandatory-if,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,NA,NA,0,30
inhibMe,Inhibition measure,measure,NA,Parameter to report whether or not inhibition was detected in the sample.,Binary measure - detected or no.,Bio,saSpecimen,anyCompartment,miscMeas,sequence,naNomenclature,,NA,NA,booleanUnitSet,NA,naAggrSet,genQualitySet,active,1.1,2.0,structure change,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,see unit,see unit,NA,NA
inhibMeth,Inhibition method,method,NA,Description of the method used to evaluate molecular inhibition.,Description of the inhibition parameters.,Bio,saSpecimen,anyCompartment,measGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,1.0,2.0,structure change,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,100
innovaprepUF,Innovaprep ultrafiltration,category,NA,Innovaprep ultrafiltration,NA,Che,naSpecimenSet,waterCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,genQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
input,Input,category,NA,Input for a table. Indicates an allowable measure or method within an input table. ,"`input` is used to indicate an allowable measure or method for a MeasureReport or MethodReport table. For example, covN1 is a specific measure that can be entered in the measureID field. Therefore, covN1 is has a value 'input' in the ReportTable column in the parts list. ODM users can generate their own custom template by modifying using the value 'input' for only the measures or methods that are applicable for their program.",naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
contactsRequired,Requirements of contacts table,tableSupport,NA,Specifies the columns required in a Contacts table.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,header,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
datasets,Dataset Table,table,ds,A report table for capturing details about data's parental data set and data custodians. Supplying attribution for data collectors.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,programDescr,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,header,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
instrumentTypeOther,Other instrument,category,NA,Type of instrument other than those included in the PHES-ODM.,An other type of measurement instrument. Add description to  notes. See documentation for how to request new instruments added to the dictionary. ,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,1.0,2.0,"description wording, structure",NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
polyPop,Polygon Population,attribute,NA,"An attribute of a polygon, which specifies the population of that polygon. A rough estimate of the number of human residents.",NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,header,optional,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,integer,0,NA,NA,NA
purposeCatSet,Sample or Measure Purpose CatSetegory Set,catSet,NA,CatSetegory set for the purpose of the sample or measure.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,purposeCatSet,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in version 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,NA,NA,0,30
healthReg,Health Planning Region,attribute,NA,The health planning authority where is site or insititute is located. See also `publicHealthDepartment`,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,1.1,2.0,"description wording, structure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,header,optional,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
integer,Integer Data Type,dataType,NA,The data type for integers.,Only used for the dictionary entries of parts.,naDomain,naSpecimenSet,anyCompartment,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,see unit,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,15
inter,intercept,measure,NA,Intercept value of the calibration curve.,"Used for storing calibration curve information, potentially also applicable for other curve types.",allDo,siSaSpecimen,anyCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,float,NA,NA,0,30
ip2ip4,Combined ip2 and ip4 sars-cov-2 gene target,measure,NA,Combined ip2 and ip4 sars-cov-2 gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnitSet,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,NA,NA
ISO6391,ISO639-1,attribute,NA,The first part of the ISO 639 series of international standards for language codes. Part 1 covers the registration of two-letter codes. There are 183 two-letter codes registered as of June 2021. The registered codes cover the world's major languages.,Part of the metedata for a languageID.,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,header,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,NA,NA,0,30
ISO6392B,ISO639-2B,attribute,NA,"A set of international standards that lists short codes for language names. These ISO639-2 are the three-letter codes defined in part two (ISO 639-2) of the standard, including the corresponding two-letter (ISO 639-1) codes where they exist. The 'B' specifies the bibliographic code (B code).",Part of the metedata for a languageID.,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,header,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,NA,NA,0,30
ISO6392T,ISO639-2T,attribute,NA,"A set of international standards that lists short codes for language names. These ISO639-2 are the three-letter codes defined in part two (ISO 639-2) of the standard, including the corresponding two-letter (ISO 639-1) codes where they exist. The 'T' specifies the terminological code (T code).",Part of the metedata for a languageID.,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,header,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,NA,NA,0,30
ISO6393,ISO639-3,attribute,NA,A set of international standards that lists short codes for language names. ISO 639-3 extends the ISO 639-2 alpha-3 codes with an aim to cover all known natural languages.,Part of the metedata for a languageID.,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,header,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,NA,NA,0,30
ISO6396,ISO639-6,attribute,NA,"A set of international standards that lists short codes for language names. ISO 639-6 builds off ISO639-3 with the use of four-letter codes, and allowing users to differenciate between variants of languages and language families, such as histroical vs. revived versions of languages.",Part of the metedata for a languageID.,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,header,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,NA,NA,0,30
j,Weak signal extrapolation,quality,NA,Analytical result falls below the lowest concentration of the experiment-specific standard curve but above the y-intercept value; the reported value is based on the extrapolation of the standard curve in the non-linear region.,NA,Bio,saSpecimen,anyCompartment,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
k856r,k856r omicron-variant gene target,measure,NA,k856r omicron-variant gene target,NA,Bio,saSpecimen,anyCompartment,sarsCov2,mutation,naNomenclature,,NA,NA,geneticUnitSet,see unit,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,see unit,see unit,see unit,NA,NA
kgS,Kilogram per second,unit,NA,Kilograms per second.,NA,Phy,siSpecimen,waterCompartment,naGroup,naClass,naNomenclature,,$kg/s$,NA,naUnitSet,quantAggScale,linearAggrSet,genQualitySet,active,1.0,2.0,description wording.,input,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,float,0,NA,NA,NA
kl,Kilolitres,unit,NA,Kilolitres of volume,NA,Phy,siSaSpecimen,waterCompartment,naGroup,naClass,naNomenclature,,$kl$,NA,naUnitSet,quantAggScale,linearAggrSet,genQualitySet,active,2.0,2.0,added in V2.0,Input,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,float,NA,NA,0,30
l,Litres,unit,NA,Litres of volume,NA,Phy,siSaSpecimen,waterCompartment,naGroup,naClass,naNomenclature,,$l$,NA,naUnitSet,quantAggScale,linearAggrSet,genQualitySet,active,2.0,2.0,New variable in category,Input,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,float,NA,NA,0,30
