langID,partID,partLabel,partDesc,partInstr,firstReleased,lastUpdated,changes,notes,
eng,lBC,Low breadth of coverage,The percentage of the genome covered by reads (ie the breadth) is low.,"If there are multiple issues to flage, use the multiple issues flag and explain the details in the notes section.",2.0,2.0,added in V2.0,,
eng,lcsd,Laboratory Control Sample Duplicate,"Known amounts of an analyte or representative compounds are added to a second ""clean"" matrix (lab water or clean sand) in laboratory. Duplicate of LCS",NA,2.0,2.0,added in V2.0,,
eng,lDC,Low depth of coverage,"Poor coverage, ie. an insufficient number of reads or too many sequencing reads that are mapped incorrectly.","If there are multiple issues to flage, use the multiple issues flag and explain the details in the notes section.",2.0,2.0,added in V2.0,,
eng,leaked,Leaked Sample,"Sample leaked, some volume and material was lost.",NA,2.0,2.0,added in V2.0,,
eng,li,Link,Link to an external reference that describes the geometry of the polygon.,"Deprecated as of version 2, please avoid use. Use referenceLink instead.",1.0,2.0,"added in V2.0, depreciated after",,
eng,funderID,Funding agency,The funding agency of the dataset.,"Use Organization ID to populate this field, and the organizations table to describe contact information and other details for the funding agency.",2.0,2.0,added in V2.0,,
eng,linearAggrSet,Linear Scale Aggregation Set,The aggregation set that contains all aggregations that exist on the linear scale (rather than logorithmic or qualitative).,NA,2.0,2.0,added in V2.0,,
eng,liq,Liquid fraction,Liquid fraction of a sample.,NA,1.0,2.0,added in V2.0,,
eng,localHA,Access to local ha,"If this is 'no', the, data will not be available to local health authorities. If missing, data will be available to local health authorities.",NA,1.0,2.0,"added in V2.0, depreciated after",,
eng,lod,Limit of detection (LOD),LOD,Limit of detection (LOD) for this method if one exists.,1.1,2.0,added in V2.0,,
eng,logAggrSet,Logarithmic Scale Aggregation Set,The aggregation set that contains all aggregations that exist on the logarithmic scale (rather than linear or qualitative).,NA,2.0,2.0,added in V2.0,,
eng,loq,Limit of quantification (LOQ),Loq,Limit of quantification (LOQ) for this method if one exists.,1.1,2.0,added in V2.0,,
eng,lowerCI95,Lower limit of a 95% confidence interval,Specifies the the lower limit of a 95% confidence interval.,"Should typically be linked to an upper limit, and some indication of data spread (ie. standard deviation), and a mean/median measure.",2.0,2.0,added in V2.0,,
eng,lowVol,Low-volume sample,"Sample is low-volume, but was run regardless.",NA,2.0,2.0,added in V2.0,,
eng,htSite,Holding tank,Holding tank,NA,1.0,2.0,"description wording, structure",,
eng,lagoon,Lagoon system,Logoon system for extensive wastewater treatment,NA,1.0,2.0,"description wording, structure",,
eng,ltcf,Long-term care facility,A residential healthcare facility that provides 24-medical care. These are also called skilled nursing facilities.,NA,1.0,2.0,added in V2.0,,
eng,ltDpcr,Life technologies digital PCR,Describes a PCR analysis done using Life Technologies' digital PCR technology.,NA,2.0,2.0,added in V2.0,,
eng,lysi,Lysis buffer,Lysis buffer.,NA,2.0,2.0,added in V2.0,,
eng,m3D,Cubic metres per day,Cubic metres per day.,NA,1.1,2.0,added in V2.0,,
eng,m3H,Cubic metres per hour,Cubic metres per hour.,NA,1.1,2.0,added in V2.0,,
eng,m3S,Cubic metres per second,Cubic metre per second.,NA,1.0,2.0,added in V2.0,,
eng,maxValueAgg,Maximum Value,Highest value in a range of values.,NA,1.0,2.0,added in V2.0,,
eng,domainID,Domain ID,"Domain is the highest level of describing of a measure. There are three domain types: biologic (i.e. Covid-19, chemical (i.e. nitrogen), physical measure (temperature).","The domain ID that corresponds to a given part. Mostly applicable for measures, methods, units, and aggregations.",2.0,2.0,added in V2.0,,
eng,firstReleased,First released version,The version in which a part was first released,NA,2.0,2.0,added in V2.0,,
eng,me,Arithmetic Mean,Arithmetic mean.,NA,1.0,2.0,added in V2.0,,
eng,measGrp,Measurement group,A group of measures that cannot be otherwise categorized.,NA,2.0,2.0,added in V2.0,,
eng,measOth,Other Measure,"Other measure, not otherwise specified in measures.",Add description to categoryOther.,1.0,2.0,"added in V2.0, depreciated after",,
eng,meOthDe,Other Measure Description,Description of other measure (measOtherDesc).,NA,1.0,2.0,"added in V2.0, depreciated after",,
eng,measure,Measures,"An observation recorded from a specimen (i.e. a site, sample, person or population).",NA,2.0,2.0,added in V2.0,,
eng,groupID,Group,"Unique identifier for a group of measures. Mostly applicable for measures, methods, units, and aggregations.","A collection of related measures. For example, SARS-CoV-2 is a group. Within the SARS-CoV-2 group, there are measure classes tht include RNA alleles (N1, N2, E, etc.), mutations, (E484K0), an entire sequence, viral proteins, etc. Currently groups are used for measures only.",2.0,2.0,added in V2.0,,
eng,instruments,Instrument Table,The table that contains information about instruments.,adapt from verson 1 documentation,1.0,2.0,"description wording, structure",,
eng,instrumentsOrder,Instruments table column order,Specifies the order of the columns in the Instruments table.,NA,2.0,2.0,added in V2.0,,
eng,measureID,Measure,"A measurement or observation of any substance including a biological, physical or chemical substance.",Measures are organized into groups and classes (sub-groups).,1.0,2.0,added in V2.0,,
eng,instrumentsRequired,Requirements of Instruments table,Specifies the columns required in the Instruments table.,NA,2.0,2.0,added in V2.0,,
eng,med,Median,Median.,NA,1.0,2.0,added in V2.0,,
eng,menr,Normalized Arithmetic Mean,"Arithmetic mean, normalized.",NA,1.0,2.0,added in V2.0,,
eng,method,Methods,A procedure or step that is performed to make a measure.,"For example, methodExtract is a method tht describes the how a sample was extracted.",2.0,2.0,added in V2.0,,
eng,methodConc,Concentration method,Description of the method to concentrate a wastewater sample.,Description of the method used to concentrate the sample,1.0,2.0,added in V2.0,,
eng,replicateCatSet,Replicate Type CatSetegory Set,The category set for storing valid categorical values of replicate type.,NA,2.0,2.0,added in version 2,,
eng,methodID,Method,A procedure for collecting a sample or performing a measure.,dxc,1.0,2.0,added in V2.0,,
eng,protocolID,Protocol ID,A unique identifier for a given protocol.,NA,2.0,2.0,added in V2.0,,
eng,languages,Language Look-up Table,"Look up table for all languages, used to give structure to the translation table.",NA,2.0,2.0,added in V2.0,,
eng,languagesOrder,Language table column order,Specifies the order of the columns in the Languages table.,NA,2.0,2.0,added in V2.0,,
eng,mfAcidmgcl2,Membrane filtration with acidification and mgcl2,Membrane filtration with acidification and mgcl2,NA,2.0,2.0,added in V2.0,,
eng,mfAcidmgcl2SS,"Membrane filtration with acidification and mgcl2, membrane recombined with separated solids","Membrane filtration with acidification and mgcl2, membrane recombined with separated solids",NA,2.0,2.0,added in V2.0,,
eng,mfMgcl2,Membrane filtration with addition of mgcl2,Membrane filtration with addition of mgcl2,NA,2.0,2.0,added in V2.0,,
eng,mfMgcl2SS,Membrane filtration with  mgcl2 and separated solids,"Membrane filtration with addition of mgcl2, membrane recombined with separated solids",NA,2.0,2.0,added in V2.0,,
eng,mfNoAmend,Membrane filtration with no amendment,Membrane filtration with no amendment,NA,2.0,2.0,added in V2.0,,
eng,mfNoAmendSS,"Membrane filtration with no amendment, membrane recombined with separated solids","Membrane filtration with no amendment, membrane recombined with separated solids",NA,2.0,2.0,added in V2.0,,
eng,mfSampleAcid,Membrane filtration with sample acidification,Membrane filtration with sample acidification,NA,2.0,2.0,added in V2.0,,
eng,mfSampleAcidSS,"Membrane filtration with sample acidification, membrane recombined with separated solids","Membrane filtration with sample acidification, membrane recombined with separated solids",NA,2.0,2.0,added in V2.0,,
eng,mgd,Millions of gallons per day (MG/D),"A unit for measuring of design capacity for wastewater treatment plants, represented as millions of gallons per day. Also can be used to measure flow.",NA,2.0,2.0,added in V2.0,,
eng,mgL,Milligrams per litre,Milligrams per litre.,NA,1.1,2.0,added in V2.0,,
eng,mhv,Murine Hepatitis Virus,A measure for amount of murine hepatitis viurs.,NA,2.0,2.0,added in V2.0,,
eng,mI,Multiple issues,Multiple issues have arisen in the sequencing process.,"When using the 'multiple issues' quality flag, please specify the issues and details in the notes section.",2.0,2.0,added in V2.0,,
eng,minValueAgg,Minimum Value,Lowest value in a range of values.,NA,1.0,2.0,added in V2.0,,
eng,lastUpdated,Last updated date,The date that the part was last updated.,Any change to the part of list will result in an update in the lastUpdated field to the dictionary version where the update occurred.,2.0,2.0,added in V2.0,,
eng,latExp,Latext expression,Latext expression used to generate math formulas for units.,"Only relevant for units, other parts will not have these.",2.0,2.0,added in V2.0,,
eng,miscAttr,Miscellaneous attribute group,A group of miscellaneous measurement-like attributes.,"Examples of these would be longitude and latitude, or EPSG coordinates.",2.0,2.0,added in V2.0,,
eng,miscMeas,Miscellaneous measure group,A group of measures that cannot be otherwise categorized.,NA,2.0,2.0,added in V2.0,,
eng,missingness,Missingness,The part type for missingness values.,Only used for the dictionary entries of parts.,2.0,2.0,added in V2.0,,
eng,mix,Mixed/homogenized sample,Mixed or homogenized sample or fraction analyzed.,NA,1.0,2.0,added in V2.0,,
eng,ml,Millilitres,Millilitres of volume,NA,2.0,2.0,added in V2.0,,
eng,mld,Megalitres per day (ML/d),Megalitres per day.,NA,2.0,2.0,added in V2.0,,
eng,mm,Millimetres,Unit part for the SI unit of millimetres.,NA,1.1,2.0,added in V2.0,,
eng,popServ,Population Served,"An attribute of a site, which specifies the population of/population served by a given site.",NA,2.0,2.0,added in version 2,,
eng,moorSw,Moore swab passive sample,Moore swab passive sample.,Use collectionPeriod to describe how many hours the Moore swab was used to collect the sample,1.0,2.0,added in V2.0,,
eng,ms,Metres per second,metres per second.,NA,2.0,2.0,added in V2.0,,
eng,ms2Col,ms2 coliphage,Measure of the amount of ms2 coliphage.,NA,2.0,2.0,added in V2.0,,
eng,ms2ColMat,ms2 coliphage Spike Target,ms2 coliphage is used as the recovery efficiency control target.,NA,2.0,2.0,added in V2.0,,
eng,msd,Matrix Spike Duplicate,A known amounts of an analyte or representative compounds are added in the laboratory to a second aliquot of the sample used for matrix spike.,NA,2.0,2.0,added in V2.0,,
eng,msps,Moore Swab Passive Sample Depreciated,Moore swab passive sample.,"Deprecated in version 2, please do not use.",1.0,2.0,"added in V2.0, depreciated after",,
eng,mSwrPpl,Major sewer pipeline,Major sewer pipeline,NA,1.0,2.0,added in V2.0,,
eng,mu,Mu,B.1.621,NA,2.0,2.0,added in V2.0,,
eng,muCo,murine coronavirus,Measure of the amount of murine coronavirus.,NA,2.0,2.0,added in V2.0,,
eng,muCoMat,murine coronavirus Spike Target,Murine coronavirus is used as the recovery efficiency control target.,NA,2.0,2.0,added in V2.0,,
eng,mul,Multiple fraction,Multiple fractions were analyzed separately and aggregated together post-analysis.,This fractionID is intended for use for archival data and should not be used for newly added new moving forward (2022). Please also specify in the notes section which fractions were used for the multiple fractions (ex. solid and liquid) to avoid loss of information.,2.0,2.0,added in V2.0,,
eng,multiple,Multiple Purpose,"A measure or sample taken for multiple purposes, not easily captured by the other purpose categories.",Useful for parent samples where various subsamples will have different purposes/,2.0,2.0,added in V2.0,,
eng,ltcfAl,Long-term care - assisted living or retirement home,A residential facility that provides assistance with daily care but generally does not provide skilled nursing care.,NA,2.0,2.0,added in V2.0,,
eng,mutation,Mutations class,Specifies a collection of measures/methods related to mutations.,NA,2.0,2.0,added in V2.0,,
eng,n,N sars-cov-2 gene target,N sars-cov-2 gene target,NA,2.0,2.0,added in V2.0,,
eng,n1n2,Combined N1 and N2 sars-cov-2 gene target,Combined N1 and N2 sars-cov-2 gene target,NA,2.0,2.0,added in V2.0,,
eng,n211i,n211i omicron-variant gene target,n211i omicron-variant gene target,NA,2.0,2.0,added in V2.0,,
eng,n679k,n679k omicron-variant gene target,n679k omicron-variant gene target,NA,2.0,2.0,added in V2.0,,
eng,n856k,n856k omicron-variant gene target,n856k omicron-variant gene target,NA,2.0,2.0,added in V2.0,,
eng,n969k,n969k omicron-variant gene target,n969k omicron-variant gene target,NA,2.0,2.0,added in V2.0,,
eng,na,Not applicable,The field for which the expected value is not a property of the described object.,Missing value indicator for missing data with no explanation.,1.0,2.0,added in V2.0,,
eng,naAggr,Aggregation not applicable,Not applicable for aggregations.,Used for parts for which an aggregation value is not applicable or appropriate.,2.0,2.0,added in V2.0,,
eng,naAggrScale,Aggregation scale not applicable,Not application for aggregation sets.,Used for parts for which an aggregation scale value is not applicable or appropriate.,2.0,2.0,added in V2.0,,
eng,naAggrSet,Aggregation set not applicable,Not application for aggregation sets.,Used for parts for which an aggregation set value is not applicable or appropriate.,2.0,2.0,added in V2.0,,
eng,naClass,Class not applicable,Specifies a class for parts where a class is not applicable or appropriate.,Use this for all parts that don't have classes (most non-measure or method parts),2.0,2.0,added in V2.0,,
eng,sampleMatCatSet,Sample material category set,CatSetegory set for the types of material that can be found in a sample.,NA,2.0,2.0,added in version 2,,
eng,shedCatSet,Sampleshed CatSetegory Set,The category set for all valid values of sampleshed.,NA,2.0,2.0,added in version 2,,
eng,naDomain,Domain not applicable,Not applicable.,Use 'not applicable' when there is no domain for the part,2.0,2.0,added in V2.0,,
eng,naGroup,Group not applicable,Used when there is no group; ie. groupID is not applicable.,Use 'not applicable' when there is no group for the part,2.0,2.0,added in V2.0,,
eng,custodyID,Data custodian,The data custodian of a database.,"Use Organization ID to populate this field, and the organizations table to describe contact information and other details for the data custodian.",2.0,2.0,added in V2.0,,
eng,nan,Not a number,"The outcome of a measurement is not a valid number (plus or minus infinity, error, ...)",Missing values indicator for when a numeric value is expected but not given.,1.0,2.0,added in V2.0,,
eng,naNomenclature,Nomenclature not applicable,Not applicable.,Use 'not applicable' when there is no nomenclature for the part,2.0,2.0,added in V2.0,,
eng,naSpecimen,Specimen not applicable,Non applicable specimen.,Use 'not applicable' when there is no specimen/set for the part,2.0,2.0,added in V2.0,,
eng,siteTypeCatSet,Site category set,CatSetegory set for the type of sampling site.,NA,2.0,2.0,added in version 2,,
eng,natName,Native Name,"The native name of the language, i.e. what the language is called by its speakers.",Part of the metedata for a languageID.,2.0,2.0,added in V2.0,,
eng,naUnit,Unit not applicable,Not appliable for units.,NA,2.0,2.0,added in V2.0,,
eng,naUnitSet,Unit set not applicable,Not applicable for unit sets.,NA,2.0,2.0,added in V2.0,,
eng,ND,Non-detect,No amplification occurred in the reaction; non-detect.,"For the value of a non-detected measure, report the actual value even if it is below the limit of detection. The flag here ensures that it's recorded as a non-detect regardless. In instances where the original data doesn't record a value, but only has the flag, please populate the value field with either a 0 if dealing with variant percentages, and a 1 for all other purposes to further indicate a null result.",2.0,2.0,added in V2.0,,
eng,ltcfO,Other long-term care,"Other residential facilities that provide daily and/or medical care, but are not defined as nursing home/skilled nursing facilities or assisted living facilities.",NA,2.0,2.0,added in V2.0,,
eng,newVax,Population of newly vaccinated persons,Population of newly vaccinated persons,NA,2.0,2.0,added in V2.0,,
eng,nextclade,NextClade nomenclature,Specifies variant or genetic nomenclature as set out by NextClade.,NA,2.0,2.0,added in V2.0,,
eng,ngmn,Normalized Geometric Mean,"Geometric mean, normalized.",NA,1.0,2.0,added in V2.0,,
eng,nH4N,Ammonium Nitrogen,"Ammonium nitrogen concentration, as N.",NA,1.0,2.0,added in V2.0,,
eng,niid19,niid_2019-ncov_n sars-cov-2 gene target,niid_2019-ncov_n sars-cov-2 gene target,NA,2.0,2.0,added in V2.0,,
eng,noConcernPCR,No quality concerns for PCR,No quality concerns of note for the PCR reaction.,NA,2.0,2.0,added in V2.0,,
eng,noLabel,Sample not labelled,Sample had no label,NA,2.0,2.0,added in V2.0,,
eng,noliquid,"No liquid concentration, liquid recombined with separated solids","No liquid concentration, liquid recombined with separated solids",NA,2.0,2.0,added in V2.0,,
eng,nomenclature,Nomeclature,A classification system to report the measure class.,See partID = nomenclatureID.,2.0,2.0,added in V2.0,,
eng,maxLength,Maximum length,The minimum length of a part.,NA,2.0,2.0,added in V2.0,,
eng,nondet,Non-detected,"Unit ID for when a measure is ""non-detect"" in order to explain a value of zero.",Use this unit in cases where a measure resulted in no detection,2.0,2.0,added in V2.0,,
eng,email,Contact email,"Contact e-mail address, for the lab.",NA,1.0,2.0,added in V2.0,,
eng,noTime,Sample missing time stamp,Sample is missing the autosampler time; incomplete metadata on collection.,NA,2.0,2.0,added in V2.0,,
eng,nr,Not reported,"A value could have been recorded, however, it was not.",Missing value indicator for data that is absent because it was not reported.,1.0,2.0,added in V2.0,,
eng,nSarbec,Sarbecovirus-specific N sars-cov-2 gene target,Sarbecovirus-specific N sars-cov-2 gene target,NA,2.0,2.0,added in V2.0,,
eng,ntu,Nephelometric turbidity unit,"Nephelometric Turbidity Units, a unit used in the measurement of turbidity (see ""turbidity"" under measureIDs).",Nephelometric turbidity units (NTU) are based on white light (400–680nm) and 90° incident angle.,2.0,2.0,added in V2.0,,
eng,nucAuto,Nuclisens automated magnetic bead extraction kit,Nucleic acid extraction performed using the nuclisens automated magnetic bead extraction kit.,NA,2.0,2.0,added in V2.0,,
eng,nucManu,Nuclisens manual magnetic bead extraction kit,Nucleic acid extraction performed using the nuclisens manual magnetic bead extraction kit.,NA,2.0,2.0,added in V2.0,,
eng,nww,Water sample type,"Non-wastewater, coming from any kind of water body",NA,1.0,2.0,added in V2.0,,
eng,oc43,coronavirus OC43,Measure of the amount of coronavirus OC43.,NA,2.0,2.0,added in V2.0,,
eng,oc43Mat,oc43 Spike Target,Human coronavirus OC43 is used as the recovery efficiency control target.,NA,2.0,2.0,added in V2.0,,
eng,ocean,"Ocean, natural water body","Ocean, natural water body",NA,1.0,2.0,added in V2.0,,
eng,oCol,Other Collection Depreciated,Other type of collection method. Add description to collectionOther.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",1.0,2.0,"added in V2.0, depreciated after",,
eng,ola,Lab Analysis,Offline laboratory analysis.,NA,1.0,2.0,added in V2.0,,
eng,omicr,Omicron,B.1.1.529,NA,2.0,2.0,added in V2.0,,
eng,onsDate,Onset Date,"Earliest that symptoms were reported for this case. This data is often not known and reported. In lieu, episode is used.",NA,1.0,2.0,added in V2.0; depreciated,,
eng,onse,Online Sensor,Online sensor,An online sensor,1.0,2.0,added in V2.0,,
eng,ophos,Orthophosphates,Ortho-phosphate concentration.,NA,1.0,2.0,added in V2.0,,
eng,municp,Municipality,"A complete municipality, this specifies an entire metropolitan area, either a city, town, etc.",NA,2.0,2.0,added in V2.0,,
eng,orf1a,ORF1a sars-cov-2 gene target,ORF1a sars-cov-2 gene target,NA,2.0,2.0,added in V2.0,,
eng,orf1ab,ORF1ab sars-cov-2 gene target,ORF1ab sars-cov-2 gene target,NA,2.0,2.0,added in V2.0,,
eng,orf1b,ORF1b sars-cov-2 gene target,ORF1b sars-cov-2 gene target,NA,2.0,2.0,added in V2.0,,
eng,phone,Contact phone,"Contact phone number, for the lab.",NA,1.0,2.0,"description wording, structure",,
eng,maxValue,Maximum value,The maximum value of a part.,NA,2.0,2.0,added in V2.0,,
eng,organizationTypes,Organization Type Table,The table that contains information about organization types,adapt from verson 1 documentation,2.0,2.0,"added in V2.0, depreciated after",,
eng,solidSeparationCatSet,Solid separation category set,CatSetegory set for the separation of solids.,NA,2.0,2.0,added in version 2,,
eng,insType,Instrument Type,Type of instrument used to perform the measurement.,NA,1.0,2.0,none,,
eng,origin,Sample origin,An attribute of a sample specifying the origin.,NA,2.0,2.0,added in V2.0,,
eng,spikeMatCatSet,CatSetegories of spikeMat,CatSetegories for spikeMat (aterial into which the recovery efficiency control target is spiked).,NA,2.0,2.0,added in version 2,,
eng,otco,Other Collection Depreciated 2,Other type of collection method. Add description to collectionOther.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",1.0,2.0,"added in V2.0, depreciated after",,
eng,otherAggrSet,Other aggregation set,Aggregation set used for unitless measures.,NA,2.0,2.0,added in V2.0,,
eng,otherDep,Other Aggregation,Other aggregation method. Add description to aggregationOther,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",1.0,2.0,"added in V2.0, depreciated after",,
eng,otherProv,Access to other prov,"If this is 'no', this data will not be available to other data providers not listed before. If missing, data will be available to other data providers not listed before",NA,1.0,2.0,"added in V2.0, depreciated after",,
eng,otsiDep2,Other Site Depreciated,Other site type. Add description to typeOther,NA,1.0,2.0,"added in V2.0, depreciated after",,
eng,otsiDep2,Other Site Depreciated 2,Other type of site. Add description to typeOther.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",1.0,2.0,"added in V2.0, depreciated after",,
eng,otun,Other Unit,Other measurement of viral copies or wastewater treatment plant parameter. Add description to UnitOther.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",1.0,2.0,"added in V2.0, depreciated after",,
eng,outb,Outbreak,"Measure to indicate outbreak status. Given that when outbreaks occur, full data on case counts may not be available or completely accurate, using this measure indicates that case counts may be approximate.",The datetime for the measure helps indicate that start and end periods for an outbreak.,2.0,2.0,added in V2.0,,
eng,outbEnd,Outbreak End,Indicates an outbreak has ended.,NA,2.0,2.0,added in V2.0,,
eng,outbOngoing,Outbreak On-going,Indicates an outbreak is on-going.,NA,2.0,2.0,added in V2.0,,
eng,spikeTargetCatSet,Recovery Efficiency Spike Target CatSetegory Set,The category set capturing containing all of the valid categories for the recovery efficiency control (or spike) target.,NA,2.0,2.0,added in version 2,,
eng,outbStart,Outbreak start,Indicates an outbreak began.,NA,2.0,2.0,added in V2.0,,
eng,p100l,p100l delta-variant gene target,p100l delta-variant gene target,NA,2.0,2.0,added in V2.0,,
eng,p2046l,p2046l delta-variant gene target,p2046l delta-variant gene target,NA,2.0,2.0,added in V2.0,,
eng,p2287s,p2287s delta-variant gene target,p2287s delta-variant gene target,NA,2.0,2.0,added in V2.0,,
eng,p3395h,p3395h omicron-variant gene target,p3395h omicron-variant gene target,NA,2.0,2.0,added in V2.0,,
eng,p681r,p681r delta-variant gene target,p681r delta-variant gene target,NA,2.0,2.0,added in V2.0,,
eng,pangolin,Pangolin nomenclature,Specifies variant or genetic nomenclature as set out by the Phylogenetic Assignment of Named Global Outbreak Lineages (Pangolin).,NA,2.0,2.0,added in V2.0,,
eng,repType,Replicate Type,"Attirbute of a sample, specifying whether the sample is unique, or a replicate. And if it is a replicate, what type of replicate is it?",NA,2.0,2.0,added in version 2,,
eng,neigh,Neighbourhood,"A municipal neighbourhood, this specifies a sub-section of a larger municipality.",NA,2.0,2.0,added in V2.0,,
eng,measures,Measure Report Table,The table that contains information and details about a given measure,adapt from verson 1 documentation,1.0,2.0,added in V2.0,,
eng,measureSets,Measure Set Report Table,The table that identifies sets of measures.,"Examples of measure sets include a set of replicates, dilutions (used to generate a Ct curve) or varients that are identified in a single sample.",1.0,2.0,added in V2.0,,
eng,measureSetsOrder,Measure sets table column order,Specifies the order of the columns in a Measure Sets table.,NA,2.0,2.0,added in V2.0,,
eng,measureSetsRequired,Requirements of measure sets table,Specifies the columns required in a Measure Sets table.,NA,2.0,2.0,added in V2.0,,
eng,measuresOrder,Measures table column order,Specifies the order of the columns in a Measures table.,NA,2.0,2.0,added in V2.0,,
eng,measuresRequired,Requirements of measures table,Specifies the columns required in a Measures table.,NA,2.0,2.0,added in V2.0,,
eng,tableCatSet,Table column category set,The category set for valid inputs in table columns.,These categories are used in the parts list for columns named after tables to indicate the position and function of a given part in the entity relationship diagram of the data model.,2.0,2.0,added in version 2,,
eng,pce,Primary Clarifier Effluent Depreciated,Effluent obtained after primary clarifiers.,"Deprecated in version 2, please do not use. Duplicate of the sampleMat categories - refer to those.",1.0,2.0,depreciated,,
eng,pcr,PCR method,Description of the PCR method.,Description of the PCR method used,1.0,2.0,description wording,,
eng,pcrQualitySet,PCR Quality Set,Quality set for PCR measures.,NA,2.0,2.0,added in version 2,,
eng,pcs,Primary Clarifier Sludge Depreciated,Sludge produced by primary clarifiers.,NA,1.0,2.0,depreciated,,
eng,pEfflu,Primary clarifier effluent,Effluent obtained after primary clarifiers,NA,1.0,2.0,NA,,
eng,peg,Polyethyleneglycol (PEG) precipitation,Peg precipitation,NA,2.0,2.0,added in version 2,,
eng,perc,Percent,Percentage.,NA,2.0,2.0,added in version 2,,
eng,percRec,Percent Recovery,Percent of the surrogate recovery for a recovery efficiency control assay.,Use this for reporting the results of any recovery control assay.,1.0,2.0,"description wording, structure",,
eng,ph,pH,pH measurement,NA,1.1,2.0,"description wording, structure",,
eng,phac,Access to phac,"If this is 'no', the data will not be available to employees of the Public Health Agency of Canada - PHAC. If missing, data will be available to employees of the Public Health Agency of Canada - PHAC.",NA,1.0,2.0,Depreciated.,,
eng,geoLat,Latitude,"Geographical location, latitude in decimal coordinates, ie.: (45.424721)",NA,1.0,2.0,NA,,
eng,phenCl,Phenol chloroform,Nucleic acid extraction performed using phenol chloroform.,NA,2.0,2.0,added in version 2,,
eng,phi6,Pseudomonas virus phi6,Measure of the amount of pseudomonas virus phi6.,NA,2.0,2.0,added in version 2,,
eng,phi6Mat,phi6 Spike Target,Pseudomonas virus phi6is used as the recovery efficiency control target.,NA,2.0,2.0,added in version 2,,
eng,role,Role of Contact,Specifies the organizational role of a given contact.,NA,2.0,2.0,added in version 2,,
eng,phos,Total Phosphorous,Total phosphorous,NA,1.1,2.0,"description wording, structure",,
eng,phostot,Total Phosphates,Total phosphates,NA,1.1,2.0,"description wording, structure",,
eng,phy,Physical property,A physical property or object not characterized by life or chemistry.,NA,2.0,2.0,added in version 2,,
eng,physical,Physical class,Specifies a collection of measures/methods related to generic physical properties.,NA,2.0,2.0,added in version 2,,
eng,pK,Primary key,Primary key for a table.,NA,2.0,2.0,added in version 2,,
eng,pmFloMean,PMMoV- and flow-normalized mean,Mean measure normalized to amount of PMMoV and wastewater flow; AlleleX (gc/mL) x Q (ML/d)  / (Pop /1e5) x 1e3 (mL/L) x 1e6 (L/ML)  = AlleleX (gc/day per 1e5 population),"Mostly used for reporting specific alleles (N1, N2, E, etc.)",2.0,2.0,added in version 2,,
eng,pmmovNorm,PMMoV-normalized mean,Mean measure normalized to amount of PMMoV.,"Mostly used for reporting specific alleles (N1, N2, E, etc.)",2.0,2.0,added in version 2,,
eng,po,Population,An aggregated public health measure.,NA,1.0,2.0,added in version 2,,
eng,pogr,Post-Grit Depreciated,Raw wastewater after a treatment plant's headworks.,NA,1.0,2.0,depreciated,,
eng,geoWKT,Well-known text,Well-known text of the polygon,NA,1.0,2.0,"description wording, structure",,
eng,minLength,Mininum length,The minimum length of a part.,NA,2.0,2.0,added in V2.0,,
eng,insTypeOth,"Describe other instrument type, if applicable",Description of the instrument in case it is not listed in instrumentType.,NA,1.0,2.0,none,,
eng,collType,Sample collection type,Method used to collect the sample.,NA,1.0,2.0,description wording,,
eng,popDateType,Type of date for case reporting,"Type of date used for confirmed cases. Typically, report or episode are reported. Onset and test date is not usually reported within aggregate data.",NA,1.0,2.0,depreciated,,
eng,weathCatSet,Weather Category Set,A category set of the valid qualitative categories for the qualitative weather measure.,NA,2.0,2.0,added in version 2,,
eng,popEq,Population equivalents,"A unit for measuring of design capacity for wastewater treatment plants, represented as the approximate amount of water a signle person would use.",NA,1.0,2.0,"description wording, structure",,
eng,popGrp,Population group,A group of measures/methods related to population-level factors.,"Examples might be case numbers, hospitalization rates, etc.",2.0,2.0,added in version 2,,
eng,geoLong,Longitude,"Geographical location, longitude in decimal coordinates, ie.: (-75.695000)",NA,1.0,2.0,NA,,
eng,population,Population class,Specifies a collection of population-level measures/methods.,NA,2.0,2.0,added in version 2,,
eng,populationUnitSet,Population unit set,Unit set for hospital-related measurements.,NA,2.0,2.0,added in version 2,,
eng,statusCatSet,Status category set,A category set for partID = Status to indicate whether a part is in current use or not.,NA,2.0,2.0,added in V2.0,,
