langID,partID,partLab,partDesc,partInstr
en,mix,Mixed/homogenized sample,Mixed or homogenized sample or fraction analyzed.,NA
en,ml,Millilitres,Millilitres of volume,NA
en,mld,Megalitres per day (ML/d),Megalitres per day.,NA
en,mm,Millimetres,Unit part for the SI unit of millimetres.,NA
en,refLink,Reference link,"Link to the reference material for a part. May link to literature on a method, measure, etc.","Link to standard operating procedure for a measure or part. Part reference is a reference to a technical document that describes the part in detail. The reference could be a URL, DOI, or reference to a techincal report."
en,moorSw,Moore swab passive sample,Moore swab passive sample.,Use collectionPeriod to describe how many hours the Moore swab was used to collect the sample
en,ms,Metres per second,metres per second.,NA
en,ms2Col,ms2 coliphage,Measure of the amount of ms2 coliphage.,NA
en,ms2ColMat,ms2 coliphage Spike Target,ms2 coliphage is used as the recovery efficiency control target.,NA
en,msd,Matrix Spike Duplicate,A known amounts of an analyte or representative compounds are added in the laboratory to a second aliquot of the sample used for matrix spike.,NA
en,msps,Moore Swab Passive Sample Depreciated,Moore swab passive sample.,"Deprecated in version 2, please do not use."
en,mSwrPpl,Major sewer pipeline,Major sewer pipeline,NA
en,mu,Mu,B.1.621,NA
en,muCo,murine coronavirus,Measure of the amount of murine coronavirus.,NA
en,muCoMat,murine coronavirus Spike Target,Murine coronavirus is used as the recovery efficiency control target.,NA
en,mul,Multiple fraction,Multiple fractions were analyzed separately and aggregated together post-analysis.,This fractionID is intended for use for archival data and should not be used for newly added new moving forward (2022). Please also specify in the notes section which fractions were used for the multiple fractions (ex. solid and liquid) to avoid loss of information.
en,multiple,Multiple Purpose,"A measure or sample taken for multiple purposes, not easily captured by the other purpose categories.",Useful for parent samples where various subsamples will have different purposes/
en,municp,Municipality,"A complete municipality, this specifies an entire metropolitan area, either a city, town, etc.",NA
en,mutation,Mutations class,Specifies a collection of measures/methods related to mutations.,NA
en,n,N sars-cov-2 gene target,N sars-cov-2 gene target,NA
en,n1n2,Combined N1 and N2 sars-cov-2 gene target,Combined N1 and N2 sars-cov-2 gene target,NA
en,n211i ,n211i omicron-variant gene target,n211i omicron-variant gene target,NA
en,n679k ,n679k omicron-variant gene target,n679k omicron-variant gene target,NA
en,n856k ,n856k omicron-variant gene target,n856k omicron-variant gene target,NA
en,n969k ,n969k omicron-variant gene target,n969k omicron-variant gene target,NA
en,na,Not applicable,The field for which the expected value is not a property of the described object.,Missing value indicator for missing data with no explanation.
en,naAggr,Aggregation not applicable,Not applicable for aggregations.,Used for parts for which an aggregation value is not applicable or appropriate.
en,naAggrScale,Aggregation scale not applicable,Not application for aggregation sets.,Used for parts for which an aggregation scale value is not applicable or appropriate.
en,naAggrSet,Aggregation set not applicable,Not application for aggregation sets.,Used for parts for which an aggregation set value is not applicable or appropriate.
en,naClass,Class not applicable,Specifies a class for parts where a class is not applicable or appropriate.,Use this for all parts that don't have classes (most non-measure or method parts)
en,naCompartment,Compartment not applicable,Compartment not applicable.,NA
en,naCompartmentSet,Compartment set not applicable,Compartment not applicable.,NA
en,naDomain,Domain not applicable,Not applicable. ,Use 'not applicable' when there is no domain for the part
en,naGroup,Group not applicable,Used when there is no group; ie. groupID is not applicable.,Use 'not applicable' when there is no group for the part
en,insType,Instrument Type,Type of instrument used to perform the measurement.,NA
en,nan,Not a number,"The outcome of a measurement is not a valid number (plus or minus infinity, error, ...)",Missing values indicator for when a numeric value is expected but not given.
en,naNomenclature,Nomenclature not applicable,Not applicable. ,Use 'not applicable' when there is no nomenclature for the part
en,naSpecimen,Specimen not applicable,Non applicable specimen.,Use 'not applicable' when there is no specimen/set for the part
en,naSpecimenSet,Specimen set not applicable,A specimen set for when sepcimen/specimen set is not applicable.,Use 'not applicable' when there is no specimen/set for the part
en,natName,Native Name,"The native name of the language, i.e. what the language is called by its speakers.",Part of the metedata for a languageID.
en,naUnit,Unit not applicable,Not appliable for units.,NA
en,naUnitSet,Unit set not applicable,Not applicable for unit sets.,NA
en,ND,Non-detect,No amplification occurred in the reaction; non-detect.,"For the value of a non-detected measure, report the actual value even if it is below the limit of detection. The flag here ensures that it's recorded as a non-detect regardless. In instances where the original data doesn't record a value, but only has the flag, please populate the value field with either a 0 if dealing with variant percentages, and a 1 for all other purposes to further indicate a null result. "
en,neigh,Neighbourhood,"A municipal neighbourhood, this specifies a sub-section of a larger municipality.",NA
en,newVax,Population of newly vaccinated persons,Population of newly vaccinated persons,NA
en,nextclade,NextClade nomenclature,Specifies variant or genetic nomenclature as set out by NextClade.,NA
en,ngmn,Normalized Geometric Mean,"Geometric mean, normalized.",NA
en,nH4N,Ammonium Nitrogen,"Ammonium nitrogen concentration, as N.",NA
en,niid2019ncovN,niid_2019-ncov_n sars-cov-2 gene target,niid_2019-ncov_n sars-cov-2 gene target,NA
en,noConcernPCR,No quality concerns for PCR,No quality concerns of note for the PCR reaction.,NA
en,noLabel,Sample not labelled,Sample had no label,NA
en,noliquid,"No liquid concentration, liquid recombined with separated solids","No liquid concentration, liquid recombined with separated solids",NA
en,nomenclature,Nomeclature Part Type,A classification system to report the measure class. ,See partID = nomenclatureID.
en,nomenclatureID,Nomenclature,"A classification system to report the measure class. Only applicable to variants, mutations, and diseases.","Currently only used for class = variant, mutation, or disease. Valid options are currently restricted to 'NextClade', 'Pangolin', 'WHO', or 'ICD'."
en,nondet,Non-detected,"Unit ID for when a measure is ""non-detect"" in order to explain a value of zero.",Use this unit in cases where a measure resulted in no detection
en,email,Contact email,"Contact e-mail address, for the lab.",NA
en,noTime,Sample missing time stamp,Sample is missing the autosampler time; incomplete metadata on collection.,NA
en,nr,Not reported,"A value could have been recorded, however, it was not.",Missing value indicator for data that is absent because it was not reported.
en,nSarbeco,Sarbecovirus-specific N sars-cov-2 gene target,Sarbecovirus-specific N sars-cov-2 gene target,NA
en,ntu,Nephelometric turbidity unit,"Nephelometric Turbidity Units, a unit used in the measurement of turbidity (see ""turbidity"" under measureIDs).",Nephelometric turbidity units (NTU) are based on white light (400–680nm) and 90° incident angle.
en,nucAuto,nuclisens automated magnetic bead extraction kit,Nucleic acid extraction performed using the nuclisens automated magnetic bead extraction kit.,NA
en,nucManu,nuclisens manual magnetic bead extraction kit,Nucleic acid extraction performed using the nuclisens manual magnetic bead extraction kit.,NA
en,nww,Water sample type,"Non-wastewater, coming from any kind of water body",NA
en,oc43,coronavirus OC43,Measure of the amount of coronavirus OC43.,NA
en,oc43Mat,oc43 Spike Target,Human coronavirus OC43 is used as the recovery efficiency control target.,NA
en,ocean,"Ocean, natural water body","Ocean, natural water body",NA
en,oCol,Other Collection Depreciated,Other type of collection method. Add description to collectionOther.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca"
en,ola,Lab Analysis,Offline laboratory analysis.,NA
en,omicr,Omicron,B.1.1.529,NA
en,onsDate,Onset Date,"Earliest that symptoms were reported for this case. This data is often not known and reported. In lieu, episode is used.",NA
en,onse,Online Sensor,Online sensor,An online sensor
en,ophos,Orthophosphates,Ortho-phosphate concentration.,NA
en,orb,Other residential building,Individual residential buildings or institutions not captured in other categories,NA
en,orf1a,ORF1a sars-cov-2 gene target,ORF1a sars-cov-2 gene target,NA
en,orf1ab,ORF1ab sars-cov-2 gene target,ORF1ab sars-cov-2 gene target,NA
en,orf1b,ORF1b sars-cov-2 gene target,ORF1b sars-cov-2 gene target,NA
en,phone,Contact phone,"Contact phone number, for the lab.",NA
en,organizations,Organization Table,The table that contains information about a laboratory.,adapt from verson 1 documentation
en,organizationTypes,Organization Type Table,The table that contains information about organization types,adapt from verson 1 documentation
en,orgTypeCat,Organization type category set,The category set for storing organization types.,NA
en,insTypeOth,"Describe other instrument type, if applicable",Description of the instrument in case it is not listed in instrumentType.,NA
en,origin,Sample origin,An attribute of a sample specifying the origin.,NA
en,originCatSet,Sample Origin Category Set,The category set for storing the valid categorical values of sample origin.,NA
en,otco,Other Collection Depreciated 2,Other type of collection method. Add description to collectionOther.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca"
en,otherAggrs,Other aggregation set,Aggregation set used for unitless measures.,NA
en,otherDep,Other Aggregation,Other aggregation method. Add description to aggregationOther,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca"
en,otherProv,Access to other prov,"If this is 'no', this data will not be available to other data providers not listed before. If missing, data will be available to other data providers not listed before",NA
en,otsi,Other Site,Other type of site. Add description to sampeTypeOther.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca"
en,otsiDep2,Other Site Depreciated,Other site type. Add description to typeOther,NA
en,otsiDep2,Other Site Depreciated 2,Other type of site. Add description to typeOther.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca"
en,otun,Other Unit,Other measurement of viral copies or wastewater treatment plant parameter. Add description to UnitOther.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca"
en,outb,Outbreak,"Measure to indicate outbreak status. Given that when outbreaks occur, full data on case counts may not be available or completely accurate, using this measure indicates that case counts may be approximate.",The datetime for the measure helps indicate that start and end periods for an outbreak.
en,outbEnd,Outbreak End,Indicates an outbreak has ended.,NA
en,outbOngoing,Outbreak On-going,Indicates an outbreak is on-going.,NA
en,outbreakCatSet,Outbreak category set,Category set for the valid values of the outbreak measure.,NA
en,outbStart,Outbreak start,Indicates an outbreak began.,NA
en,p100l,p100l delta-variant gene target,p100l delta-variant gene target,NA
en,p2046l,p2046l delta-variant gene target,p2046l delta-variant gene target,NA
en,p2287s,p2287s delta-variant gene target,p2287s delta-variant gene target,NA
en,p3395h ,p3395h omicron-variant gene target,p3395h omicron-variant gene target,NA
en,p681r,p681r delta-variant gene target,p681r delta-variant gene target,NA
en,pangolin,Pangolin nomenclature,Specifies variant or genetic nomenclature as set out by the Phylogenetic Assignment of Named Global Outbreak Lineages (Pangolin).,NA
en,parSampID,Parent sample ID,If this sample has been pooled into one big sample for analysis this indicates the sample of the larger pooled sample.,NA
en,parSiteID,Parent Site ID,The siteID that is a parent to another siteID; usually the sub-site will be contained in the parentSite.,"An example would be surface testing in a LTC facility. The LTC facility would be the parentSiteID, and the various rooms/surfaces would be the sub-sites, or child-sites."
en,partDesc,Part Description,Description of the part,"Provides description of the part, used for tranlsation."
en,partID,Part ID,The unique identify of any enity within the dictionary.,"Every entity in the ODM has a partID. The partID must be unique with no duplcates. partIDs are short. partIDs that are constructed by different part attributes can be up 28 characters (check max), but each part attibute should be 1 to 5 characters. partIDs are machine readible, but a knowledgable user can understand what they represent. partID are used, for example, as a header in an Excel input table. Numbers are allowed but there no other special characters other than `_`. `_` is a reserved character that is used to generate a partID using a compoent or table attributes. A partID for a subComponent is automatically generated using attributes of a component. For example, the partID for the compoent `SARS-CoV-2` is `covid`. `Covid` can have many subComponents including different groups (Covid-19-al, Covid-19-va, ovid-pr (allele, variant or protein) or units and aggregatrions (i.e. covid-al-N1-mean-cpl representing ovid allele N1, mean observation of viral copies per litre of effluent). A similar approach to naming subComponent is use for naming parts in a reprotTable."
en,partInstr,Part Instruction,Additional notes and instructions on how a part is used and/or defined.,NA
en,partLab,Label,A human readible label of a part. ,"Typically, a part label has no acrynomns (every word is spelled out). Equivalent to a LOINC common name."
en,partsLUs,Parts Look-up Table,Look up table containing all parts in of the data model.,"Contains all parts, including self-referential parts."
en,partType,Part type,Part types describe the purpose or use of the part. ,"Enivornment data has three main part types: measure (i.e. covN1 viral measures, wasteawater flow rate, temperature), method (e.g. how the measure was taken), and attribute (such as a site name). See description of each of the part types within categorySetID = partTypeCats."
en,partTypeCat,Part category set,Category set for the different dictionary parts.,NA
en,pce,Primary Clarifier Effluent Depreciated,Effluent obtained after primary clarifiers.,"Deprecated in version 2, please do not use. Duplicate of the sampleMat categories - refer to those."
en,pcr,PCR method,Description of the PCR method.,Description of the PCR method used
en,pcrCatSet,PCR Method Category Set,The category set capturing containing all of the valid methods for the PCR methodID.,NA
en,pcrQualitySet,PCR Quality Set,Quality set for PCR measures.,NA
en,pcs,Primary Clarifier Sludge Depreciated,Sludge produced by primary clarifiers.,NA
en,Pe,Person,A measure or observation of an indivdual.,NA
en,pEfflu,Primary clarifier effluent,Effluent obtained after primary clarifiers,NA
en,peg,Polyethyleneglycol (PEG) precipitation,Peg precipitation,NA
en,perc,Percent,Percentage.,NA
en,percRec,Percent Recovery,Percent of the surrogate recovery for a recovery efficiency control assay.,Use this for reporting the results of any recovery control assay.
en,ph,pH,pH measurement,NA
en,phac,Access to phac,"If this is 'no', the data will not be available to employees of the Public Health Agency of Canada - PHAC. If missing, data will be available to employees of the Public Health Agency of Canada - PHAC.",NA
en,pHDept,Public health department or region,The public health department or region where the site or institute is located. See also `healthRegion` if there is a separate regional health care delivery authority.,NA
en,phenCl,Phenol chloroform,Nucleic acid extraction performed using phenol chloroform.,NA
en,phi6,Pseudomonas virus phi6,Measure of the amount of pseudomonas virus phi6.,NA
en,phi6Mat,phi6 Spike Target,Pseudomonas virus phi6is used as the recovery efficiency control target.,NA
en,role,Role of Contact,Specifies the organizational role of a given contact.,NA
en,phos,Total Phosphorous,Total phosphorous,NA
en,phostot,Total Phosphates,Total phosphates,NA
en,phy,Physical property,A physical property or object not characterized by life or chemistry.,NA
en,physical,Physical class,Specifies a collection of measures/methods related to generic physical properties.,NA
en,pK,Primary key,Primary key for a table. ,NA
en,pmFloMean,PMMoV- and flow-normalized mean,Mean measure normalized to amount of PMMoV and wastewater flow; AlleleX (gc/mL) x Q (ML/d)  / (Pop /1e5) x 1e3 (mL/L) x 1e6 (L/ML)  = AlleleX (gc/day per 1e5 population) ,"Mostly used for reporting specific alleles (N1, N2, E, etc.)"
en,pmmovNorm,PMMoV-normalized mean,Mean measure normalized to amount of PMMoV.,"Mostly used for reporting specific alleles (N1, N2, E, etc.)"
en,po,Population,An aggregated public health measure.,NA
en,pogr,Post-Grit Depreciated,Raw wastewater after a treatment plant's headworks.,NA
en,polygonID,Polygon ID,Unique identifier for the polygon.,NA
en,polygons,Polygon Table,The table that contains information about the geometry of a geographic area.,NA
en,polyPop,Polygon Population,"An attribute of a polygon, which specifies the population of that polygon. A rough estimate of the number of human residents.",NA
en,pooled,Pooled,"Is this a pooled sample, and therefore composed of multiple child samples obtained at different sites",NA
en,popDateType,Type of date for case reporting,"Type of date used for confirmed cases. Typically, report or episode are reported. Onset and test date is not usually reported within aggregate data.",NA
en,popDateTypeCat,Case reporting date category set,Category set for the date of case reporting.,NA
en,popEq,Population equivalents,"A unit for measuring of design capacity for wastewater treatment plants, represented as the approximate amount of water a signle person would use.",NA
en,popGrp,Population group,A group of measures/methods related to population-level factors.,"Examples might be case numbers, hospitalization rates, etc."
en,popServ,Population Served,"An attribute of a site, which specifies the population of/population served by a given site. ",NA
en,population,Population class,Specifies a collection of population-level measures/methods.,NA
en,populationUnits,Population unit set,Unit set for hospital-related measurements.,NA
en,poSpecimen,Population specimen set,A specimen set that inculdes only a population specimen.,NA
en,pp,Percent positive,Percent positive of sample measures.,"Can use for Moore swabs, etc."
en,ppm,parts per million,Parts per million.,NA
en,ppmv,PMMoV-CP,Pepper mild mottle virus capsid protein gene region,NA
en,pprt,Percent positivity rate,Percent positivity rate of tests conducted within a day in a given region.,NA
en,pps,Percent Primary Sludge,"Percentage of total solids, for primary sludge.",NA
en,precipClass,Precipitation class,Specifies a collection of measures/methods related to precipitation.,NA
en,precipitationUnits,Precipitation Units,Unit set for percipitation measurements.,NA
en,pretreat,Pretreatment,Was the sample chemically treated in anyway with the addition of stabilizers or other,Pretrement method can be describe using a method. See methodID.
en,priv,Private sector organization type,The category of organization type used for private sector or non-profit groups that are not otherwise captured by the academic category.,NA
en,procGrp,Processing group,A group of measures/methods related to processing samples for analysis.,NA
en,programDescription,Program decription tables class,Specifies a class for report tables to indicate that they are program description tables.,"Used only to better specify the purpose of report tables, distinct from other classes in this way."
en,promAuto,promega automated tna kit,Nucleic acid extraction performed using the promega automated tna kit.,NA
en,promHt,promega ht tna kit,Nucleic acid extraction performed using the promega ht tna kit.,NA
en,promManu,promega manual tna kit,Nucleic acid extraction performed using the promega manual tna kit.,NA
en,promWW,promega wastewater large volume tna capture kit,Nucleic acid extraction performed using the promega wastewater large volume tna capture kit.,NA
en,prop,Proportion of total,Proportion as a precent of total.,NA
en,propV,Proportion of variant in sample,Proportion of a variant as percent of total variants.,NA
en,protein,Protein class,Specifies a collection of measures/methods related to proteins.,NA
en,provHA,Access to prov ha,"If this is 'no', this data will not be available to provincial health authorities. If missing, data will be available to provincial health authorities.",NA
en,provisional,Provisional report,A provisional or interm report.,Use for measurement that are not yet finalized. Typically this purpose is not publicly reported. 
en,pSludge,Primary clarifier sludge,Sludge produced by primary clarifiers,NA
en,pStat,Pumping Station,Pumping station,NA
en,pstGrit,Post-grit,Raw wastewater after a treatment plant's headworks (post grit or removal of large solids at a treatment plant but priort to a primary clarifier),NA
en,ptDesc,Pre treatment description,If preTreatment then describe the treatment that was performed.,"Deprecated in version 2, please do not use. Use pretreatment methodID and specify further in summary and/or notes, if necessary."
en,ptot,Number of positive tests,Number of positive tests conducted within a day in a given region.,NA
en,public,Access to public,"If this is 'no', this data will not be available to the public. If missing, data will be available to the public.",NA
en,puro,Puro virus,Measure of the amount of puro virus.,NA
en,puroMat,Puro virus Spike Target,Puro Virus is used as the recovery efficiency control target.,NA
en,purposeCat,Sample or Measure Purpose Category Set,Category set for the purpose of the sample or measure.,NA
en,purposeID,Purpose,The reason the measure or sample was taken.,"See allowed categories: report, quality control, validation study, test"
en,q19e ,q19e omicron-variant gene target,q19e omicron-variant gene target,NA
en,q493r ,q493r omicron-variant gene target,q493r omicron-variant gene target,NA
en,q498r ,q498r omicron-variant gene target,q498r omicron-variant gene target,NA
en,q954h ,q954h omicron-variant gene target,q954h omicron-variant gene target,NA
en,qaqc,Quaility assurance method,Quality ass qc,Description of the quality control steps taken
en,qf1,No quality concerns,A flag to indicate there is are no quality concern about the measure or sample.,NA
en,qf2,Quality concerns,"A flag to indicate there is a quality concern, not otherwise sepcified.",NA
en,qgDNARNA,qiagen allprep dna/rna kit,Nucleic acid extraction performed using the qiagen allprep dna/rna kit.,NA
en,qgDpcr,qiagen digital PCR,Describes a PCR analysis done using Qiagen's digital PCR technology.,NA
en,qgEz1,qiagen ez1 virus mini kit v2.0,Nucleic acid extraction performed using the qiagen ez1 virus mini kit v2.0.,NA
en,qgPwrFecal,qiagen allprep powerfecal dna/rna kit,Nucleic acid extraction performed using the qiagen allprep powerfecal dna/rna kit.,NA
en,qgPwrViral,qiagen allprep powerviral dna/rna kit,Nucleic acid extraction performed using the qiagen allprep powerviral dna/rna kit.,NA
en,qgPwrWtr,qiagen powerwater kit,Nucleic acid extraction performed using the qiagen powerwater kit.,NA
en,qgQiAmp,qiagen qiaamp buffers with epoch columns,Nucleic acid extraction performed using the qiagen qiaamp buffers with epoch columns.,NA
en,qgRneasy,qiagen rneasy kit,Nucleic acid extraction performed using the qiagen rneasy kit.,NA
en,qgRneasyPwr,qiagen rneasy powermicrobiome kit,Nucleic acid extraction performed using the qiagen rneasy powermicrobiome kit.,NA
en,qpcr,Quantitative PCR,"Real-time PCR, also called 'quantitative' PCR",NA
en,quality,Quality Part Type,The part type for quality parts.,Only used for the dictionary entries of parts.
en,qualityControl,Quality control,A measure or sample taken for the purpose of quality control.,Measures with this category are take to assess quality control.
en,qualityFlag,Quality Flag,A field for reporting any quality concerns - of lack thereof - for a sample or measure.,Types of quality flag vary on context; please see the qulaityFlagSet to be confirm.
en,qualitySet,Quality Set Part Type,The part type for  quality sets.,Only used for the dictionary entries of parts.
en,qualitySetID,Quality Set ID,The quality set that corresponds to a given part. Only applicable for samples and measures.,NA
en,r2,R squared,R-squared value of the calibration curve.,"Used for storing calibration curve information, potentially also applicable for other curve types."
en,r203m,r203m delta-variant gene target,r203m delta-variant gene target,NA
en,rainDpcr,raindance digital PCR,Describes a PCR analysis done using Raindance's digital PCR technology.,NA
en,rainy,Rainy,"Qualitative category for the weather measure, specifying a rainy day.",NA
en,ratio,Ratio,Ratio (unitless),Report as a real number or fration. i.e 10:2 ratio is reported as 5. The specifics of the ratio (the numerator and the demoninator) are described in the measure.
en,raws,Raw wastewater Sample,Raw wastes water sample,NA
en,rawWW,Raw sewage at site,Wastewater without any form of treatment,NA
en,rawWWdown,Raw sewage downstream from a site,Downstream from a site. See partType = rawWWup.,NA
en,rawWWup,Raw sewage upstream from a site,"Upstream from a site. Used when there is not direct access to a site's wastewater inconjuctiion with downstream sample. For example, if the site is a long-term care home, but ther is not access to the building or property cleanout. Use two sameple, one sample upstream and one sample downstream.",NA
en,rdrpNcovIP2,IP2 rdrp sars-cov-2 gene target,IP2 rdrp sars-cov-2 gene target,NA
en,rdrpNcovIP4,IP4 rdrp sars-cov-2 gene target,IP4 rdrp sars-cov-2 gene target,NA
en,receivedDate,Date sample recieved,The date the sample was received at the laboratory for analysis.,NA
en,recov,Recovered patients,Units for describing a population measure of patients who have recovered from a given disease.,Unit for a population or disease measure to explain population-level clinical effects.
en,lastEdit,Update date - Last Edited,The date the measurement report was last updated.,NA
en,regular,Regular,A measure or sample taken for surveillance or epidemiology.,A 'regular' measure is the default. Missing data will be recoded to this purpose.
en,relHum,Relative humidity,"The unit of relative humidity, or the air-water mixture. The ratio of the partial pressure of water vapor in the mixture to the equilibrium vapor pressure of water over a flat surface. of pure water at a given temperature.",NA
en,relHumidUnits,Relative humidity unit set,Unit set for relative humidity measurements.,NA
en,repDate,Case report Date,"Date that the numbers were reported publicly. Typically, reported data and this measure is most commonly reported and used.",NA
en,repGrab,Representative Grab Sample,A single large representative grab sample.,"Deprecated in version 2, please do not use."
en,replicateCatSet,Replicate Type Category Set,The category set for storing valid categorical values of replicate type.,NA
en,repType,Replicate Type,"Attirbute of a sample, specifying whether the sample is unique, or a replicate. And if it is a replicate, what type of replicate is it?",NA
en,reportable,Reportable data flag,"Flag for whether a measure is reportable or not, based on confidence in the measure and methods applied.",NA
en,repDate,Measure Report Date,The date a measure was reported publicly or to the health authorities/surveillance system.,NA
en,reporterID,Reporter ID,Unique identifier for the person or organization that is reporting the data.,NA
en,reporterIDDep,Reporter ID Depreciated,Unique identifier for the entity reporting the data,NA
en,reporters,Reporter table,"The table that contains information about a reporter of a sample, method, measure, or attribute.",NA
en,resCosca,Resuspend COSCa filter collection,Nucleic acid extraction via resuspension of a sample collected using the COSCa ball method.,See partID = cosca for additional details.
en,results,Results tables class,Specifies a class for report tables to indicate that they are results tables.,"Used only to better specify the purpose of report tables, distinct from other classes in this way."
en,retPond,Retention pond,Retention pond,NA
en,river,"River, natural water body","River, natural water body",NA
en,notes,Notes,A note used to describe details that are not captured in other attrbitutes,There is no recommended structure of a note. Use notes as needed.
en,rP100,"Rate per 100,000","Units for describing a population measure of a rate of case incidence per 100,000 people of a given disease.",Unit for a population or disease measure to explain population-level clinical effects.
en,rppw,Raw post-pasteurized wastewater,Raw wastewater sample post-pasteurization,NA
en,rsv,Respiratory syncytial virus group,Respiratory syncytial virus.,NA
en,s,Surface compartment,A measure or observation made from a substance on a surface.,NA
en,s2083i ,s2083i omicron-variant gene target,s2083i omicron-variant gene target,NA
en,s371l ,s371l omicron-variant gene target,s371l omicron-variant gene target,NA
en,s373p ,s373p omicron-variant gene target,s373p omicron-variant gene target,NA
en,s375f ,s375f omicron-variant gene target,s375f omicron-variant gene target,NA
en,s477n ,s477n omicron-variant gene target,s477n omicron-variant gene target,NA
en,Sa,Sample,A measure made on an compartment or property from a sample of a substance.,NA
en,saMaterial,Sample material,Type of sample.,NA
en,sampID,Sample ID,Unique identifier for sample. Suggestion:siteID-date-index.,NA
en,sampleMatCat,Sample material category set,Category set for the types of material that can be found in a sample.,NA
en,sampleQualitySet,Sample Quality Set,Quality set for a sample.,NA
en,samples,Sample Report Table,"The table that contains information about a sample, where a sample is defined as a representative volume of wastewater, air, or surface substance taken from a Site which is then analysed by a lab (organization).",NA
en,sampleTypeOther,Collection other,Description for other type of method not listed in collection.,NA
en,samshed,Sampleshed,"A geographic area, physical space, or structure. A sample is taken from a sampleshed for a representative measurement of a substance(s).","Examples: Airplane, Long-term care home, Neighbourhood, University campus, Municipality"
en,sarsCov2,SARS-CoV-2,A group of measures/methods related to the SARS-CoV-2 virus.,"SARS-CoV-2 measures have the following classes: proteins, alleles, variants, mutations, diseases."
en,sarscov2Me,SARS-CoV-2 measure,Measure the amount of SARS-CoV-2 virus.,This measure should only be used if there is no other SARS-CoV-2 measure. See groupID = sarsCov2. Use a note to describe the specific measure used. 
en,saSpecimen,Sample specimen set,A specimen set that inculdes only a sample specimen.,NA
en,sC,Sparse coverage,"Sequencing shows sparse coverage, ie. numerical breadth of coverage shows as adequate but coverage plots reveal missing genome pieces.","If there are multiple issues to flage, use the multiple issues flag and explain the details in the notes section."
en,sce,Secondary Clarifier Effluent Depreciated,Effluent obtained after secondary clarifiers.,"Deprecated in version 2, please do not use. Duplicate of the sampleMat categories - refer to those."
en,school,School,A school serving students in the kindergarten to 12th grade range,NA
en,scs,Secondary Clarifier Sludge Depreciated,Sludge produced by secondary clarifiers.,"Deprecated in version 2, please do not use. Duplicate of the sampleMat categories - refer to those."
en,sd,Standard Deviation,Standard deviation.,NA
en,sdn,Normalized Standard Deviation,"Standard deviation, normalized.",NA
en,sea,"Sea, natural water body","Sea, natural water body",NA
en,sEfflu,Secondary clarifier effluent,Effluent obtained after secondary clarifiers,NA
en,self,Access to self,"If this is 'no', this data will not be shown on the portal when this reporter logs in. If missing, data will be available to this reporter.",NA
en,sentDate,Date sample was sent,The date the sample was sent for analyses at a laboratory.,NA
en,septage,Septic tank wastewater,Wastewater from within a septic tank,NA
en,septTnk,Septic tank,Septic tank,NA
en,seqQualitySet,Sequencing Quality Set,Quality set for sequencing measures,NA
en,sequence,Genetic sequencing class,Specifies a collection of measures/methods related to genetic sequencing.,NA
en,sese,Sewer Sediments,Sediments obtained in sewer.,NA
en,setID,Set ID,The name of a value set.,"A set is a group of units, attributes, categories, specimens, or compartments that can be used for a measure, method or attribute."
en,setLUs,Sets Look-up Table,"Look up table for all sets, managing how categorical inputs for various methods and attributes are grouped together.",This table manages many-to-many relationships and category recycling within the ODM.
en,setProvanceID,Method Set Parent ID,"A method set that served as a basis for another method set. This may be due to version changes, or a referencing a method set that was later adapted.",NA
en,setType,Set type,"The type of set. I.e. quality set, aggregation set, unit set",NA
en,setValue,Set Value,The partID for the set value or category. ,"Populated by any part where partType = aggregationSet, compartmentSet, qualitySet, specimentSet, or unitSet"
en,setVersion,Method Set Version,Specifies the version of a method set.,Version of the method set. Semantic versioning is recommended.
en,sGene,S sars-cov-2 gene target,S sars-cov-2 gene target,NA
en,shedCat,Sampleshed Category Set,The category set for all valid values of sampleshed.,NA
en,ship,Ship,A cruise ship or other ship.,NA
en,shipOnIce,Shipped on ice,Was the sample kept cool while being shipped to the lab,NA
en,Si,Site,A measure made on an compartment or property at a site where a sample was taken.,NA
en,sin,Single,"This value is not an aggregate measurement in any way (ie. not a mean, median, max or any other) and can be a replicate value.",NA
en,siSaSpecimen,Site or sample specimen set,A specimen set that inculdes site or sample specimen.,NA
