Version,2.3.0,,,,,,,,
translationID,lang,partID,label,partDesc,partInstr,firstReleased,lastUpdated,changes,notes
engdilution,eng,dilution,Dilution Class,Measures and methods relating to dilutions.,NA,2.0.0,2.0.0,added in V2.0.0,
engdiptheriaGrp,eng,diptheriaGrp,Diphtheria Group,A group of measures/methods related to the diptheria bacteria.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engdisease,eng,disease,Diseases (human) class,Measure and methods related to disease or infection in humans.,NA,2.0.0,2.0.0,added in V2.0.0,
engdissGasUnitSet,eng,dissGasUnitSet,Dissolved gas concentration unit set,Unit set for carbon dioxide concentrations measurements in water or air.,NA,2.0.0,2.0.0,added in V2.0.0,
engdna,eng,dna,DNA Template,Deoxyribonucleic Acid (DNA) template is used for PCR or sequencing work.,NA,2.0.0,2.0.0,added in V2.0.0,
engdoc,eng,doc,Depth of coverage,"The average number of reads representing a given nucleotide in the reconstructed sequence, provided as a value as a fold of coverage.",Used to interpret the confidence in a presence or amount of a varient.,2.0.0,2.0.0,Issue #120,
engdomain,eng,domain,Domain,Domain is the highest level of describing of a measure.,"The domain ID that corresponds to a given part. Mostly applicable for measures, methods, units, and aggregations.",2.0.0,2.0.0,added in V2.0.0,
engdomains,eng,domains,Domains,"There are three domain types: biologic (i.e. Covid-19, chemical (i.e. nitrogen), physical measure (temperature).",NA,2.0.0,2.0.0,added in V2.0.0,
engdorm,eng,dorm,Higher education domitory or residential building,Higher education domitory or residential building,NA,2.0.0,2.0.0,added in V2.0.0,
engdpcr,eng,dpcr,Digital PCR (dPCR),Describes a PCR analysis done using digital PCR technology (general).,NA,2.2.0,2.2.0,added in V2.2.0,
engdrain,eng,drain,Sewer (drain),"A pipe that carries water or sewage away from a place, or an opening in a surface that leads to said pipe.",NA,2.2.3,2.2.3,added in v2.2.3,
engds,eng,ds,Dataset table Shorthand,The abbreviated short name used to reference the report table for capturing details about data's parental data set and data custodians. Supplying attribution for data collectors.,table,2.2.2,2.2.2,added in V 2.2.2,
engduration,eng,duration,Duration time of a method,The duration of time for a given method as described in protocols.,NA,2.2.0,2.2.0,added in V2.2.0,
enge156g,eng,e156g,e156g delta-variant gene target,e156g delta-variant mutation gene target,NA,2.0.0,2.0.0,added in V2.0.0,
enge484a,eng,e484a,e484a omicron-variant gene target,e484a omicron-variant mutation gene target,NA,2.0.0,2.0.0,added in V2.0.0,
engeaec,eng,eaec,Enteroaggregative Escherichia coli (EAEC),Enteroaggregative Escherichia coli (EAEC),NA,2.2.0,2.2.0,added in V2.2.0,
engebv,eng,ebv,Epstein–Barr virus (EBV),"Epstein–Barr virus (EBV), formerly known as Human gammaherpesvirus 4",NA,2.2.0,2.2.0,added in V2.2.0,
engecl20,eng,ecl20,Educational Community License v2.0,The licensing for the measure or data set is managed under the Educational Community License v2.0.,NA,2.2.0,2.2.0,added in V2.2.0,
engecoli,eng,ecoli,Escherichia coli,"Concentration of bacteria that are passed through the faecal excrement of humans, livestock and wildlife",NA,2.0.0,2.0.0,added in V2.0.0,
engecoliGrp,eng,ecoliGrp,Escherichia coli group,A group of measures/methods related to Escherichia coli bacteria.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engeducation,eng,education,Education,A measure or sample taken for education or training.,"Use this purpose, for example, when teaching how to use the PHES-ODM.",2.0.0,2.0.0,added in V2.0.0,
engefficient,eng,efficient,Efficiency,The efficiency reported for a standard curve.,NA,2.0.0,2.0.0,added in V2.0.0,
engehec,eng,ehec,Enterohemorrhagic Escherichia coli (EHEC),Enterohemorrhagic Escherichia coli (EHEC),NA,2.2.0,2.2.0,added in V2.2.0,
engeiec,eng,eiec,Enteroinvasive Escherichia coli (EIEC),Enteroinvasive Escherichia coli (EIEC),NA,2.2.0,2.2.0,added in V2.2.0,
engeluate,eng,eluate,Eluate/Resuspended filter material retained,"The eluate fraction, or material resuspended from filtration, is retained after solid separation/centrifugation.",NA,2.2.0,2.2.0,added in V2.2.0,
engelutionBuff,eng,elutionBuff,Elution buffer,Elution buffer is used to resuspend material.,NA,2.2.0,2.2.0,added in V2.2.0,
engemail,eng,email,Contact email,"Contact e-mail address, for the lab.",NA,1.0.0,2.0.0,added in V2.0.0,
engenaForm,eng,enaForm,ENA Format,Dataset was originally recorded and/or stored in ENA format.,NA,3.0.0,3.0.0,added in V3.0.0,
engenaMap,eng,enaMap,European Nucleotide Association Mapping Column,ENA header,NA,2.0.0,2.0.0,added in V2.0.0,
engenaNotes,eng,enaNotes,European Nucleotide Association (ENA) - notes,ENA notes,NA,2.0.0,2.0.0,added in V2.0.0,
engenterovirus,eng,enterovirus,Enterovirus,Enterovirus,NA,2.2.0,2.2.0,added in V2.2.0,
engenterovirusGrp,eng,enterovirusGrp,Enterovirus Group,A group of measures/methods related to enteroviruses.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engenumeration,eng,enumeration,Enumeration for set values,"The numeric value that corresponds to a given value in a set, defined in the sets table.",NA,2.2.0,2.2.0,added in V2.2.0,
engenvRnF,eng,envRnF,Rainfall,"Rainfall, i.e. amount of precipitation in the form of rain.",NA,1.0.0,2.0.0,"description wording, structure",
engenvSnwD,eng,envSnwD,Ground snow depth,Total depth of snow on the ground.,NA,1.0.0,2.0.0,"description wording, structure",
engenvSnwF,eng,envSnwF,Snowfall,"Snowfall, i.e. amount of precipitation in the form of snow.",NA,1.0.0,2.0.0,"description wording, structure",
engepec,eng,epec,Enteropathogenic Escherichia coli (EPEC),Enteropathogenic Escherichia coli (EPEC),NA,2.2.0,2.2.0,added in V2.2.0,
engepiDate,eng,epiDate,Episode date,"Episode date is the earliest of onset, test or reported date.",NA,1.0.0,2.0.0,depreciate,
engepl10,eng,epl10,Eclipse Public License 1.0,The licensing for the measure or data set is managed under the Eclipse Public License 1.0.,NA,2.2.0,2.2.0,added in V2.2.0,
engepl20,eng,epl20,Eclipse Public License 2.0,The licensing for the measure or data set is managed under the Eclipse Public License 2.0.,NA,2.2.0,2.2.0,added in V2.2.0,
engerdTableSet,eng,erdTableSet,ERD table set,All tables listed in the Entity Relationship Diagram. ,"The full ODM model is commonly referred to as ""long"" tables as it stores data with one measurement per row.",2.0.0,2.0.0,added in V2.0.0,
engeSarbec,eng,eSarbec,Sarbecovirus-specific E sars-cov-2 gene target,Sarbecovirus-specific E sars-cov-2 gene target,NA,2.0.0,2.0.0,added in V2.0.0,
engesbl,eng,esbl,ESBL-encoding genes,Extended-spectrum beta-lactamase-encoding genes.,NA,2.1.0,2.1.0,added in V2.1.0,
engesp,eng,esp,exclusions based sample preparation (ESP),exclusions based sample preparation (ESP),NA,2.2.0,2.2.0,added in V2.2.0,
engestFreqReads,eng,estFreqReads,Estimated frequency of reads,Estimated frequency of reads in a sequencing assay,NA,2.0.0,2.0.0,added in V2.0.0,
engestuary,eng,estuary,"Estuary, natural water body","Estuary, natural water body",NA,1.0.0,2.0.0,"description wording, structure",
engetec,eng,etec,Enterotoxigenic Escherichia coli (ETEC),Enterotoxigenic Escherichia coli (ETEC),NA,2.2.0,2.2.0,added in V2.2.0,
engeupl11,eng,eupl11,European Union Public License 1.1,The licensing for the measure or data set is managed under the European Union Public License 1.1.,NA,2.2.0,2.2.0,added in V2.2.0,
engeupl12,eng,eupl12,European Union Public License 1.2,The licensing for the measure or data set is managed under the European Union Public License 1.2.,NA,2.2.0,2.2.0,added in V2.2.0,
engexceptions,eng,exceptions,Exceptions Part Type,An exception part type for use in creating wide names that do not follow the general structure.,NA,2.0.0,2.0.0,added in V2.0.0,
engexpec,eng,expec,Extraintestinal pathogenic Escherichia coli (ExPEC),Extraintestinal pathogenic Escherichia coli (ExPEC),NA,2.2.0,2.2.0,added in V2.2.0,
engexpFail,eng,expFail,Experiment Failed,PCR experiment failed. No value reported.,Value should be blank for a measure with this qualityFlag value.,2.0.0,2.0.0,added in V2.0.0,
engextBlank,eng,extBlank,Extraction Blank - Control,Binary Y/N indicator for if extraction blank was used as a control for the nucleic acid extraction process.,NA,2.2.0,2.2.0,added in V2.2.0,
engextract4s,eng,extract4s,4s method,Nucleic acid extraction performed using the 4s method.,NA,2.0.0,2.0.0,added in V2.0.0,
engextraction,eng,extraction,Nucleic acid extraction method,Description of the nucleic acid extraction method.,Description of the method used to extract the sample,1.0.0,2.0.0,description wording add categories from NWSS,
engextractSet,eng,extractSet,Nucleic Acid Extraction set,set used for storing all the valid category values for the nucleic acid extraction method.,NA,2.0.0,2.0.0,added in V2.0.0,
engexvol,eng,exvol,Extraction volume of sample,Extraction volume of sample.,Size of the sample that is analyzed.,1.0.0,2.0.0,description wording and unit set,
engf456l,eng,f456l,F456L Mutation,The FLiRT/SLip variant mutation F456L.,NA,2.2.0,2.2.0,added in V2.2.0,
engfaeces,eng,faeces,Fecal matter,Fecal matter.,NA,1.0.0,2.0.0,NA,
engfColiphage,eng,fColiphage,Male-specific (F+) coliphage - general,Male-specific (F+) coliphage - general,NA,2.2.0,2.2.0,added in V2.2.0,
engfDNA,eng,fDNA,F+ DNA coliphage,F+ DNA coliphage,NA,2.2.0,2.2.0,added in V2.2.0,
engfield,eng,field,Field sample,Specifies a sample taken from the field; directly collected from an area for testing.,NA,2.0.0,2.0.0,added in V2.0; GitHub issue #94,
engfieldReplicate,eng,fieldReplicate,Field sample replicate,A sample divided into two or more homogeneous parts.,NA,2.0.0,2.0.0,added in V2.0; GitHub issue #94,
engfileLocation,eng,fileLocation,File location of polygon,The location of the file containing the geometry of the polygon.,"File path specified, or a URL",1.0.0,2.0.0,"partID chaned to ""fileLoaction"" specifying where the file is, not the whole file itself.",
engfilt,eng,filt,Filtration,Describes solid separation from a wastewater sample via filtration. Proceeds further concentration or analysis of the liquid filtrate.,NA,2.0.0,2.0.0,added in V2.0.0,
engfiNa,eng,fiNa,First Nation,"Used to categorize a sampleshed that is a First Nation, or on reserve lands.","Likely for internal use only, Indigenous data can and should not be shared without explicit consent of the nation in quesiton.",2.0.0,2.0.0,added in V2.0.0,
engfinVol,eng,finVol,Final volume,The final volume of a testing solution or sample.,NA,2.2.0,2.2.0,added in V2.2.0,
engfirstName,eng,firstName,First name of contact,Specifies the first name of a given contact.,NA,2.0.0,2.0.0,added in V2.0.0,
engfirstReleased,eng,firstReleased,First released version,The version in which a part was first released,NA,2.0.0,2.0.0,added in V2.0.0,
engfK,eng,fK,Foreign key,Foreign key for a table.,NA,2.0.0,2.0.0,added in V2.0.0,
engflagAI,eng,flagAI,AI - Inhibition present but addressed,"The original sample was inhibited; however, the inhibition has been addressed through dilution. The reported concentration estimate is the updated result after addressing inhibition.",NA,2.0.0,2.0.0,added in V2.0.0,
engflagB,eng,flagB,B - Trace levels of contamination,Analytical result may be subject to “trace” levels of contamination; the target analyte was also detected in negative controls on the same run as the sample.,NA,2.0.0,2.0.0,added in V2.0.0,
engflagFI,eng,flagFI,FI - Inhibition present and unaddressed,"The original sample was inhibited; however, the inhibition has not been successfully addressed. Therefore, no concentration estimate has been reported.",NA,2.0.0,2.0.0,added in V2.0.0,
engflagJ,eng,flagJ,J - Weak signal extrapolation,Analytical result falls below the lowest concentration of the experiment-specific standard curve but above the y-intercept value; the reported value is based on the extrapolation of the standard curve in the non-linear region.,NA,2.0.0,2.0.0,added in V2.0.0,
engflagND,eng,flagND,ND - Non-detect,No amplification occurred in the reaction; non-detect.,"For the value of a non-detected measure, report the actual value even if it is below the limit of detection. The flag here ensures that it's recorded as a non-detect regardless. In instances where the original data doesn't record a value, but only has the flag, please populate the value field with either a 0 if dealing with variant percentages, and a 1 for all other purposes to further indicate a null result. ",2.0.0,2.0.0,added in V2.0.0,
engflagUJ,eng,flagUJ,UJ - Trace signal extrapolation,"Observed quantitation cycle is greater than the experiment-specific standard curve intercept value but evidence of clear amplification was present (i.e., “trace” signal observed); the reported value is based on the extrapolation of the standard curve in the non-linear region.",NA,2.0.0,2.0.0,added in V2.0.0,
engflagUQ,eng,flagUQ,UQ - Unquantifiable,"Unquantifiable, Ct value exceeds the maximum value of the standard curve. There was a detect, but we cannot quantify it with certainty.",NA,2.0.0,2.0.0,added in V2.0.0,
engflavivirusGrp,eng,flavivirusGrp,"Flavivirus (West Nile, Dengue, Zika) Group",A group of measures/methods related to flaviviruses.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engflirtSLipGrp,eng,flirtSLipGrp,FLiRT/SLip Variant Group,The group for measures and methods pertaining to the FLiRT and SLip variants of SARS-CoV-2.,NA,2.2.0,2.2.0,added in V2.2.0,
engflirtV,eng,flirtV,FLiRT Variants,FLiRT is the name given to an entire family of COVID-19 subvariants that are gaining dominance. They've evolved from the JN.1 subvariant.,NA,2.0.0,2.0.0,added in V2.0.0,
engfloat,eng,float,Float data type,The data type for float data.,Only used for the dictionary entries of parts.,2.0.0,2.0.0,added in V2.0.0,
engfloMean,eng,floMean,Flow-normalized mean,Mean measure normalized to wastewater flow.,"Mostly used for reporting specific alleles (N1, N2, E, etc.)",2.0.0,2.0.0,added in V2.0.0,
engfloor,eng,floor,Floor,Floor of a building or room.,NA,2.0.0,2.0.0,added in V2.0.0,
engfloRate,eng,floRate,Flow rate,Wastewater volumetric flow rate at the sample collection location over the 24-hr period during which the sample was collected.," If only an instantaneous flow measurement is available, it may be reported in units of million gallons per day. ",1.0.0,2.0.0,"description wording, structure",
engflow24hDep,eng,flow24hDep,Flow proportional 24hr sample depreciated,A flow proportional 24-hour composite sample generally collected by an autosampler.,NA,1.0.0,2.0.0,depreciated,
engflowClass,eng,flowClass,Flow class,Measures and methods related to flow.,NA,2.0.0,3.0.0,"partID changed from ""flow"" to ""flowClass""",
engflowPr,eng,flowPr,Flow proportional sample,A flow proportional composite sample generally collected by an autosampler.,"Use collectionPeriod to describe how many hours the sample was taken. The volume of wastewater taken is proportional to the flow rate flowing at each instant of sampling. This is also called constant time, variable volume (CTVV).",1.0.0,2.0.0,Removed time period. Use collection period (collectPer) = 24 for 24hr sample,
engflowUnitSet,eng,flowUnitSet,Volume flow rate unit set,Unit set for volume flow  measurements.,NA,2.0.0,2.0.0,added in V2.0.0,
engflowVol,eng,flowVol,Flow volume,Volume of influent.,NA,2.0.0,2.0.0,added in V2.0.0,
engflu,eng,flu,Influenza virus measure,General influenza virus measure,This measure should only be used if there is no other influenza virus measure. See groupID = virusMisc. Use a note to describe the specific measure used. ,2.0.0,2.0.0,added in V2.0.0,
engfluA,eng,fluA,Influenza A virus,Influenza A virus.,NA,2.1.0,2.1.0,added in V2.1.0,
engfluA1,eng,fluA1,Influenza virus A1,Influenza virus A1 type,NA,2.0.0,2.0.0,added in V2.0.0,
engfluA1A2c,eng,fluA1A2c,Influenza virus A1 and A2 combined,"Measure of influenza virus A1 and A2 combined, usually due to single fluorescence channel.",NA,2.0.0,2.0.0,added in V2.0.0,
engfluA2,eng,fluA2,influenza virus A2,influenza virus A2 type,NA,2.0.0,2.0.0,added in V2.0.0,
engfluAGrp,eng,fluAGrp,Influenza A Virus Group,A group of measures/methods related to Influenza A viruses.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engfluB,eng,fluB,Influenza virus B,Influenza virus B type,NA,2.0.0,2.0.0,added in V2.0.0,
engfluBGrp,eng,fluBGrp,Influenza B Virus Group,A group of measures/methods related to Influenza B viruses.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engfluGrp,eng,fluGrp,Influenza Virus General Group,A group of measures/methods related to general influenza viruses.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engfluH5hema,eng,fluH5hema,Influenza A H5 hemagglutinin gene ,"Measure of the H5 hemagglutinin gene from the Highly Pathogenic Avian Influenza Virus (HPAIV), the H5N1 Influenza A Virus (IAV) subtype.",NA,2.2.0,2.2.0,added in V2.2.0,
engfluIAVm,eng,fluIAVm,Influenza A M gene,"A measure of the M gene found in Influenza A viruses (IAV). The virus has segmented RNA genome and 7th segment, M gene, encodes 2 proteins. M1 is a matrix protein and M2 is a membrane protein. The M gene may be involved in determining host tropism.",NA,2.2.0,2.2.0,added in V2.2.0,
engfluiDpcr,eng,fluiDpcr,Fluidigm digital PCR,Describes a PCR analysis done using FluidIGM's digital PCR technology.,NA,2.0.0,2.0.0,added in V2.0.0,
engfluN1neur,eng,fluN1neur,Influenza A N1 neuraminidase gene,"Measure of the N1 neuraminidase gene from the Highly Pathogenic Avian Influenza Virus (HPAIV), the H5N1 Influenza A Virus (IAV) subtype.",NA,2.2.0,2.2.0,added in V2.2.0,
engfoggy,eng,foggy,Foggy,"Qualitative category for the weather measure, specifying a foggy or hazy day.",NA,2.0.0,2.0.0,added in V2.0; github issue #124 and #204,
engfraction,eng,fraction,Fraction analyzed,Fraction of the sample that is analyzed.,NA,1.0.0,2.0.0,"description wording, structure",
engfractionInput,eng,fractionInput,Fraction input (wide table),The partID for the fraction being used in a wide name.,NA,2.2.0,2.2.0,added in V2.2.0,
engfractionName,eng,fractionName,Fraction name (wide table),The fraction analyzed referenced for the wide name.,NA,2.2.0,2.2.0,added in V2.2.0,
engfractionSet,eng,fractionSet,Sample fraction set,"set for the fraction of the sample (solid, liquid, etc.).",NA,2.0.0,2.0.0,added in V2.0.0,
engfreyja,eng,freyja,Freyja Script,Freyja Script for sequencing.,NA,2.0.0,2.0.0,added in V2.0.0,
engfRNABact,eng,fRNABact,F-Specific RNA bacteriophages,A measure for amount of F-Specific RNA bacteriophages.,NA,2.0.0,2.0.0,added in V2.0.0,
engfRNAColi,eng,fRNAColi,F+ RNA coliphage,F+ RNA coliphage,NA,2.2.0,2.2.0,added in V2.2.0,
engfrnaG2,eng,frnaG2,"F-Specific RNA bacteriophages, G2",A measure for amount of G2 F-Specific RNA bacteriophages.,NA,2.0.0,2.0.0,added in V2.0.0,
engfrozen,eng,frozen,Sample frozen,Sample was frozen before analysis or processing,NA,2.0.0,2.0.0,added in V2.0.0,
engfst,eng,fst,Field sample temperature,Temperature that the sample is stored at while it is being sampled. This field is mainly relevant for composite samples which are either kept at ambient temperature or refrigerated while being sampled.,NA,1.0.0,2.0.0,NA,
engfTularensis,eng,fTularensis,Francisella tularensis,Francisella tularensis,NA,2.2.0,2.2.0,added in V2.2.0,
engfullDictionarySheetSet,eng,fullDictionarySheetSet,Full dictionary sheets set,Worksheets in the full Excel dictionary.,The full dictionary is `ODM_full-dictionary.xlxs,2.0.0,2.0.0,added in V2.0.0,
engfunderCont,eng,funderCont,Funder contact ID,A unique identifier for a funder.,NA,2.0.0,2.0.0,added in V2.0.0,
engfunderID,eng,funderID,Funding agency ID,The funding agency of the dataset.,"Use Organization ID to populate this field, and the organizations table to describe contact information and other details for the funding agency. ",2.0.0,2.0.0,added in V2.0; github issue #205,
engg215c,eng,g215c,g215c delta-variant gene target,g215c delta-variant mutation gene target,NA,2.0.0,2.0.0,added in V2.0.0,
engg339d,eng,g339d,g339d omicron-variant gene target,g339d omicron-variant mutation gene target,NA,2.0.0,2.0.0,added in V2.0.0,
engg496s,eng,g496s,g496s omicron-variant gene target,g496s omicron-variant mutation gene target,NA,2.0.0,2.0.0,added in V2.0.0,
engg662s,eng,g662s,g662s delta-variant gene target,g662s delta-variant mutation gene target,NA,2.0.0,2.0.0,added in V2.0.0,
enggam,eng,gam,Gamma,P.1,NA,2.0.0,2.0.0,added in V2.0.0,
enggas,eng,gas,Gas class,Measures and methods relating to gas and gases.,NA,2.0.0,2.0.0,added in V2.0.0,
enggc,eng,gc,Gene copies,Gene or variant copies,NA,1.0.0,2.0.0,added in V2.0.0,
enggcCrA,eng,gcCrA,Gene copies per copy of crAssphage,Gene or variant copies per copy of crAssphage.,NA,1.0.0,2.0.0,description wording.,
enggcDay100k,eng,gcDay100k,"gene copies per day per 100,000 people","The unit for measures reflecting the gene copies per day per 100,000 people in the population.",NA,2.0.0,2.0.0,added in V2.0.0,
enggCGS,eng,gCGS,Gene copies per gram solids,Gene or variant copies per gram solids.,NA,1.0.0,2.0.0,description wording.,
enggcL,eng,gcL,Gene copies per L,Gene or variant copies per litre.,NA,1.0.0,2.0.0,description wording.,
enggcMl,eng,gcMl,Gene copies per mL,Gene or variant copies per millilitre of solution.,NA,1.0.0,2.0.0,description wording.,
enggcPpmov,eng,gcPpmov,Gene copies per PMMoV copy,Gene or variant copies per copy of PMMoV.,NA,1.0.0,2.0.0,description wording.,
enggeneticUnitSet,eng,geneticUnitSet,Genetics unit set,Unit set for genetic-related measurements.,NA,2.0.0,2.0.0,added in V2.0.0,
enggenMissingnessSet,eng,genMissingnessSet,General missingness set,The general set for missingness values.,NA,2.0.0,2.0.0,added in V2.0.0,
enggenQualitySet,eng,genQualitySet,Generic quality flag set,A quality set to specify any generic quality concerns about a measure or sample.,NA,1.0.0,2.0.0,"description wording, structure",
enggeoEPSG,eng,geoEPSG,European Petroleum Survey Group Coordinates,The unique EPSG code specifying a given geospatial area.,NA,2.0.0,2.0.0,added in V2.0.0,
enggeoLat,eng,geoLat,Latitude,"Geographical location, latitude in decimal coordinates, ie.: (45.424721)",NA,1.0.0,2.0.0,NA,
enggeoLong,eng,geoLong,Longitude,"Geographical location, longitude in decimal coordinates, ie.: (-75.695000)",NA,1.0.0,2.0.0,NA,
enggeoType,eng,geoType,Type of geography,Type of geography that is represented by the polygon.,NA,1.0.0,2.0.0,"description wording, structure",
enggeoTypeSet,eng,geoTypeSet,Geographic set,set for different type of geographic components.,NA,2.0.0,2.0.0,added in V2.0.0,
enggeoWKT,eng,geoWKT,Well-known text,Well-known text of the polygon,NA,1.0.0,2.0.0,"description wording, structure",
enggfdl13,eng,gfdl13,GNU Free Documentation License v1.3,The licensing for the measure or data set is managed under the GNU Free Documentation License v1.3.,NA,2.2.0,2.2.0,added in V2.2.0,
enggm3,eng,gm3,Gram per cubic metre,Density unit.,Used for absolute humidity and other measures.,2.0.0,2.0.0,added in V2.0.0,
enggmn,eng,gmn,Geometric mean,Geometric mean.,NA,1.0.0,2.0.0,NA,
enggonococcusGrp,eng,gonococcusGrp,Gonococcus Group,A group of measures/methods related to gonococcus bacteria.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
enggovt,eng,govt,Government agency,"The category of organization type used for government agencies, programs, or crown-owned bodies.",NA,2.0.0,2.0.0,added in V2.0.0,
enggpl20,eng,gpl20,GNU General Public License v2.0,The licensing for the measure or data set is managed under the GNU General Public License v2.0.,NA,2.2.0,2.2.0,added in V2.2.0,
enggpl30,eng,gpl30,GNU General Public License v3.0,The licensing for the measure or data set is managed under the GNU General Public License v3.0.,NA,2.2.0,2.2.0,added in V2.2.0,
enggrams,eng,grams,Grams,A unit of mass or weight.,NA,2.0.0,2.0.0,added in V2.0.0,
enggraSet,eng,graSet,Gravity settling,"Describes solid separation from a wastewater sample where the sample material is allowed to settle by gravity, and then separated.",NA,2.0.0,2.0.0,added in V2.0.0,
enggrb,eng,grb,Grab sample,A single large representative grab sample.,"If the sample was collected over a series of hours or is a composite sammple, please use partID = comp",1.0.0,2.0.0,"description wording, structure",
enggromstole,eng,gromstole,Gromstole 1.0 Script,Gromstole 1.0 Script for sequencing.,NA,2.0.0,2.0.0,added in V2.0.0,
enggroup,eng,group,Group,"Unique identifier for a group of measures. Mostly applicable for measures, methods, units, and aggregations.","A collection of related measures. For example, SARS-CoV-2 is a group. Within the SARS-CoV-2 group, there are measure classes tht include RNA alleles (N1, N2, E, etc.), mutations, (E484K0), an entire sequence, viral proteins, etc. Currently groups are used for measures only.",2.0.0,2.0.0,added in V2.0.0,
enggroups,eng,groups,Groups,A collection of related measures.,"Used primary to group measurements and methods, this helps pare down the drop down list for a given measurement or ",2.0.0,2.0.0,added in V2.0.0,
engh5n1,eng,h5n1,H5N1 avian influenza A virus (IAV) ,"General measurement for the Highly Pathogenic Avian Influenza Virus (HPAIV), the H5N1 Influenza A Virus (IAV) subtype.",NA,2.2.0,2.2.0,added in V2.2.0,
enghaemophilusGrp,eng,haemophilusGrp,Haemophilus Group,A group of measures/methods related to haemophilus bacteria.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
enghAg,eng,hAg,See Header for Aggregation,An indicator to show in a wide-name that aggregation information is located in a different column.,Not a valid value for aggregation in the standard long-format.,2.2.0,2.2.0,added in V2.2.0,
enghCo,eng,hCo,See Header for Compartment ,A indicator for wide-names that the compartment information is stored in a separate column.,Not a valid value for compartment in the standard long-format.,2.2.0,2.2.0,added in V2.2.0,
enghDucreyi,eng,hDucreyi,Haemophilus ducreyi,Haemophilus ducreyi,NA,2.2.0,2.2.0,added in V2.2.0,
engheader,eng,header,Header,Header for a table. Also known as a table variable or entiy relationship 'attribute'. ,Header is the top row or the variable name in a table.,2.0.0,2.0.0,added in V2.0.0,
enghealthAdm,eng,healthAdm,Health administration or planning agency,Health adminstrative or planning organization. ,NA,2.0.0,2.0.0,added in V2.0.0,
enghealthRegion,eng,healthRegion,Health Region for a Site,A free-text variable for listing the health region for a given site.,NA,2.1.0,2.1.0,added in V2.1.0,
engheatInacSARS,eng,heatInacSARS,Heat inactivated sars-cov-2 virus spike target,Heat inactivated SARS-CoV-2 virus is used as the recovery efficiency control target.,NA,2.0.0,2.0.0,added in V2.0.0,
enghepA,eng,hepA,Hepatitis A,Hepatitis A,NA,2.2.0,2.2.0,added in V2.2.0,
enghepB,eng,hepB,Hepatitis B,Hepatitis B,NA,2.2.0,2.2.0,added in V2.2.0,
enghepC,eng,hepC,Hepatitis C,Hepatitis C,NA,2.2.0,2.2.0,added in V2.2.0,
enghepE,eng,hepE,Hepatitis E,Hepatitis E,NA,2.2.0,2.2.0,added in V2.2.0,
enghepGRna,eng,hepGRna,hep g armored rna,Measure of the amount Hepatitis G Armored RNA.,NA,2.0.0,2.0.0,added in V2.0.0,
enghepGRnaMat,eng,hepGRnaMat,hep g armored rna spike target,Hepatitis G armored RNA is used as the recovery efficiency control target.,NA,2.0.0,2.0.0,added in V2.0.0,
enghepGrp,eng,hepGrp,Hepatitis Group,A group of measures/methods related to hepatitis viruses.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engherpesGrp,eng,herpesGrp,Herpes Virus Group,A group of measures/methods related to herpes viruses.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
enghf183,eng,hf183,HF183 Bacteriodes 16S,Human-Specific HF183 Bacteriodes 16S rRNA ,NA,2.2.0,2.2.0,added in V2.2.0,
enghFr,eng,hFr,See Header for Fraction Analyzed,An indicator in wide-names to show that information on the fraction analyzed in found under a separate header.,Not a valid value for fraction analyzed in the standard long-format.,2.2.0,2.2.0,added in V2.2.0,
enghiaa5,eng,hiaa5, 5-hydroxyindoleacetic acid (5-HIAA),"A serotonin metaboliteused for normalizing wastewater surveillance signal. Analysis of 5-HIAA is done in clinical settings to assess the possibility of carcinoid syndorme in patients, and used in wastewater analysis to estimate human population numbers. Studies have shown that 5-HIAA can be quanitified in samples from WWTPs, and that measured quantities of this molecule have a positive correlation with  the population calculated using hydrochemical parameters, and are  also correlated well with the census population measures.",NA,2.2.0,2.2.0,added in V2.2.0,
enghigh,eng,high,High severity,"Indicates a very sever quality issue, likely meaning the data should not be reported.",NA,2.0.0,2.0.0,added in V2.0.0,
enghInfluenzae,eng,hInfluenzae,Haemophilus influenzae,Haemophilus influenzae,NA,2.2.0,2.2.0,added in V2.2.0,
enghiv,eng,hiv,Human Immunodeficiency Virus (HIV),Human Immunodeficiency Virus (HIV),NA,2.2.0,2.2.0,added in V2.2.0,
enghivGrp,eng,hivGrp,HIV Group,A group of measures/methods related to Human Immunodeficiency Virus (HIV).,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
enghlthReg,eng,hlthReg,Sewer Network Health Region,Health region served by the sewer network,NA,1.0.0,2.0.0,Name Change (from Polygon Type),
